混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
f,net/minecraft/src/C_252379_,com/mojang/math/MatrixUtil,com/mojang/math/MatrixUtil,net/minecraft/util/math/MatrixUtil,net/minecraft/class_7837
i,net/minecraft/src/C_378900_,com/mojang/math/Quadrant,com/mojang/math/Quadrant,net/minecraft/util/math/AxisRotation,net/minecraft/class_10821
h,net/minecraft/src/C_1905_,com/mojang/math/PointGroupO,com/mojang/math/OctahedralGroup,net/minecraft/util/math/DirectionTransformation,net/minecraft/class_4990
c,net/minecraft/src/C_252383_,,com/mojang/math/Divisor,net/minecraft/util/math/Divider,net/minecraft/class_7836
b,net/minecraft/src/C_140945_,,com/mojang/math/Constants,net/minecraft/util/math/MathConstants,net/minecraft/class_5973
e,net/minecraft/src/C_276130_,com/mojang/math/GivensParameters,com/mojang/math/GivensParameters,net/minecraft/util/math/GivensPair,net/minecraft/class_8218
k,net/minecraft/src/C_4649_,com/mojang/math/Transformation,com/mojang/math/Transformation,net/minecraft/util/math/AffineTransformation,net/minecraft/class_4590
j,net/minecraft/src/C_4125_,com/mojang/math/PointGroupS,com/mojang/math/SymmetricGroup3,net/minecraft/util/math/AxisTransformation,net/minecraft/class_4998
d,net/minecraft/src/C_141097_,,com/mojang/math/FieldsAreNonnullByDefault,net/minecraft/util/annotation/FieldsAreNonnullByDefault2,net/minecraft/class_6037
a,net/minecraft/src/C_252363_,,com/mojang/math/Axis,net/minecraft/util/math/RotationAxis,net/minecraft/class_7833
g,net/minecraft/src/C_141618_,,com/mojang/math/MethodsReturnNonnullByDefault,net/minecraft/util/annotation/MathMethodsReturnNonnullByDefault,net/minecraft/class_6216
ek$b,net/minecraft/src/C_3027_$C_3029_,net/minecraft/commands/CommandDispatcher$b,net/minecraft/commands/Commands$ParseFunction,net/minecraft/server/command/CommandManager$CommandParser,net/minecraft/class_2170$class_2171
ei,net/minecraft/src/C_2890_,net/minecraft/commands/ICommandListener,net/minecraft/commands/CommandSource,net/minecraft/server/command/CommandOutput,net/minecraft/class_2165
ek$2,net/minecraft/src/C_3027_$C_398528_,net/minecraft/commands/CommandDispatcher$2,net/minecraft/commands/Commands$2,net/minecraft/server/command/CommandManager$2,net/minecraft/class_2170$2
ed,net/minecraft/src/C_2749_,net/minecraft/commands/CommandExceptionProvider,net/minecraft/commands/BrigadierExceptions,net/minecraft/command/TranslatableBuiltInExceptions,net/minecraft/class_2156
eg$1,net/minecraft/src/C_302039_$C_302174_,net/minecraft/commands/CommandResultCallback$1,net/minecraft/commands/CommandResultCallback$1,net/minecraft/command/ReturnValueConsumer$1,net/minecraft/class_8935$1
ek$2$1,net/minecraft/src/C_3027_$C_398528_$C_398341_,net/minecraft/commands/CommandDispatcher$2$1,net/minecraft/commands/Commands$2$1,net/minecraft/server/command/CommandManager$2$1,net/minecraft/class_2170$2$1
ej,net/minecraft/src/C_2969_,net/minecraft/commands/CommandListenerWrapper,net/minecraft/commands/CommandSourceStack,net/minecraft/server/command/ServerCommandSource,net/minecraft/class_2168
hq,net/minecraft/src/C_301925_,net/minecraft/commands/execution/TraceCallbacks,net/minecraft/commands/execution/TraceCallbacks,net/minecraft/server/function/Tracer,net/minecraft/class_6346
hp$a,net/minecraft/src/C_301946_$C_301988_,net/minecraft/commands/execution/Frame$a,net/minecraft/commands/execution/Frame$FrameControl,net/minecraft/command/Frame$Control,net/minecraft/class_8937$class_8938
hn,net/minecraft/src/C_302111_,net/minecraft/commands/execution/ExecutionContext,net/minecraft/commands/execution/ExecutionContext,net/minecraft/command/CommandExecutionContext,net/minecraft/class_8854
ho,net/minecraft/src/C_301895_,net/minecraft/commands/execution/ExecutionControl,net/minecraft/commands/execution/ExecutionControl,net/minecraft/command/ExecutionControl,net/minecraft/class_8855
hk$b,net/minecraft/src/C_301919_$C_301954_,net/minecraft/commands/execution/CustomCommandExecutor$b,net/minecraft/commands/execution/CustomCommandExecutor$WithErrorHandling,net/minecraft/command/ControlFlowAware$Helper,net/minecraft/class_8848$class_8850
hr,net/minecraft/src/C_302004_,net/minecraft/commands/execution/UnboundEntryAction,net/minecraft/commands/execution/UnboundEntryAction,net/minecraft/command/SourcedCommandAction,net/minecraft/class_8856
hk$a,net/minecraft/src/C_301919_$C_302041_,net/minecraft/commands/execution/CustomCommandExecutor$a,net/minecraft/commands/execution/CustomCommandExecutor$CommandAdapter,net/minecraft/command/ControlFlowAware$Command,net/minecraft/class_8848$class_8849
hi,net/minecraft/src/C_302156_,net/minecraft/commands/execution/ChainModifiers,net/minecraft/commands/execution/ChainModifiers,net/minecraft/command/ExecutionFlags,net/minecraft/class_8936
hp,net/minecraft/src/C_301946_,net/minecraft/commands/execution/Frame,net/minecraft/commands/execution/Frame,net/minecraft/command/Frame,net/minecraft/class_8937
ho$1,net/minecraft/src/C_301895_$C_302101_,net/minecraft/commands/execution/ExecutionControl$1,net/minecraft/commands/execution/ExecutionControl$1,net/minecraft/command/ExecutionControl$1,net/minecraft/class_8855$1
hl$a,net/minecraft/src/C_302159_$C_302076_,net/minecraft/commands/execution/CustomModifierExecutor$a,net/minecraft/commands/execution/CustomModifierExecutor$ModifierAdapter,net/minecraft/command/Forkable$RedirectModifier,net/minecraft/class_8851$class_8852
hk,net/minecraft/src/C_301919_,net/minecraft/commands/execution/CustomCommandExecutor,net/minecraft/commands/execution/CustomCommandExecutor,net/minecraft/command/ControlFlowAware,net/minecraft/class_8848
hu,net/minecraft/src/C_302062_,net/minecraft/commands/execution/tasks/CallFunction,net/minecraft/commands/execution/tasks/CallFunction,net/minecraft/command/CommandFunctionAction,net/minecraft/class_8862
ht,net/minecraft/src/C_301911_,net/minecraft/commands/execution/tasks/BuildContexts,net/minecraft/commands/execution/tasks/BuildContexts,net/minecraft/command/SingleCommandAction,net/minecraft/class_8858
hy,net/minecraft/src/C_301916_,net/minecraft/commands/execution/tasks/IsolatedCall,net/minecraft/commands/execution/tasks/IsolatedCall,net/minecraft/command/IsolatedCommandAction,net/minecraft/class_8940
ht$b,net/minecraft/src/C_301911_$C_301902_,net/minecraft/commands/execution/tasks/BuildContexts$b,net/minecraft/commands/execution/tasks/BuildContexts$TopLevel,net/minecraft/command/SingleCommandAction$SingleSource,net/minecraft/class_8858$class_8860
hv$a,net/minecraft/src/C_302075_$C_301965_,net/minecraft/commands/execution/tasks/ContinuationTask$a,net/minecraft/commands/execution/tasks/ContinuationTask$TaskProvider,net/minecraft/command/SteppedCommandAction$ActionWrapper,net/minecraft/class_8863$class_8864
ht$c,net/minecraft/src/C_301911_$C_302016_,net/minecraft/commands/execution/tasks/BuildContexts$c,net/minecraft/commands/execution/tasks/BuildContexts$Unbound,net/minecraft/command/SingleCommandAction$Sourced,net/minecraft/class_8858$class_8861
ht$a,net/minecraft/src/C_301911_$C_301952_,net/minecraft/commands/execution/tasks/BuildContexts$a,net/minecraft/commands/execution/tasks/BuildContexts$Continuation,net/minecraft/command/SingleCommandAction$MultiSource,net/minecraft/class_8858$class_8859
hv,net/minecraft/src/C_302075_,net/minecraft/commands/execution/tasks/ContinuationTask,net/minecraft/commands/execution/tasks/ContinuationTask,net/minecraft/command/SteppedCommandAction,net/minecraft/class_8863
hx,net/minecraft/src/C_301898_,net/minecraft/commands/execution/tasks/FallthroughTask,net/minecraft/commands/execution/tasks/FallthroughTask,net/minecraft/command/FallthroughCommandAction,net/minecraft/class_8939
hw,net/minecraft/src/C_302144_,net/minecraft/commands/execution/tasks/ExecuteCommand,net/minecraft/commands/execution/tasks/ExecuteCommand,net/minecraft/command/FixedCommandAction,net/minecraft/class_8865
hl,net/minecraft/src/C_302159_,net/minecraft/commands/execution/CustomModifierExecutor,net/minecraft/commands/execution/CustomModifierExecutor,net/minecraft/command/Forkable,net/minecraft/class_8851
hj,net/minecraft/src/C_302001_,net/minecraft/commands/execution/CommandQueueEntry,net/minecraft/commands/execution/CommandQueueEntry,net/minecraft/command/CommandQueueEntry,net/minecraft/class_8847
hm,net/minecraft/src/C_302177_,net/minecraft/commands/execution/EntryAction,net/minecraft/commands/execution/EntryAction,net/minecraft/command/CommandAction,net/minecraft/class_8853
ep,net/minecraft/src/C_3063_,net/minecraft/commands/ICompletionProvider,net/minecraft/commands/SharedSuggestionProvider,net/minecraft/command/CommandSource,net/minecraft/class_2172
ek$1,net/minecraft/src/C_3027_$C_254574_,net/minecraft/commands/CommandDispatcher$1,net/minecraft/commands/Commands$1,net/minecraft/server/command/CommandManager$1,net/minecraft/class_2170$1
ei$1,net/minecraft/src/C_2890_$C_2891_,net/minecraft/commands/ICommandListener$1,net/minecraft/commands/CommandSource$1,net/minecraft/server/command/CommandOutput$1,net/minecraft/class_2165$1
el,net/minecraft/src/C_301960_,net/minecraft/commands/ExecutionCommandSource,net/minecraft/commands/ExecutionCommandSource,net/minecraft/server/command/AbstractServerCommandSource,net/minecraft/class_8839
eo,net/minecraft/src/C_398232_,net/minecraft/commands/PermissionSource,net/minecraft/commands/PermissionSource,net/minecraft/command/PermissionLevelSource,net/minecraft/class_11456
ef$1,net/minecraft/src/C_213173_$C_213174_,net/minecraft/commands/CommandBuildContext$1,net/minecraft/commands/CommandBuildContext$1,net/minecraft/command/CommandRegistryAccess$1,net/minecraft/class_7157$1
ek$a,net/minecraft/src/C_3027_$C_3028_,net/minecraft/commands/CommandDispatcher$ServerType,net/minecraft/commands/Commands$CommandSelection,net/minecraft/server/command/CommandManager$RegistrationEnvironment,net/minecraft/class_2170$class_5364
eh,net/minecraft/src/C_213308_,net/minecraft/commands/CommandSigningContext,net/minecraft/commands/CommandSigningContext,net/minecraft/network/message/SignedCommandArguments,net/minecraft/class_7448
en,net/minecraft/src/C_302033_,net/minecraft/commands/ParserUtils,net/minecraft/commands/ParserUtils,net/minecraft/command/argument/ArgumentReaderUtils,net/minecraft/class_9010
ef,net/minecraft/src/C_213173_,net/minecraft/commands/CommandBuildContext,net/minecraft/commands/CommandBuildContext,net/minecraft/command/CommandRegistryAccess,net/minecraft/class_7157
em,net/minecraft/src/C_290244_,net/minecraft/commands/FunctionInstantiationException,net/minecraft/commands/FunctionInstantiationException,net/minecraft/server/function/MacroException,net/minecraft/class_8643
ep$a,net/minecraft/src/C_3063_$C_211817_,net/minecraft/commands/ICompletionProvider$a,net/minecraft/commands/SharedSuggestionProvider$ElementSuggestionType,net/minecraft/command/CommandSource$SuggestedIdType,net/minecraft/class_2172$class_7078
eh$a,net/minecraft/src/C_213308_$C_213309_,net/minecraft/commands/CommandSigningContext$a,net/minecraft/commands/CommandSigningContext$SignedArguments,net/minecraft/network/message/SignedCommandArguments$Impl,net/minecraft/class_7448$class_7449
fp$c,net/minecraft/src/C_243418_$C_243493_,net/minecraft/commands/arguments/ResourceOrTagKeyArgument$c,net/minecraft/commands/arguments/ResourceOrTagKeyArgument$Result,net/minecraft/command/argument/RegistryPredicateArgumentType$RegistryPredicate,net/minecraft/class_7066$class_7068
fd$h,net/minecraft/src/C_3685_$C_3693_,net/minecraft/commands/arguments/ArgumentNBTKey$h,net/minecraft/commands/arguments/NbtPathArgument$Node,net/minecraft/command/argument/NbtPathArgumentType$PathNode,net/minecraft/class_2203$class_2210
fi,net/minecraft/src/C_3876_,net/minecraft/commands/arguments/ArgumentParticle,net/minecraft/commands/arguments/ParticleArgument,net/minecraft/command/argument/ParticleEffectArgumentType,net/minecraft/class_2223
fo$d,net/minecraft/src/C_243640_$C_243552_,net/minecraft/commands/arguments/ResourceOrTagArgument$d,net/minecraft/commands/arguments/ResourceOrTagArgument$TagResult,net/minecraft/command/argument/RegistryEntryPredicateArgumentType$TagBased,net/minecraft/class_7737$class_7742
fn$b,net/minecraft/src/C_313558_$C_398381_,net/minecraft/commands/arguments/ResourceOrIdArgument$b,net/minecraft/commands/arguments/ResourceOrIdArgument$InlineResult,net/minecraft/command/argument/RegistryEntryArgumentType$DirectParser,net/minecraft/class_9433$class_11380
gf$c,net/minecraft/src/C_4367_$C_4371_,net/minecraft/commands/arguments/blocks/ArgumentBlockPredicate$c,net/minecraft/commands/arguments/blocks/BlockPredicateArgument$TagPredicate,net/minecraft/command/argument/BlockPredicateArgumentType$TagPredicate,net/minecraft/class_2252$class_2255
gf$b,net/minecraft/src/C_4367_$C_4370_,net/minecraft/commands/arguments/blocks/ArgumentBlockPredicate$b,net/minecraft/commands/arguments/blocks/BlockPredicateArgument$Result,net/minecraft/command/argument/BlockPredicateArgumentType$BlockPredicate,net/minecraft/class_2252$class_2254
ge,net/minecraft/src/C_4338_,net/minecraft/commands/arguments/blocks/ArgumentTileLocation,net/minecraft/commands/arguments/blocks/BlockInput,net/minecraft/command/argument/BlockStateArgument,net/minecraft/class_2247
gh$a,net/minecraft/src/C_4426_$C_213429_,net/minecraft/commands/arguments/blocks/ArgumentBlock$a,net/minecraft/commands/arguments/blocks/BlockStateParser$BlockResult,net/minecraft/command/argument/BlockArgumentParser$BlockResult,net/minecraft/class_2259$class_7211
gg,net/minecraft/src/C_4398_,net/minecraft/commands/arguments/blocks/ArgumentTile,net/minecraft/commands/arguments/blocks/BlockStateArgument,net/minecraft/command/argument/BlockStateArgumentType,net/minecraft/class_2257
gh$b,net/minecraft/src/C_4426_$C_213430_,net/minecraft/commands/arguments/blocks/ArgumentBlock$b,net/minecraft/commands/arguments/blocks/BlockStateParser$TagResult,net/minecraft/command/argument/BlockArgumentParser$TagResult,net/minecraft/class_2259$class_7212
gf$a,net/minecraft/src/C_4367_$C_4369_,net/minecraft/commands/arguments/blocks/ArgumentBlockPredicate$a,net/minecraft/commands/arguments/blocks/BlockPredicateArgument$BlockPredicate,net/minecraft/command/argument/BlockPredicateArgumentType$StatePredicate,net/minecraft/class_2252$class_2253
gf,net/minecraft/src/C_4367_,net/minecraft/commands/arguments/blocks/ArgumentBlockPredicate,net/minecraft/commands/arguments/blocks/BlockPredicateArgument,net/minecraft/command/argument/BlockPredicateArgumentType,net/minecraft/class_2252
gh,net/minecraft/src/C_4426_,net/minecraft/commands/arguments/blocks/ArgumentBlock,net/minecraft/commands/arguments/blocks/BlockStateParser,net/minecraft/command/argument/BlockArgumentParser,net/minecraft/class_2259
fp$b,net/minecraft/src/C_243418_$C_243648_,net/minecraft/commands/arguments/ResourceOrTagKeyArgument$b,net/minecraft/commands/arguments/ResourceOrTagKeyArgument$ResourceResult,net/minecraft/command/argument/RegistryPredicateArgumentType$RegistryKeyBased,net/minecraft/class_7066$class_7067
fr$b,net/minecraft/src/C_4081_$C_4082_,net/minecraft/commands/arguments/ArgumentScoreholder$b,net/minecraft/commands/arguments/ScoreHolderArgument$Result,net/minecraft/command/argument/ScoreHolderArgumentType$ScoreHolders,net/minecraft/class_2233$class_2234
fd$f,net/minecraft/src/C_3685_$C_3691_,net/minecraft/commands/arguments/ArgumentNBTKey$f,net/minecraft/commands/arguments/NbtPathArgument$MatchRootObjectNode,net/minecraft/command/argument/NbtPathArgumentType$FilteredRootNode,net/minecraft/class_2203$class_3707
gn,net/minecraft/src/C_4612_,net/minecraft/commands/arguments/coordinates/ArgumentRotation,net/minecraft/commands/arguments/coordinates/RotationArgument,net/minecraft/command/argument/RotationArgumentType,net/minecraft/class_2270
go,net/minecraft/src/C_4633_,net/minecraft/commands/arguments/coordinates/ArgumentRotationAxis,net/minecraft/commands/arguments/coordinates/SwizzleArgument,net/minecraft/command/argument/SwizzleArgumentType,net/minecraft/class_2273
