混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
aqi,net/minecraft/src/C_5429_,net/minecraft/server/level/PlayerChunkMap,net/minecraft/server/level/ChunkMap,net/minecraft/server/world/ServerChunkLoadingManager,net/minecraft/class_3898
aqj$a,net/minecraft/src/C_313292_$C_313601_,net/minecraft/server/level/ChunkResult$a,net/minecraft/server/level/ChunkResult$Fail,net/minecraft/server/world/OptionalChunk$LoadFailure,net/minecraft/class_9259$class_9260
ama$a,net/minecraft/src/C_183128_$C_183129_,,net/minecraft/server/chase/ChaseClient$TeleportTarget,net/minecraft/server/chase/ChaseClient$TeleportPos,net/minecraft/class_6630$class_6631
amb,net/minecraft/src/C_183130_,,net/minecraft/server/chase/ChaseServer,net/minecraft/server/chase/ChaseServer,net/minecraft/class_6632
amb$a,net/minecraft/src/C_183130_$C_183131_,,net/minecraft/server/chase/ChaseServer$PlayerPosition,net/minecraft/server/chase/ChaseServer$TeleportPos,net/minecraft/class_6632$class_6668
ama,net/minecraft/src/C_183128_,,net/minecraft/server/chase/ChaseClient,net/minecraft/server/chase/ChaseClient,net/minecraft/class_6630
aqa,net/minecraft/src/C_5416_,net/minecraft/server/gui/ServerGUI,net/minecraft/server/gui/MinecraftServerGui,net/minecraft/server/dedicated/gui/DedicatedServerGui,net/minecraft/class_3182
aqa$1,net/minecraft/src/C_5416_$C_5417_,net/minecraft/server/gui/ServerGUI$1,net/minecraft/server/gui/MinecraftServerGui$1,net/minecraft/server/dedicated/gui/DedicatedServerGui$1,net/minecraft/class_3182$1
aqa$2,net/minecraft/src/C_5416_$C_5418_,net/minecraft/server/gui/ServerGUI$2,net/minecraft/server/gui/MinecraftServerGui$2,net/minecraft/server/dedicated/gui/DedicatedServerGui$2,net/minecraft/class_3182$2
aqb,net/minecraft/src/C_5419_,net/minecraft/server/gui/PlayerListBox,net/minecraft/server/gui/PlayerListComponent,net/minecraft/server/dedicated/gui/PlayerListGui,net/minecraft/class_3184
aqc,net/minecraft/src/C_5420_,net/minecraft/server/gui/GuiStatsComponent,net/minecraft/server/gui/StatsComponent,net/minecraft/server/dedicated/gui/PlayerStatsGui,net/minecraft/class_3186
aln$c,net/minecraft/src/C_336525_$C_336566_,net/minecraft/server/ServerLinks$UntrustedEntry,net/minecraft/server/ServerLinks$UntrustedEntry,net/minecraft/server/ServerLinks$StringifiedEntry,net/minecraft/class_9782$class_9816
als,net/minecraft/src/C_5288_,net/minecraft/server/TickTask,net/minecraft/server/TickTask,net/minecraft/server/ServerTask,net/minecraft/class_3738
avo,net/minecraft/src/C_113_,net/minecraft/server/rcon/RemoteStatusReply,net/minecraft/server/rcon/NetworkDataOutputStream,net/minecraft/server/rcon/DataStreamHelper,net/minecraft/class_3345
avp,net/minecraft/src/C_114_,net/minecraft/server/rcon/StatusChallengeUtils,net/minecraft/server/rcon/PktUtils,net/minecraft/server/rcon/BufferHelper,net/minecraft/class_3347
avq,net/minecraft/src/C_115_,net/minecraft/server/rcon/RemoteControlCommandListener,net/minecraft/server/rcon/RconConsoleSource,net/minecraft/server/rcon/RconCommandOutput,net/minecraft/class_3350
avv,net/minecraft/src/C_120_,net/minecraft/server/rcon/thread/RemoteControlListener,net/minecraft/server/rcon/thread/RconThread,net/minecraft/server/rcon/RconListener,net/minecraft/class_3408
avt$a,net/minecraft/src/C_117_$C_118_,net/minecraft/server/rcon/thread/RemoteStatusListener$RemoteStatusChallenge,net/minecraft/server/rcon/thread/QueryThreadGs4$RequestChallenge,net/minecraft/server/rcon/QueryResponseHandler$Query,net/minecraft/class_3364$class_3365
avt,net/minecraft/src/C_117_,net/minecraft/server/rcon/thread/RemoteStatusListener,net/minecraft/server/rcon/thread/QueryThreadGs4,net/minecraft/server/rcon/QueryResponseHandler,net/minecraft/class_3364
avs,net/minecraft/src/C_116_,net/minecraft/server/rcon/thread/RemoteConnectionThread,net/minecraft/server/rcon/thread/GenericThread,net/minecraft/server/rcon/RconBase,net/minecraft/class_3359
avu,net/minecraft/src/C_119_,net/minecraft/server/rcon/thread/RemoteControlSession,net/minecraft/server/rcon/thread/RconClient,net/minecraft/server/rcon/RconClient,net/minecraft/class_3389
ala,net/minecraft/src/C_5273_,net/minecraft/server/DebugOutputStream,net/minecraft/server/DebugLoggedPrintStream,net/minecraft/util/logging/DebugLoggerPrintStream,net/minecraft/class_2980
net/minecraft/obfuscate/DontObfuscate,net/minecraft/src/C_141833_,,net/minecraft/obfuscate/DontObfuscate,net/minecraft/obfuscate/DontObfuscate,net/minecraft/obfuscate/DontObfuscate
axh,net/minecraft/src/C_203210_,net/minecraft/tags/TagNetworkSerialization,net/minecraft/tags/TagNetworkSerialization,net/minecraft/registry/tag/TagPacketSerializer,net/minecraft/class_6864
axg$b,net/minecraft/src/C_161_$C_212965_,net/minecraft/tags/TagDataPack$b,net/minecraft/tags/TagLoader$EntryWithSource,net/minecraft/registry/tag/TagGroupLoader$TrackedEntry,net/minecraft/class_3503$class_5145
axh$a,net/minecraft/src/C_203210_$C_203211_,net/minecraft/tags/TagNetworkSerialization$a,net/minecraft/tags/TagNetworkSerialization$NetworkPayload,net/minecraft/registry/tag/TagPacketSerializer$Serialized,net/minecraft/class_6864$class_5748
axb,net/minecraft/src/C_212959_,net/minecraft/tags/StructureTags,net/minecraft/tags/StructureTags,net/minecraft/registry/tag/StructureTags,net/minecraft/class_7045
axg$1,net/minecraft/src/C_161_$C_212964_,net/minecraft/tags/TagDataPack$1,net/minecraft/tags/TagLoader$1,net/minecraft/registry/tag/TagGroupLoader$1,net/minecraft/class_3503$1
axc,net/minecraft/src/C_212960_,,net/minecraft/tags/TagBuilder,net/minecraft/registry/tag/TagBuilder,net/minecraft/class_3495
awr,net/minecraft/src/C_268400_,net/minecraft/tags/DamageTypeTags,net/minecraft/tags/DamageTypeTags,net/minecraft/registry/tag/DamageTypeTags,net/minecraft/class_8103
