owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
djp,su,f_303692_,,WAXED_OXIDIZED_COPPER_DOOR,WAXED_OXIDIZED_COPPER_DOOR,field_47046,field,public static final Block
djp,sv,f_302853_,,WAXED_WEATHERED_COPPER_DOOR,WAXED_WEATHERED_COPPER_DOOR,field_47047,field,public static final Block
djp,sw,f_303635_,,COPPER_TRAPDOOR,COPPER_TRAPDOOR,field_47048,field,public static final Block
djp,sx,f_303609_,,EXPOSED_COPPER_TRAPDOOR,EXPOSED_COPPER_TRAPDOOR,field_47049,field,public static final Block
djp,sy,f_302247_,,OXIDIZED_COPPER_TRAPDOOR,OXIDIZED_COPPER_TRAPDOOR,field_47050,field,public static final Block
djp,sz,f_302627_,,WEATHERED_COPPER_TRAPDOOR,WEATHERED_COPPER_TRAPDOOR,field_47051,field,public static final Block
djp,sA,f_302395_,,WAXED_COPPER_TRAPDOOR,WAXED_COPPER_TRAPDOOR,field_47052,field,public static final Block
djp,sB,f_302272_,,WAXED_EXPOSED_COPPER_TRAPDOOR,WAXED_EXPOSED_COPPER_TRAPDOOR,field_47053,field,public static final Block
djp,sC,f_303101_,,WAXED_OXIDIZED_COPPER_TRAPDOOR,WAXED_OXIDIZED_COPPER_TRAPDOOR,field_47062,field,public static final Block
djp,sD,f_303663_,,WAXED_WEATHERED_COPPER_TRAPDOOR,WAXED_WEATHERED_COPPER_TRAPDOOR,field_47063,field,public static final Block
djp,sE,f_303215_,,COPPER_GRATE,COPPER_GRATE,field_47064,field,public static final Block
djp,sF,f_302995_,,EXPOSED_COPPER_GRATE,EXPOSED_COPPER_GRATE,field_47065,field,public static final Block
djp,sG,f_303236_,,WEATHERED_COPPER_GRATE,WEATHERED_COPPER_GRATE,field_47066,field,public static final Block
djp,sH,f_303549_,,OXIDIZED_COPPER_GRATE,OXIDIZED_COPPER_GRATE,field_47067,field,public static final Block
djp,sI,f_303013_,,WAXED_COPPER_GRATE,WAXED_COPPER_GRATE,field_47068,field,public static final Block
djp,sJ,f_303410_,,WAXED_EXPOSED_COPPER_GRATE,WAXED_EXPOSED_COPPER_GRATE,field_47069,field,public static final Block
djp,sK,f_302872_,,WAXED_WEATHERED_COPPER_GRATE,WAXED_WEATHERED_COPPER_GRATE,field_47070,field,public static final Block
djp,sL,f_303373_,,WAXED_OXIDIZED_COPPER_GRATE,WAXED_OXIDIZED_COPPER_GRATE,field_47071,field,public static final Block
djp,sM,f_302358_,,COPPER_BULB,COPPER_BULB,field_47072,field,public static final Block
djp,sN,f_303271_,,EXPOSED_COPPER_BULB,EXPOSED_COPPER_BULB,field_47073,field,public static final Block
djp,sO,f_303674_,,WEATHERED_COPPER_BULB,WEATHERED_COPPER_BULB,field_47074,field,public static final Block
djp,sP,f_302668_,,OXIDIZED_COPPER_BULB,OXIDIZED_COPPER_BULB,field_47075,field,public static final Block
djp,sQ,f_302439_,,WAXED_COPPER_BULB,WAXED_COPPER_BULB,field_47076,field,public static final Block
djp,sR,f_303797_,,WAXED_EXPOSED_COPPER_BULB,WAXED_EXPOSED_COPPER_BULB,field_47077,field,public static final Block
djp,sS,f_302556_,,WAXED_WEATHERED_COPPER_BULB,WAXED_WEATHERED_COPPER_BULB,field_47078,field,public static final Block
djp,sT,f_302347_,,WAXED_OXIDIZED_COPPER_BULB,WAXED_OXIDIZED_COPPER_BULB,field_47079,field,public static final Block
djp,sU,f_152587_,,LIGHTNING_ROD,LIGHTNING_ROD,field_27171,field,public static final Block
djp,sV,f_152588_,,POINTED_DRIPSTONE,POINTED_DRIPSTONE,field_28048,field,public static final Block
djp,sW,f_152537_,,DRIPSTONE_BLOCK,DRIPSTONE_BLOCK,field_28049,field,public static final Block
djp,sX,f_152538_,,CAVE_VINES,CAVE_VINES,field_28675,field,public static final Block
djp,sY,f_152539_,,CAVE_VINES_PLANT,CAVE_VINES_PLANT,field_28676,field,public static final Block
djp,sZ,f_152540_,,SPORE_BLOSSOM,SPORE_BLOSSOM,field_28677,field,public static final Block
djp,ta,f_152541_,,AZALEA,AZALEA,field_28678,field,public static final Block
djp,tb,f_152542_,,FLOWERING_AZALEA,FLOWERING_AZALEA,field_28679,field,public static final Block
