owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
j,a(),func_82362_a(),,,,,method,a(),()I,int
j,b(),func_71514_a(),getAliases(),,,,method,b(),()Ljava/util/List;,List<String>
j,"a(MinecraftServer arg0, n arg1)","func_184882_a(MinecraftServer arg0, ICommandSender arg1)","canUse(MinecraftServer arg0, ICommandListener arg1)",,,,method,"a(MinecraftServer arg0, n arg1)",(Lnet/minecraft/server/MinecraftServer;Ln;)Z,boolean
j,"a(MinecraftServer arg0, n arg1, String[] arg2, co arg3)","func_184883_a(MinecraftServer arg0, ICommandSender arg1, String[] arg2, BlockPos arg3)","tabComplete(MinecraftServer arg0, ICommandListener arg1, String[] arg2, BlockPosition arg3)",,,,method,"a(MinecraftServer arg0, n arg1, String[] arg2, co arg3)",(Lnet/minecraft/server/MinecraftServer;Ln;[Ljava/lang/String;Lco;)Ljava/util/List;,List<String>
j,a(String arg0),func_175755_a(String arg0),,,,,method,a(String arg0),(Ljava/lang/String;)I,int
j,"a(String arg0, int arg1)","func_180528_a(String arg0, int arg1)",,,,,method,"a(String arg0, int arg1)",(Ljava/lang/String;I)I,int
j,"a(String arg0, int arg1, int arg2)","func_175764_a(String arg0, int arg1, int arg2)",,,,,method,"a(String arg0, int arg1, int arg2)",(Ljava/lang/String;II)I,int
j,b(String arg0),func_175766_b(String arg0),,,,,method,b(String arg0),(Ljava/lang/String;)J,long
j,"a(String arg0, long arg1, long arg2)","func_175760_a(String arg0, long arg1, long arg2)",,,,,method,"a(String arg0, long arg1, long arg2)",(Ljava/lang/String;JJ)J,long
j,"a(n arg0, String[] arg1, int arg2, boolean arg3)","func_175757_a(ICommandSender arg0, String[] arg1, int arg2, boolean arg3)",,,,,method,"a(n arg0, String[] arg1, int arg2, boolean arg3)",(Ln;[Ljava/lang/String;IZ)Lco;,BlockPosition
j,c(String arg0),func_175765_c(String arg0),,,,,method,c(String arg0),(Ljava/lang/String;)D,double
j,"a(String arg0, double arg1)","func_180526_a(String arg0, double arg1)",,,,,method,"a(String arg0, double arg1)",(Ljava/lang/String;D)D,double
j,"a(String arg0, double arg1, double arg2)","func_175756_a(String arg0, double arg1, double arg2)",,,,,method,"a(String arg0, double arg1, double arg2)",(Ljava/lang/String;DD)D,double
j,d(String arg0),func_180527_d(String arg0),,,,,method,d(String arg0),(Ljava/lang/String;)Z,boolean
j,a(n arg0),func_71521_c(ICommandSender arg0),,,,,method,a(n arg0),(Ln;)Lly;,EntityPlayer
j,"a(MinecraftServer arg0, n arg1, String arg2)","func_184888_a(MinecraftServer arg0, ICommandSender arg1, String arg2)",,,,,method,"a(MinecraftServer arg0, n arg1, String arg2)",(Lnet/minecraft/server/MinecraftServer;Ln;Ljava/lang/String;)Lly;,EntityPlayer
j,"b(MinecraftServer arg0, n arg1, String arg2)","func_184885_b(MinecraftServer arg0, ICommandSender arg1, String arg2)",,,,,method,"b(MinecraftServer arg0, n arg1, String arg2)",(Lnet/minecraft/server/MinecraftServer;Ln;Ljava/lang/String;)Lsm;,Entity
j,"a(MinecraftServer arg0, n arg1, String arg2, Class<? extends T> arg3)","func_184884_a(MinecraftServer arg0, ICommandSender arg1, String arg2, Class<? extends T> arg3)",,,,,method,"a(MinecraftServer arg0, n arg1, String arg2, Class<? extends T> arg3)",(Lnet/minecraft/server/MinecraftServer;Ln;Ljava/lang/String;Ljava/lang/Class;)Lsm;,<T extends Entity> T
j,"c(MinecraftServer arg0, n arg1, String arg2)","func_184890_c(MinecraftServer arg0, ICommandSender arg1, String arg2)",,,,,method,"c(MinecraftServer arg0, n arg1, String arg2)",(Lnet/minecraft/server/MinecraftServer;Ln;Ljava/lang/String;)Ljava/util/List;,List<Entity>
j,"d(MinecraftServer arg0, n arg1, String arg2)","func_184886_d(MinecraftServer arg0, ICommandSender arg1, String arg2)",,,,,method,"d(MinecraftServer arg0, n arg1, String arg2)",(Lnet/minecraft/server/MinecraftServer;Ln;Ljava/lang/String;)Ljava/lang/String;,String
j,"e(MinecraftServer arg0, n arg1, String arg2)","func_184891_e(MinecraftServer arg0, ICommandSender arg1, String arg2)",,,,,method,"e(MinecraftServer arg0, n arg1, String arg2)",(Lnet/minecraft/server/MinecraftServer;Ln;Ljava/lang/String;)Ljava/lang/String;,String
