混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/text/TextFormatting,net/minecraft/server/v1_11_R1/EnumChatFormat,,,
aa,net/minecraft/command/CommandEffect,net/minecraft/server/v1_11_R1/CommandEffect,,,
aaa$a,net/minecraft/entity/monster/EntityPigZombie$AITargetAggressor,net/minecraft/server/v1_11_R1/EntityPigZombie$PathfinderGoalAnger,,,
aaa$b,net/minecraft/entity/monster/EntityPigZombie$AIHurtByAggressor,net/minecraft/server/v1_11_R1/EntityPigZombie$PathfinderGoalAngerOther,,,
aaa,net/minecraft/entity/monster/EntityPigZombie,net/minecraft/server/v1_11_R1/EntityPigZombie,,,
aab,net/minecraft/entity/IRangedAttackMob,net/minecraft/server/v1_11_R1/IRangedEntity,,,
aac,net/minecraft/entity/SharedMonsterAttributes,net/minecraft/server/v1_11_R1/GenericAttributes,,,
aad$a,net/minecraft/entity/monster/EntityShulker$AIAttack,net/minecraft/server/v1_11_R1/EntityShulker$a,,,
aad$b,net/minecraft/entity/monster/EntityShulker$BodyHelper,net/minecraft/server/v1_11_R1/EntityShulker$b,,,
aad$c$1,net/minecraft/entity/monster/EntityShulker$AIDefenseAttack$1,net/minecraft/server/v1_11_R1/EntityShulker$c$1,,,
aad$c,net/minecraft/entity/monster/EntityShulker$AIDefenseAttack,net/minecraft/server/v1_11_R1/EntityShulker$c,,,
aad$d,net/minecraft/entity/monster/EntityShulker$AIAttackNearest,net/minecraft/server/v1_11_R1/EntityShulker$d,,,
aad$e,net/minecraft/entity/monster/EntityShulker$AIPeek,net/minecraft/server/v1_11_R1/EntityShulker$e,,,
aad,net/minecraft/entity/monster/EntityShulker,net/minecraft/server/v1_11_R1/EntityShulker,,,
aae$a,net/minecraft/entity/monster/EntitySilverfish$AIHideInStone,net/minecraft/server/v1_11_R1/EntitySilverfish$PathfinderGoalSilverfishHideInBlock,,,
aae$b,net/minecraft/entity/monster/EntitySilverfish$AISummonSilverfish,net/minecraft/server/v1_11_R1/EntitySilverfish$PathfinderGoalSilverfishWakeOthers,,,
aae,net/minecraft/entity/monster/EntitySilverfish,net/minecraft/server/v1_11_R1/EntitySilverfish,,,
aaf,net/minecraft/entity/monster/EntitySkeleton,net/minecraft/server/v1_11_R1/EntitySkeleton,,,
aag$a,net/minecraft/entity/monster/EntitySlime$AISlimeAttack,net/minecraft/server/v1_11_R1/EntitySlime$PathfinderGoalSlimeNearestPlayer,,,
aag$b,net/minecraft/entity/monster/EntitySlime$AISlimeFloat,net/minecraft/server/v1_11_R1/EntitySlime$PathfinderGoalSlimeRandomJump,,,
aag$c,net/minecraft/entity/monster/EntitySlime$AISlimeHop,net/minecraft/server/v1_11_R1/EntitySlime$PathfinderGoalSlimeIdle,,,
aag$d,net/minecraft/entity/monster/EntitySlime$SlimeMoveHelper,net/minecraft/server/v1_11_R1/EntitySlime$ControllerMoveSlime,,,
aag$e,net/minecraft/entity/monster/EntitySlime$AISlimeFaceRandom,net/minecraft/server/v1_11_R1/EntitySlime$PathfinderGoalSlimeRandomDirection,,,
aag,net/minecraft/entity/monster/EntitySlime,net/minecraft/server/v1_11_R1/EntitySlime,,,
aah$a,net/minecraft/entity/monster/EntitySpider$AISpiderAttack,net/minecraft/server/v1_11_R1/EntitySpider$PathfinderGoalSpiderMeleeAttack,,,
aah$b,net/minecraft/entity/monster/EntitySpider$GroupData,net/minecraft/server/v1_11_R1/EntitySpider$GroupDataSpider,,,
aah$c,net/minecraft/entity/monster/EntitySpider$AISpiderTarget,net/minecraft/server/v1_11_R1/EntitySpider$PathfinderGoalSpiderNearestAttackableTarget,,,
aah,net/minecraft/entity/monster/EntitySpider,net/minecraft/server/v1_11_R1/EntitySpider,,,
aai,net/minecraft/entity/monster/EntityStray,net/minecraft/server/v1_11_R1/EntitySkeletonStray,,,
aaj$a,net/minecraft/entity/monster/EntityVex$AIChargeAttack,net/minecraft/server/v1_11_R1/EntityVex$a,,,
aaj$b,net/minecraft/entity/monster/EntityVex$AICopyOwnerTarget,net/minecraft/server/v1_11_R1/EntityVex$b,,,
aaj$c,net/minecraft/entity/monster/EntityVex$AIMoveControl,net/minecraft/server/v1_11_R1/EntityVex$c,,,
aaj$d,net/minecraft/entity/monster/EntityVex$AIMoveRandom,net/minecraft/server/v1_11_R1/EntityVex$d,,,
aaj,net/minecraft/entity/monster/EntityVex,net/minecraft/server/v1_11_R1/EntityVex,,,
aak$1,net/minecraft/entity/monster/EntityVindicator$1,net/minecraft/server/v1_11_R1/EntityVindicator$1,,,
aak$a,net/minecraft/entity/monster/EntityVindicator$AIJohnnyAttack,net/minecraft/server/v1_11_R1/EntityVindicator$a,,,
aak,net/minecraft/entity/monster/EntityVindicator,net/minecraft/server/v1_11_R1/EntityVindicator,,,
