owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
a,a,BLACK,BLACK,,,,enum,
a,b,DARK_BLUE,DARK_BLUE,,,,enum,
a,c,DARK_GREEN,DARK_GREEN,,,,enum,
a,d,DARK_AQUA,DARK_AQUA,,,,enum,
a,e,DARK_RED,DARK_RED,,,,enum,
a,f,DARK_PURPLE,DARK_PURPLE,,,,enum,
a,g,GOLD,GOLD,,,,enum,
a,h,GRAY,GRAY,,,,enum,
a,i,DARK_GRAY,DARK_GRAY,,,,enum,
a,j,BLUE,BLUE,,,,enum,
a,k,GREEN,GREEN,,,,enum,
a,l,AQUA,AQUA,,,,enum,
a,m,RED,RED,,,,enum,
a,n,LIGHT_PURPLE,LIGHT_PURPLE,,,,enum,
a,o,YELLOW,YELLOW,,,,enum,
a,p,WHITE,WHITE,,,,enum,
a,q,OBFUSCATED,OBFUSCATED,,,,enum,
a,r,BOLD,BOLD,,,,enum,
a,s,STRIKETHROUGH,STRIKETHROUGH,,,,enum,
a,t,UNDERLINE,UNDERLINE,,,,enum,
a,u,ITALIC,ITALIC,,,,enum,
a,v,RESET,RESET,,,,enum,
a,w,field_96331_x,,,,,field,"private static final Map<String, EnumChatFormat>"
a,x,field_96330_y,,,,,field,private static final Pattern
a,y,field_175748_y,,,,,field,private final String
a,z,field_96329_z,,,,,field,private final char
a,A,field_96303_A,,,,,field,private final boolean
a,B,field_96304_B,,,,,field,private final String
a,C,field_175747_C,,,,,field,private final int
aaa,b,field_110189_bq,,,,,field,private static final UUID
aaa,c,field_110190_br,,,,,field,private static final AttributeModifier
aaa,bw,field_70837_d,angerLevel,,,,field,private int
aaa,bx,field_70838_e,soundDelay,,,,field,private int
aaa,by,field_175459_bn,hurtBy,,,,field,private UUID
aac,j,field_151476_f,,,,,field,private static final org.apache.logging.log4j.Logger
aac,a,field_111267_a,maxHealth,,,,field,public static final IAttribute
aac,b,field_111265_b,FOLLOW_RANGE,,,,field,public static final IAttribute
aac,c,field_111266_c,,,,,field,public static final IAttribute
aac,d,field_111263_d,MOVEMENT_SPEED,,,,field,public static final IAttribute
aac,e,field_111264_e,ATTACK_DAMAGE,,,,field,public static final IAttribute
aac,f,field_188790_f,,,,,field,public static final IAttribute
aac,g,field_188791_g,,,,,field,public static final IAttribute
aac,h,field_189429_h,,,,,field,public static final IAttribute
aac,i,field_188792_h,,,,,field,public static final IAttribute
aad$a,b,field_188520_b,,,,,field,private int
aad$e,b,field_188522_b,,,,,field,private int
aad,by,field_184703_bv,,,,,field,private static final UUID
aad,bz,field_184704_bw,,,,,field,private static final AttributeModifier
aad,a,field_184700_a,,,,,field,protected static final DataWatcherObject<EnumDirection>
aad,b,field_184701_b,,,,,field,protected static final DataWatcherObject<com.google.common.base.Optional<BlockPosition>>
aad,c,field_184702_c,,,,,field,protected static final DataWatcherObject<Byte>
aad,bw,field_190770_bw,,,,,field,protected static final DataWatcherObject<Byte>
aad,bx,field_190771_bx,,,,,field,public static final EnumColor
aad,bA,field_184705_bx,,,,,field,private float
aad,bB,field_184706_by,,,,,field,private float
aad,bC,field_184707_bz,,,,,field,private BlockPosition
aad,bD,field_184708_bA,,,,,field,private int
aae$a,h,field_179483_b,,,,,field,private EnumDirection
aae$a,i,field_179484_c,,,,,field,private boolean
aae$b,a,field_179464_a,silverfish,,,,field,private final EntitySilverfish
aae$b,b,field_179463_b,,,,,field,private int
aae,a,field_175460_b,,,,,field,private EntitySilverfish$PathfinderGoalSilverfishWakeOthers
aag$a,a,field_179466_a,,,,,field,private final EntitySlime
aag$a,b,field_179465_b,,,,,field,private int
aag$b,a,field_179457_a,,,,,field,private final EntitySlime
aag$c,a,field_179458_a,,,,,field,private final EntitySlime
aag$d,i,field_179922_g,,,,,field,private float
aag$d,j,field_179924_h,,,,,field,private int
aag$d,k,field_179925_i,,,,,field,private final EntitySlime
aag$d,l,field_179923_j,,,,,field,private boolean
aag$e,a,field_179461_a,,,,,field,private final EntitySlime
aag$e,b,field_179459_b,,,,,field,private float
aag$e,c,field_179460_c,,,,,field,private int
aag,bu,field_184711_bt,,,,,field,private static final DataWatcherObject<Integer>
aag,a,field_70813_a,,,,,field,public float
aag,b,field_70811_b,,,,,field,public float
aag,c,field_70812_c,,,,,field,public float
aag,bv,field_175452_bi,,,,,field,private boolean
aah$b,a,field_188478_a,,,,,field,public MobEffectList
aah,a,field_184729_a,,,,,field,private static final DataWatcherObject<Byte>
aaj,a,field_190664_a,,,,,field,protected static final DataWatcherObject<Byte>
aaj,b,field_190665_b,,,,,field,private EntityInsentient
aaj,c,field_190666_c,,,,,field,private BlockPosition
aaj,bw,field_190667_bw,,,,,field,private boolean
aaj,bx,field_190668_bx,,,,,field,private int
aak,a,field_190642_a,,,,,field,protected static final DataWatcherObject<Byte>
aak,b,field_190643_b,,,,,field,private boolean
aak,c,field_190644_c,,,,,field,private static final com.google.common.base.Predicate<Entity>
aal,a,field_110184_bp,,,,,field,private static final UUID
aal,b,field_110185_bq,,,,,field,private static final AttributeModifier
