混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/client/renderer/Quaternion,net/minecraft/server/v1_14_R1/Quaternion,,,net/minecraft/class_1158
aa,net/minecraft/advancements/FrameType,net/minecraft/server/v1_14_R1/AdvancementFrameType,,,net/minecraft/class_189
aaa,net/minecraft/util/Unit,net/minecraft/server/v1_14_R1/Unit,,,net/minecraft/class_3902
aac$a,net/minecraft/util/WeightedRandom$Item,net/minecraft/server/v1_14_R1/WeightedRandom$WeightedRandomChoice,,,net/minecraft/class_3549$class_3550
aac,net/minecraft/util/WeightedRandom,net/minecraft/server/v1_14_R1/WeightedRandom,,,net/minecraft/class_3549
aad,net/minecraft/util/datafix/DefaultTypeReferences,net/minecraft/server/v1_14_R1/DataFixTypes,,,net/minecraft/class_4284
aae$1,net/minecraft/util/datafix/DataFixesManager$1,net/minecraft/server/v1_14_R1/DataConverterRegistry$1,,,net/minecraft/class_3551$1
aae$2,net/minecraft/util/datafix/DataFixesManager$2,net/minecraft/server/v1_14_R1/DataConverterRegistry$2,,,net/minecraft/class_3551$2
aae,net/minecraft/util/datafix/DataFixesManager,net/minecraft/server/v1_14_R1/DataConverterRegistry,,,net/minecraft/class_3551
aaf,net/minecraft/util/datafix/fixes/OminousBannerRenameFix,net/minecraft/server/v1_14_R1/DataConverterOminousBannerRename,,,net/minecraft/class_4294
aag,net/minecraft/util/datafix/fixes/AddNewChoices,net/minecraft/server/v1_14_R1/DataConverterAddChoices,,,net/minecraft/class_3553
aah,net/minecraft/util/datafix/fixes/AdvancementsFix,net/minecraft/server/v1_14_R1/DataConverterAdvancement,,,net/minecraft/class_3555
aai,net/minecraft/util/datafix/fixes/AddBedTileEntity,net/minecraft/server/v1_14_R1/DataConverterBedBlock,,,net/minecraft/class_3557
aaj,net/minecraft/util/datafix/fixes/BedItemColor,net/minecraft/server/v1_14_R1/DataConverterBedItem,,,net/minecraft/class_3559
aak,net/minecraft/util/datafix/fixes/BiomeRenames,net/minecraft/server/v1_14_R1/DataConverterBiome,,,net/minecraft/class_3561
aal,net/minecraft/util/datafix/fixes/BlockEntityBannerColor,net/minecraft/server/v1_14_R1/DataConverterBannerColour,,,net/minecraft/class_3564
aam,net/minecraft/util/datafix/fixes/PistonPushedBlock,net/minecraft/server/v1_14_R1/DataConverterPiston,,,net/minecraft/class_3566
aan,net/minecraft/util/datafix/fixes/CustomNameStringToComponentFixTileEntity,net/minecraft/server/v1_14_R1/DataConverterCustomNameTile,,,net/minecraft/class_3567
aao,net/minecraft/util/datafix/fixes/TileEntityId,net/minecraft/server/v1_14_R1/DataConverterTileEntity,,,net/minecraft/class_3571
aap,net/minecraft/util/datafix/fixes/JukeboxRecordItem,net/minecraft/server/v1_14_R1/DataConverterJukeBox,,,net/minecraft/class_3573
aaq,net/minecraft/util/datafix/fixes/BlockEntityKeepPacked,net/minecraft/server/v1_14_R1/DataConverterBlockEntityKeepPacked,,,net/minecraft/class_3574
aar,net/minecraft/util/datafix/fixes/ShulkerBoxTileColor,net/minecraft/server/v1_14_R1/DataConverterShulkerBoxBlock,,,net/minecraft/class_3575
aas$1,net/minecraft/util/datafix/fixes/SignStrictJSON$1,net/minecraft/server/v1_14_R1/DataConverterSignText$1,,,net/minecraft/class_3577$1
aas,net/minecraft/util/datafix/fixes/SignStrictJSON,net/minecraft/server/v1_14_R1/DataConverterSignText,,,net/minecraft/class_3577
aat,net/minecraft/util/datafix/fixes/BlockNameFlattening,net/minecraft/server/v1_14_R1/DataConverterBlockName,,,net/minecraft/class_3578
aau$1,net/minecraft/util/datafix/fixes/BlockRename$1,net/minecraft/server/v1_14_R1/DataConverterBlockRename$1,,,net/minecraft/class_3579$1
aau,net/minecraft/util/datafix/fixes/BlockRename,net/minecraft/server/v1_14_R1/DataConverterBlockRename,,,net/minecraft/class_3579
aav,net/minecraft/util/datafix/fixes/BlockStateFlatteningMap,net/minecraft/server/v1_14_R1/DataConverterFlattenData,,,net/minecraft/class_3580
aaw,net/minecraft/util/datafix/fixes/BlockStateFlattenStructures,net/minecraft/server/v1_14_R1/DataConverterFlattenState,,,net/minecraft/class_3581
aax,net/minecraft/util/datafix/fixes/CatTypeFix,net/minecraft/server/v1_14_R1/DataConverterCatType,,,net/minecraft/class_3903
aay,net/minecraft/util/datafix/fixes/ChunkLightRemoveFix,net/minecraft/server/v1_14_R1/DataConverterChunkLightRemove,,,net/minecraft/class_3755
aaz$a,net/minecraft/util/datafix/fixes/ChunkPaletteFormat$NibbleArray,net/minecraft/server/v1_14_R1/ChunkConverterPalette$a,,,net/minecraft/class_3582$class_3583
