混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
u,net/minecraft/src/C_5047_,net/minecraft/ThreadNamedUncaughtExceptionHandler,net/minecraft/DefaultUncaughtExceptionHandlerWithName,net/minecraft/util/logging/UncaughtExceptionHandler,net/minecraft/class_143
mv,net/minecraft/src/C_4881_,net/minecraft/gametest/framework/GameTestHarnessAssertion,net/minecraft/gametest/framework/GameTestAssertException,net/minecraft/test/GameTestException,net/minecraft/class_4512
np,net/minecraft/src/C_4900_,net/minecraft/gametest/framework/GameTestHarnessStructures,net/minecraft/gametest/framework/StructureUtils,net/minecraft/test/StructureTestUtil,net/minecraft/class_4525
ms,net/minecraft/src/C_141817_,net/minecraft/gametest/framework/BeforeBatch,net/minecraft/gametest/framework/BeforeBatch,net/minecraft/test/BeforeBatch,net/minecraft/class_6301
no,net/minecraft/src/C_141828_,net/minecraft/gametest/framework/ReportGameListener,net/minecraft/gametest/framework/ReportGameListener,net/minecraft/test/StructureTestListener,net/minecraft/class_5624
nh$1,net/minecraft/src/C_141824_$1,,net/minecraft/gametest/framework/GameTestServer$1,net/minecraft/test/TestServer$1,net/minecraft/class_6306$1
ne,net/minecraft/src/C_4891_,net/minecraft/gametest/framework/GameTestHarnessRegistry,net/minecraft/gametest/framework/GameTestRegistry,net/minecraft/test/TestFunctions,net/minecraft/class_4519
mu,net/minecraft/src/C_141819_,net/minecraft/gametest/framework/GameTest,net/minecraft/gametest/framework/GameTest,net/minecraft/test/GameTest,net/minecraft/class_6302
nb,net/minecraft/src/C_4888_,net/minecraft/gametest/framework/GameTestHarnessHelper,net/minecraft/gametest/framework/GameTestHelper,net/minecraft/test/TestContext,net/minecraft/class_4516
mx,net/minecraft/src/C_4884_,net/minecraft/gametest/framework/GameTestHarnessBatch,net/minecraft/gametest/framework/GameTestBatch,net/minecraft/test/GameTestBatch,net/minecraft/class_4514
nk,net/minecraft/src/C_141826_,net/minecraft/gametest/framework/GlobalTestReporter,net/minecraft/gametest/framework/GlobalTestReporter,net/minecraft/test/TestFailureLogger,net/minecraft/class_5623
my,net/minecraft/src/C_4885_,net/minecraft/gametest/framework/GameTestHarnessBatchRunner,net/minecraft/gametest/framework/GameTestBatchRunner,net/minecraft/test/TestRunner,net/minecraft/class_4515
nm,net/minecraft/src/C_4897_,net/minecraft/gametest/framework/GameTestHarnessLogger,net/minecraft/gametest/framework/LogTestReporter,net/minecraft/test/FailureLoggingTestCompletionListener,net/minecraft/class_4523
nt,net/minecraft/src/C_4904_,net/minecraft/gametest/framework/GameTestHarnessTestFunction,net/minecraft/gametest/framework/TestFunction,net/minecraft/test/TestFunction,net/minecraft/class_4529
na,net/minecraft/src/C_141820_,net/minecraft/gametest/framework/GameTestGenerator,net/minecraft/gametest/framework/GameTestGenerator,net/minecraft/test/CustomTestProvider,net/minecraft/class_6303
ns$a,net/minecraft/src/C_4902_$C_4903_,net/minecraft/gametest/framework/GameTestHarnessTestCommand$a,net/minecraft/gametest/framework/TestCommand$TestSummaryDisplayer,net/minecraft/server/command/TestCommand$Listener,net/minecraft/class_4527$class_4528
nq,net/minecraft/src/C_141830_,,net/minecraft/gametest/framework/TeamcityTestReporter,net/minecraft/test/TeamCityTestCompletionListener,net/minecraft/class_6308
nu,net/minecraft/src/C_4905_,net/minecraft/gametest/framework/GameTestHarnessTestFunctionArgument,net/minecraft/gametest/framework/TestFunctionArgument,net/minecraft/command/argument/TestFunctionArgumentType,net/minecraft/class_4530
nj,net/minecraft/src/C_4896_,net/minecraft/gametest/framework/GameTestHarnessTimeout,net/minecraft/gametest/framework/GameTestTimeoutException,net/minecraft/test/TickLimitExceededException,net/minecraft/class_4522
my$1,net/minecraft/src/C_4885_$1,net/minecraft/gametest/framework/GameTestHarnessBatchRunner$1,net/minecraft/gametest/framework/GameTestBatchRunner$1,net/minecraft/test/TestRunner$1,net/minecraft/class_4515$1
nn,net/minecraft/src/C_4898_,net/minecraft/gametest/framework/GameTestHarnessCollector,net/minecraft/gametest/framework/MultipleTestTracker,net/minecraft/test/TestSet,net/minecraft/class_4524
ni,net/minecraft/src/C_4895_,net/minecraft/gametest/framework/GameTestHarnessTicker,net/minecraft/gametest/framework/GameTestTicker,net/minecraft/test/TestManager,net/minecraft/class_4521
ns,net/minecraft/src/C_4902_,net/minecraft/gametest/framework/GameTestHarnessTestCommand,net/minecraft/gametest/framework/TestCommand,net/minecraft/server/command/TestCommand,net/minecraft/class_4527
nd,net/minecraft/src/C_4890_,net/minecraft/gametest/framework/GameTestHarnessListener,net/minecraft/gametest/framework/GameTestListener,net/minecraft/test/TestListener,net/minecraft/class_4518
mr,net/minecraft/src/C_141816_,net/minecraft/gametest/framework/AfterBatch,net/minecraft/gametest/framework/AfterBatch,net/minecraft/test/AfterBatch,net/minecraft/class_6300
mw,net/minecraft/src/C_4882_,net/minecraft/gametest/framework/GameTestHarnessAssertionPosition,net/minecraft/gametest/framework/GameTestAssertPosException,net/minecraft/test/PositionedException,net/minecraft/class_4513
nf,net/minecraft/src/C_4892_,net/minecraft/gametest/framework/GameTestHarnessRunner,net/minecraft/gametest/framework/GameTestRunner,net/minecraft/test/TestUtil,net/minecraft/class_4520
nn$1,net/minecraft/src/C_4898_$1,net/minecraft/gametest/framework/GameTestHarnessCollector$1,net/minecraft/gametest/framework/MultipleTestTracker$1,net/minecraft/test/TestSet$1,net/minecraft/class_4524$1
nh,net/minecraft/src/C_141824_,,net/minecraft/gametest/framework/GameTestServer,net/minecraft/test/TestServer,net/minecraft/class_6306
nl,net/minecraft/src/C_141827_,,net/minecraft/gametest/framework/JUnitLikeTestReporter,net/minecraft/test/XmlReportingTestCompletionListener,net/minecraft/class_6307
ng$a,net/minecraft/src/C_4894_$C_141823_,net/minecraft/gametest/framework/GameTestHarnessSequence$a,net/minecraft/gametest/framework/GameTestSequence$Condition,net/minecraft/test/TimedTaskRunner$Trigger,net/minecraft/class_4693$class_6304
mt,net/minecraft/src/C_141818_,net/minecraft/gametest/framework/ExhaustedAttemptsException,net/minecraft/gametest/framework/ExhaustedAttemptsException,net/minecraft/test/NotEnoughSuccessesError,net/minecraft/class_5622
ng,net/minecraft/src/C_4894_,net/minecraft/gametest/framework/GameTestHarnessSequence,net/minecraft/gametest/framework/GameTestSequence,net/minecraft/test/TimedTaskRunner,net/minecraft/class_4693
mz,net/minecraft/src/C_4887_,net/minecraft/gametest/framework/GameTestHarnessEvent,net/minecraft/gametest/framework/GameTestEvent,net/minecraft/test/TimedTask,net/minecraft/class_4692
nr,net/minecraft/src/C_4901_,net/minecraft/gametest/framework/GameTestHarnessTestClassArgument,net/minecraft/gametest/framework/TestClassNameArgument,net/minecraft/command/argument/TestClassArgumentType,net/minecraft/class_4526
nv,net/minecraft/src/C_4906_,net/minecraft/gametest/framework/GameTestHarnessITestReporter,net/minecraft/gametest/framework/TestReporter,net/minecraft/test/TestCompletionListener,net/minecraft/class_4531
nb$1,net/minecraft/src/C_4888_$1,net/minecraft/gametest/framework/GameTestHarnessHelper$1,net/minecraft/gametest/framework/GameTestHelper$1,net/minecraft/test/TestContext$1,net/minecraft/class_4516$1
nc,net/minecraft/src/C_4889_,net/minecraft/gametest/framework/GameTestHarnessInfo,net/minecraft/gametest/framework/GameTestInfo,net/minecraft/test/GameTestState,net/minecraft/class_4517
ad$6,net/minecraft/src/C_5322_$7,net/minecraft/SystemUtils$6,net/minecraft/Util$7,net/minecraft/util/Util$6,net/minecraft/class_156$6
x,net/minecraft/src/C_5144_,net/minecraft/FileUtils,net/minecraft/FileUtil,net/minecraft/util/FileNameUtil,net/minecraft/class_4239
ad$a,net/minecraft/src/C_5322_$C_5329_,net/minecraft/SystemUtils$IdentityHashingStrategy,net/minecraft/Util$IdentityStrategy,net/minecraft/util/Util$IdentityHashStrategy,net/minecraft/class_156$class_157
ad$4,net/minecraft/src/C_5322_$5,net/minecraft/SystemUtils$4,net/minecraft/Util$5,net/minecraft/util/Util$4,net/minecraft/class_156$4
s,net/minecraft/src/C_4957_,net/minecraft/CrashReportCallable,net/minecraft/CrashReportDetail,net/minecraft/util/crash/CrashCallable,net/minecraft/class_133
t,net/minecraft/src/C_5018_,net/minecraft/DefaultUncaughtExceptionHandler,net/minecraft/DefaultUncaughtExceptionHandler,net/minecraft/util/logging/UncaughtExceptionLogger,net/minecraft/class_140
y,net/minecraft/src/C_141895_,,net/minecraft/MethodsReturnNonnullByDefault,net/minecraft/util/annotation/MethodsReturnNonnullByDefault,net/minecraft/class_6328
ad,net/minecraft/src/C_5322_,net/minecraft/SystemUtils,net/minecraft/Util,net/minecraft/util/Util,net/minecraft/class_156
ad$5,net/minecraft/src/C_5322_$6,net/minecraft/SystemUtils$5,net/minecraft/Util$6,net/minecraft/util/Util$5,net/minecraft/class_156$5
ad$3,net/minecraft/src/C_5322_$4,net/minecraft/SystemUtils$3,net/minecraft/Util$4,net/minecraft/util/Util$3,net/minecraft/class_156$3
n$a,net/minecraft/src/C_4777_$C_4778_,net/minecraft/BlockUtil$Rectangle,net/minecraft/BlockUtil$FoundRectangle,net/minecraft/world/BlockLocating$Rectangle,net/minecraft/class_5459$class_5460
am$a,net/minecraft/src/C_176_$C_177_,net/minecraft/advancements/CriterionTrigger$a,net/minecraft/advancements/CriterionTrigger$Listener,net/minecraft/advancement/criterion/Criterion$ConditionsContainer,net/minecraft/class_179$class_180
ao,net/minecraft/src/C_237_,net/minecraft/advancements/AdvancementDisplay,net/minecraft/advancements/DisplayInfo,net/minecraft/advancement/AdvancementDisplay,net/minecraft/class_185
ai,net/minecraft/src/C_35_,net/minecraft/advancements/AdvancementRewards,net/minecraft/advancements/AdvancementRewards,net/minecraft/advancement/AdvancementRewards,net/minecraft/class_170
al,net/minecraft/src/C_134_,net/minecraft/advancements/CriterionProgress,net/minecraft/advancements/CriterionProgress,net/minecraft/advancement/criterion/CriterionProgress,net/minecraft/class_178
ar,net/minecraft/src/C_328_,net/minecraft/advancements/AdvancementTree,net/minecraft/advancements/TreeNodePosition,net/minecraft/advancement/AdvancementPositioner,net/minecraft/class_194
af,net/minecraft/src/C_5362_,net/minecraft/advancements/Advancement,net/minecraft/advancements/Advancement,net/minecraft/advancement/Advancement,net/minecraft/class_161
am,net/minecraft/src/C_176_,net/minecraft/advancements/CriterionTrigger,net/minecraft/advancements/CriterionTrigger,net/minecraft/advancement/criterion/Criterion,net/minecraft/class_179
ak,net/minecraft/src/C_109_,net/minecraft/advancements/Criterion,net/minecraft/advancements/Criterion,net/minecraft/advancement/AdvancementCriterion,net/minecraft/class_175
an,net/minecraft/src/C_207_,net/minecraft/advancements/CriterionInstance,net/minecraft/advancements/CriterionTriggerInstance,net/minecraft/advancement/criterion/CriterionConditions,net/minecraft/class_184
