owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
u,a,f_131799_,,logger,logger,field_1115,field,private final org.apache.logging.log4j.Logger
np,c,f_177742_,,LOGGER,LOGGER,field_27813,field,private static final org.apache.logging.log4j.Logger
np,a,f_177741_,,DEFAULT_TEST_STRUCTURES_DIR,TEST_STRUCTURES_DIRECTORY_NAME,field_33173,field,public static final String
np,b,f_127833_,,testStructuresDir,testStructuresDirectoryName,field_20579,field,public static String
np,d,f_177743_,,HOW_MANY_CHUNKS_TO_LOAD_IN_EACH_DIRECTION_OF_STRUCTURE,field_33174,field_33174,field,private static final int
no,c,f_177688_,,originalTestInfo,test,field_27810,field,private final GameTestInfo
no,d,f_177689_,,testTicker,testManager,field_27811,field,private final GameTestTicker
no,e,f_177690_,,structurePos,pos,field_27812,field,private final BlockPos
no,a,f_177686_,,attempts,attempt,field_27808,field,int
no,b,f_177687_,,successes,successes,field_27809,field,int
ne,a,f_177495_,,TEST_FUNCTIONS,TEST_FUNCTIONS,field_20570,field,private static final Collection<TestFunction>
ne,b,f_177496_,,TEST_CLASS_NAMES,TEST_CLASSES,field_20571,field,private static final Set<String>
ne,c,f_177497_,,BEFORE_BATCH_FUNCTIONS,BEFORE_BATCH_CONSUMERS,field_20572,field,"private static final Map<String, Consumer<ServerLevel>>"
ne,d,f_177498_,,AFTER_BATCH_FUNCTIONS,AFTER_BATCH_CONSUMERS,field_27806,field,"private static final Map<String, Consumer<ServerLevel>>"
ne,e,f_177499_,,LAST_FAILED_TESTS,FAILED_TEST_FUNCTIONS,field_25302,field,private static final Collection<TestFunction>
nb,a,f_127595_,,testInfo,test,field_20558,field,private final GameTestInfo
nb,b,f_177099_,,finalCheckAdded,hasFinalClause,field_33146,field,private boolean
mx,a,f_177056_,,DEFAULT_BATCH_NAME,DEFAULT_BATCH,field_33145,field,public static final String
mx,b,f_127539_,,name,id,field_20543,field,private final String
mx,c,f_127540_,,testFunctions,testFunctions,field_20544,field,private final Collection<TestFunction>
mx,d,f_127541_,,beforeBatchFunction,beforeBatchConsumer,field_20545,field,private final Consumer<ServerLevel>
mx,e,f_177057_,,afterBatchFunction,afterBatchConsumer,field_27801,field,private final Consumer<ServerLevel>
nk,a,f_177649_,,DELEGATE,completionListener,field_27807,field,private static TestReporter
my,a,f_127550_,,LOGGER,LOGGER,field_20546,field,private static final org.apache.logging.log4j.Logger
my,b,f_127551_,,firstTestNorthWestCorner,pos,field_20548,field,private final BlockPos
my,c,f_127552_,,level,world,field_20549,field,final ServerLevel
my,d,f_127553_,,testTicker,testManager,field_20550,field,private final GameTestTicker
my,e,f_127554_,,testsPerRow,sizeZ,field_20556,field,private final int
my,f,f_127555_,,allTestInfos,tests,field_20551,field,private final List<GameTestInfo>
my,g,f_127557_,,batches,batches,field_20547,field,"private final List<com.mojang.datafixers.util.Pair<GameTestBatch, Collection<GameTestInfo>>>"
my,h,f_127560_,,nextTestNorthWestCorner,reusablePos,field_20555,field,private final BlockPos$MutableBlockPos
nm,a,f_127793_,,LOGGER,LOGGER,field_20576,field,private static final org.apache.logging.log4j.Logger
nt,a,f_128067_,,batchName,batchId,field_20583,field,private final String
nt,b,f_128068_,,testName,structurePath,field_20584,field,private final String
nt,c,f_128069_,,structureName,structureName,field_20585,field,private final String
nt,d,f_128070_,,required,required,field_20586,field,private final boolean
nt,e,f_177798_,,maxAttempts,maxAttempts,field_27814,field,private final int
nt,f,f_177799_,,requiredSuccesses,requiredSuccesses,field_27815,field,private final int
nt,g,f_128071_,,function,starter,field_20587,field,private final Consumer<GameTestHelper>
nt,h,f_128072_,,maxTicks,tickLimit,field_20588,field,private final int
nt,i,f_128073_,,setupTicks,duration,field_21460,field,private final long
nt,j,f_128074_,,rotation,rotation,field_25306,field,private final Rotation
ns$a,a,f_128058_,,level,world,field_20581,field,private final ServerLevel
ns$a,b,f_128059_,,tracker,tests,field_20582,field,private final MultipleTestTracker
nq,a,f_177778_,,LOGGER,LOGGER,field_33176,field,private static final org.apache.logging.log4j.Logger
nq,b,f_177779_,,ESCAPER,ESCAPER,field_33177,field,private static final com.google.common.escape.Escaper
nu,a,f_128085_,,EXAMPLES,EXAMPLES,field_20589,field,private static final Collection<String>
nn,a,f_177677_,,NOT_STARTED_TEST_CHAR,NOT_STARTED,field_33168,field,private static final char
nn,b,f_177678_,,ONGOING_TEST_CHAR,RUNNING,field_33169,field,private static final char
nn,c,f_177679_,,SUCCESSFUL_TEST_CHAR,PASS,field_33170,field,private static final char
nn,d,f_177680_,,FAILED_OPTIONAL_TEST_CHAR,OPTIONAL_FAIL,field_33171,field,private static final char
nn,e,f_177681_,,FAILED_REQUIRED_TEST_CHAR,REQUIRED_FAIL,field_33172,field,private static final char
nn,f,f_127798_,,tests,tests,field_20577,field,private final Collection<GameTestInfo>
nn,g,f_127799_,,listeners,listeners,field_25303,field,private final Collection<GameTestListener>
ni,a,f_177648_,,SINGLETON,INSTANCE,field_20574,field,public static final GameTestTicker
ni,b,f_127784_,,testInfos,tests,field_20575,field,private final Collection<GameTestInfo>
ns,a,f_177786_,,DEFAULT_CLEAR_RADIUS,field_33178,field_33178,field,private static final int
ns,b,f_177787_,,MAX_CLEAR_RADIUS,field_33179,field_33179,field,private static final int
ns,c,f_177788_,,STRUCTURE_BLOCK_NEARBY_SEARCH_RADIUS,field_33180,field_33180,field,private static final int
ns,d,f_177789_,,STRUCTURE_BLOCK_FULL_SEARCH_RADIUS,field_33181,field_33181,field,private static final int
ns,e,f_177790_,,TEST_POS_Z_OFFSET_FROM_PLAYER,field_33182,field_33182,field,private static final int
ns,f,f_177791_,,SHOW_POS_DURATION_MS,field_33183,field_33183,field,private static final int
ns,g,f_177792_,,DEFAULT_X_SIZE,field_33184,field_33184,field,private static final int
ns,h,f_177793_,,DEFAULT_Y_SIZE,field_33185,field_33185,field,private static final int
ns,i,f_177794_,,DEFAULT_Z_SIZE,field_33186,field_33186,field,private static final int
mw,a,f_127493_,,absolutePos,pos,field_20541,field,private final BlockPos
mw,b,f_127494_,,relativePos,relativePos,field_20542,field,private final BlockPos
mw,c,f_127495_,,tick,tick,field_21449,field,private final long
nf,e,f_177525_,,MAX_TESTS_PER_BATCH,MAX_BATCH_SIZE,field_33152,field,private static final int
nf,a,f_177521_,,PADDING_AROUND_EACH_STRUCTURE,field_33148,field_33148,field,public static final int
nf,b,f_177522_,,SPACE_BETWEEN_COLUMNS,field_33149,field_33149,field,public static final int
nf,c,f_177523_,,SPACE_BETWEEN_ROWS,field_33150,field_33150,field,public static final int
nf,d,f_177524_,,DEFAULT_TESTS_PER_ROW,field_33151,field_33151,field,public static final int
nh,r,f_177585_,,LOGGER,LOGGER,field_33156,field,private static final org.apache.logging.log4j.Logger
nh,s,f_177586_,,PROGRESS_REPORT_INTERVAL,field_33157,field_33157,field,private static final int
nh,t,f_177587_,,testBatches,batches,field_33158,field,private final List<GameTestBatch>
nh,u,f_177588_,,spawnPos,pos,field_33159,field,private final BlockPos
nh,v,f_177589_,,TEST_GAME_RULES,GAME_RULES,field_33160,field,private static final GameRules
nh,w,f_177590_,,TEST_SETTINGS,TEST_LEVEL,field_33161,field,private static final LevelSettings
nh,x,f_177591_,,testTracker,testSet,field_33162,field,private MultipleTestTracker
nl,a,f_177659_,,document,document,field_33164,field,private final Document
nl,b,f_177660_,,testSuite,testSuiteElement,field_33165,field,private final Element
nl,c,f_177661_,,stopwatch,stopwatch,field_33166,field,private final com.google.common.base.Stopwatch
nl,d,f_177662_,,destination,file,field_33167,field,private final File
ng$a,b,f_177578_,,NOT_TRIGGERED,UNTRIGGERED_TICK,field_33154,field,private static final long
ng$a,c,f_177579_,,triggerTime,triggeredTick,field_33155,field,private long
ng,a,f_127774_,,parent,test,field_21457,field,final GameTestInfo
ng,b,f_127775_,,events,tasks,field_21458,field,private final List<GameTestEvent>
ng,c,f_127776_,,lastTick,tick,field_21459,field,private long
mz,a,f_127593_,,expectedDelay,duration,field_21450,field,public final Long
mz,b,f_127594_,,assertion,task,field_21451,field,public final Runnable
nr,a,f_127914_,,EXAMPLES,EXAMPLES,field_20580,field,private static final Collection<String>
nc,a,f_127598_,,testFunction,testFunction,field_20559,field,private final TestFunction
nc,b,f_127599_,,structureBlockPos,pos,field_20560,field,private BlockPos
nc,c,f_127600_,,level,world,field_20561,field,private final ServerLevel
nc,d,f_127601_,,listeners,listeners,field_20562,field,private final Collection<GameTestListener>
nc,e,f_127602_,,timeoutTicks,ticksLeft,field_20563,field,private final int
nc,f,f_127603_,,sequences,timedTaskRunners,field_21452,field,private final Collection<GameTestSequence>
nc,g,f_127604_,,runAtTickTimeMap,ticksByRunnables,field_21453,field,private final it.unimi.dsi.fastutil.objects.Object2LongMap<Runnable>
nc,h,f_127605_,,startTick,expectedStopTime,field_21454,field,private long
nc,i,f_127606_,,tickCount,tick,field_21455,field,private long
nc,j,f_127607_,,started,started,field_20565,field,private boolean
nc,k,f_127608_,,timer,stopwatch,field_21456,field,private final com.google.common.base.Stopwatch
nc,l,f_127609_,,done,completed,field_20567,field,private boolean
nc,m,f_127610_,,rotation,rotation,field_25301,field,private final Rotation
nc,n,f_127611_,,error,throwable,field_20569,field,private Throwable
nc,o,f_177469_,,structureBlockEntity,structureBlockEntity,field_27805,field,private StructureBlockEntity
x,a,f_133725_,,COPY_COUNTER_PATTERN,FILE_NAME_WITH_COUNT,field_18956,field,private static final Pattern
x,b,f_179920_,,MAX_FILE_NAME,MAX_NAME_LENGTH,field_33384,field,private static final int
x,c,f_133726_,,RESERVED_WINDOWS_FILENAMES,RESERVED_WINDOWS_NAMES,field_18955,field,private static final Pattern
ad$a,a,INSTANCE,,INSTANCE,INSTANCE,field_1130,enum,
t,a,f_131075_,,logger,logger,field_1113,field,private final org.apache.logging.log4j.Logger
ad,d,f_137446_,,LOGGER,LOGGER,field_1129,field,static final org.apache.logging.log4j.Logger
ad,e,f_183935_,,DEFAULT_MAX_THREADS,MAX_PARALLELISM,field_34891,field,private static final int
ad,f,f_183936_,,MAX_THREADS_SYSTEM_PROPERTY,MAX_BG_THREADS_PROPERTY,field_34892,field,private static final String
ad,g,f_137442_,,WORKER_COUNT,NEXT_WORKER_ID,field_18034,field,private static final AtomicInteger
ad,h,f_137443_,,BOOTSTRAP_EXECUTOR,BOOTSTRAP_EXECUTOR,field_24622,field,private static final ExecutorService
ad,i,f_137444_,,BACKGROUND_EXECUTOR,MAIN_WORKER_EXECUTOR,field_18035,field,private static final ExecutorService
ad,j,f_137445_,,IO_POOL,IO_WORKER_EXECUTOR,field_24477,field,private static final ExecutorService
