owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
aa,a,field_192155_a,,DATE_FORMAT,FORMAT,field_1220,field,private static final SimpleDateFormat
aa,b,field_192157_c,,obtained,obtained,field_1219,field,private Date
aaa,b,field_70009_b,buffer,buffer,buffer,field_14404,field,private final StringBuffer
aaa,c,field_184171_b,server,server,server,field_14405,field,private final MinecraftServer
aac,h,field_199680_h,,LOGGER,,field_14430,field,private static final org.apache.logging.log4j.Logger
aac,i,field_164004_h,,UNIQUE_THREAD_ID,,field_14428,field,private static final AtomicInteger
aac,a,field_72619_a,,running,running,field_14431,field,protected boolean
aac,b,field_72617_b,,serverInterface,server,field_14425,field,protected final ServerInterface
aac,c,field_164003_c,,name,description,field_14424,field,protected final String
aac,d,field_72618_c,,thread,thread,field_14423,field,protected Thread
aac,e,field_72615_d,,maxStopWait,,field_14427,field,protected final int
aac,f,field_72616_e,,datagramSockets,sockets,field_14426,field,protected final List<DatagramSocket>
aac,g,field_72614_f,,serverSockets,serverSockets,field_14429,field,protected final List<ServerSocket>
aad$a,b,field_72598_b,time,time,startTime,field_14459,field,private final long
aad$a,c,field_72599_c,token,challenge,id,field_14458,field,private final int
aad$a,d,field_72596_d,identity,identBytes,messageBytes,field_14460,field,private final byte[]
aad$a,e,field_72597_e,,challengeBytes,replyBuf,field_14461,field,private final byte[]
aad$a,f,field_72595_f,,ident,message,field_14462,field,private final String
aad,h,field_72629_g,,lastChallengeCheck,lastQueryTime,field_14443,field,private long
aad,i,field_72636_h,,port,queryPort,field_14442,field,private final int
aad,j,field_72637_i,,serverPort,port,field_14457,field,private final int
aad,k,field_72634_j,,maxPlayers,maxPlayerCount,field_14456,field,private final int
aad,l,field_72635_k,,serverName,motd,field_14445,field,private final String
aad,m,field_72632_l,,worldName,levelName,field_14447,field,private final String
aad,n,field_72633_m,,socket,socket,field_14449,field,private DatagramSocket
aad,o,field_72630_n,,buffer,packetBuffer,field_14452,field,private final byte[]
aad,p,field_72631_o,,request,currentPacket,field_14455,field,private DatagramPacket
aad,q,field_72644_p,,idents,,field_14448,field,"private final Map<SocketAddress, String>"
aad,r,field_72643_q,,hostIp,ip,field_14444,field,private String
aad,s,field_72642_r,,serverIp,hostname,field_14454,field,private String
aad,t,field_72641_s,,validChallenges,queries,field_14453,field,"private final Map<SocketAddress, QueryThreadGs4$RequestChallenge>"
aad,u,field_72640_t,,lastChallengeClean,creationTime,field_14451,field,private final long
aad,v,field_72639_u,,rulesResponse,data,field_14446,field,private final NetworkDataOutputStream
aad,w,field_72638_v,,lastRulesResponse,lastResponseTime,field_14450,field,private long
aae,h,field_164005_h,,LOGGER,LOGGER,field_14491,field,private static final org.apache.logging.log4j.Logger
aae,i,field_72657_g,,authed,authenticated,field_14488,field,private boolean
aae,j,field_72659_h,,client,socket,field_14489,field,private Socket
aae,k,field_72660_i,,buf,packetBuffer,field_14490,field,private final byte[]
aae,l,field_72658_j,,rconPassword,password,field_14492,field,private final String
aaf,h,field_72647_g,,port,port,field_14510,field,private final int
aaf,i,field_72652_i,,serverIp,hostname,field_14513,field,private String
aaf,j,field_72649_j,,socket,listener,field_14511,field,private ServerSocket
aaf,k,field_72650_k,,rconPassword,password,field_14512,field,private final String
aaf,l,field_72648_l,,clients,clients,field_14514,field,"private Map<SocketAddress, RconClient>"
aah,a,field_187506_b,,location,id,field_14533,field,private final ResourceLocation
aai,a,field_187674_a,AMBIENT_CAVE,AMBIENT_CAVE,AMBIENT_CAVE,field_14564,field,public static final SoundEvent
