owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
tv,b(ph arg0),func_90011_a(EntityAgeable arg0),createChild(EntityAgeable arg0),,,,method,b(ph arg0),(Lph;)Ltv;,EntitySheep
tv,v(),func_70615_aA(),,,,,method,v(),()V,void
tv,"a(ok arg0, pu arg1)","func_180482_a(DifficultyInstance arg0, IEntityLivingData arg1)","prepare(DifficultyDamageScaler arg0, GroupDataEntity arg1)",,,,method,"a(ok arg0, pu arg1)",(Lok;Lpu;)Lpu;,GroupDataEntity
tv,"a(tm arg0, tm arg1)","func_175511_a(EntityAnimal arg0, EntityAnimal arg1)",,,,,method,"a(tm arg0, tm arg1)",(Ltm;Ltm;)Lzd;,EnumColor
tv,aS(),func_70047_e(),getHeadHeight(),,,,method,aS(),()F,float
tv,a(byte arg0),func_70103_a(byte arg0),,,,,method,a(byte arg0),(B)V,void
tv,p(float arg0),func_70894_j(float arg0),,,,,method,p(float arg0),(F)F,float
tv,q(float arg0),func_70890_k(float arg0),,,,,method,q(float arg0),(F)F,float
tw,<init>,,,,,,constructor,(arg0),(Ladm;)V,public
tw,aX(),func_110147_ax(),initAttributes(),,,,method,aX(),()V,void
tw,m(),func_70636_d(),,,,,method,m(),()V,void
tw,A(),func_146068_u(),getLoot(),,,,method,A(),()Lzw;,Item
tw,"b(boolean arg0, int arg1)","func_70628_a(boolean arg0, int arg1)","dropDeathLoot(boolean arg0, int arg1)",,,,method,"b(boolean arg0, int arg1)",(ZI)V,void
tw,"a(pr arg0, float arg1)","func_82196_d(EntityLivingBase arg0, float arg1)",,,,,method,"a(pr arg0, float arg1)",(Lpr;F)V,void
tw,aS(),func_70047_e(),getHeadHeight(),,,,method,aS(),()F,float
tx$a,<init>,,,,,,constructor,(arg0),(Ltx;)V,public
tx$a,a(),func_75250_a(),,,,,method,a(),()Z,boolean
tx$a,e(),func_75246_d(),,,,,method,e(),()V,void
tx,<init>,,,,,,constructor,(arg0),(Ladm;)V,public
tx,aX(),func_110147_ax(),initAttributes(),,,,method,aX(),()V,void
tx,aS(),func_70047_e(),getHeadHeight(),,,,method,aS(),()F,float
tx,z(),func_70639_aQ(),,,,,method,z(),()Ljava/lang/String;,String
tx,bo(),func_70621_aR(),,,,,method,bo(),()Ljava/lang/String;,String
tx,bp(),func_70673_aS(),,,,,method,bp(),()Ljava/lang/String;,String
tx,bB(),func_70599_aP(),,,,,method,bB(),()F,float
tx,A(),func_146068_u(),getLoot(),,,,method,A(),()Lzw;,Item
tx,s_(),func_70041_e_(),,,,,method,s_(),()Z,boolean
