混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/text/TextFormatting,net/minecraft/server/v1_13_R1/EnumChatFormat,,,
aa$a,net/minecraft/advancements/criterion/BrewedPotionTrigger$Listeners,net/minecraft/server/v1_13_R1/CriterionTriggerBrewedPotion$a,,,
aa$b,net/minecraft/advancements/criterion/BrewedPotionTrigger$Instance,net/minecraft/server/v1_13_R1/CriterionTriggerBrewedPotion$b,,,
aa,net/minecraft/advancements/criterion/BrewedPotionTrigger,net/minecraft/server/v1_13_R1/CriterionTriggerBrewedPotion,,,
aaa,net/minecraft/util/datafix/fixes/ShulkerBoxItemColor,net/minecraft/server/v1_13_R1/DataConverterShulkerBoxItem,,,
aab,net/minecraft/util/datafix/fixes/SpawnEggNames,net/minecraft/server/v1_13_R1/DataConverterSpawnEgg,,,
aac,net/minecraft/util/datafix/fixes/ItemStackEnchantmentFix,net/minecraft/server/v1_13_R1/DataConverterItemStackEnchantment,,,
aad,net/minecraft/util/datafix/fixes/ItemFilledMapMetadata,net/minecraft/server/v1_13_R1/DataConverterMap,,,
aae,net/minecraft/util/datafix/fixes/ItemSpawnEggSplit,net/minecraft/server/v1_13_R1/DataConverterFlattenSpawnEgg,,,
aaf,net/minecraft/util/datafix/fixes/ItemStackDataFlattening,net/minecraft/server/v1_13_R1/DataConverterFlatten,,,
aag,net/minecraft/util/datafix/fixes/PotionWater,net/minecraft/server/v1_13_R1/DataConverterPotionWater,,,
aah,net/minecraft/util/datafix/fixes/BookPagesStrictJSON,net/minecraft/server/v1_13_R1/DataConverterBook,,,
aai$a,net/minecraft/util/datafix/fixes/LeavesFix$Section,net/minecraft/server/v1_13_R1/DataConverterLeaves$a,,,
aai,net/minecraft/util/datafix/fixes/LeavesFix,net/minecraft/server/v1_13_R1/DataConverterLeaves,,,
aaj,net/minecraft/util/datafix/fixes/LevelDataGeneratorOptionsFix,net/minecraft/server/v1_13_R1/DataConverterLevelDataGeneratorOptions,,,
aak,net/minecraft/util/datafix/fixes/BlockStateFlattenGenOptions,net/minecraft/server/v1_13_R1/DataConverterWorldGenSettings,,,
aal,net/minecraft/util/datafix/fixes/SpawnerEntityTypes,net/minecraft/server/v1_13_R1/DataConverterMobSpawner,,,
aam,net/minecraft/util/datafix/fixes/NamedEntityFix,net/minecraft/server/v1_13_R1/DataConverterNamedEntity,,,
aan,net/minecraft/util/datafix/fixes/ObjectiveDisplayName,net/minecraft/server/v1_13_R1/DataConverterObjectiveDisplayName,,,
aao,net/minecraft/util/datafix/fixes/ObjectiveRenderType,net/minecraft/server/v1_13_R1/DataConverterObjectiveRenderType,,,
aap,net/minecraft/util/datafix/fixes/ForceVBOOn,net/minecraft/server/v1_13_R1/DataConverterVBO,,,
aaq,net/minecraft/util/datafix/fixes/LWJGL3KeyOptions,net/minecraft/server/v1_13_R1/DataConverterKeybind,,,
aar,net/minecraft/util/datafix/fixes/KeyOptionsTranslation,net/minecraft/server/v1_13_R1/DataConverterKeybind2,,,
aas,net/minecraft/util/datafix/fixes/OptionsLowerCaseLanguage,net/minecraft/server/v1_13_R1/DataConverterLang,,,
aat,net/minecraft/util/datafix/fixes/RenamedRecipes,net/minecraft/server/v1_13_R1/DataConverterRecipes,,,
aau,net/minecraft/util/datafix/fixes/RecipesRenaming,net/minecraft/server/v1_13_R1/DataConverterRecipeRename,,,
aav,net/minecraft/util/datafix/TypeReferences,net/minecraft/server/v1_13_R1/DataConverterTypes,,,
aaw,net/minecraft/util/datafix/fixes/CoralFansRenameList,net/minecraft/server/v1_13_R1/DataConverterCoralFan,,,
aax,net/minecraft/util/datafix/fixes/RenamedCoral,net/minecraft/server/v1_13_R1/DataConverterCoral,,,
aay,net/minecraft/util/datafix/fixes/BlockStateFlattenVillageCrops,net/minecraft/server/v1_13_R1/DataConverterVillage,,,
aaz,net/minecraft/util/datafix/fixes/EntityRenameHelper,net/minecraft/server/v1_13_R1/DataConverterEntityNameAbstract,,,
ab$a,net/minecraft/advancements/criterion/ChangeDimensionTrigger$Listeners,net/minecraft/server/v1_13_R1/CriterionTriggerChangedDimension$a,,,
ab$b,net/minecraft/advancements/criterion/ChangeDimensionTrigger$Instance,net/minecraft/server/v1_13_R1/CriterionTriggerChangedDimension$b,,,
ab,net/minecraft/advancements/criterion/ChangeDimensionTrigger,net/minecraft/server/v1_13_R1/CriterionTriggerChangedDimension,,,
aba,net/minecraft/util/datafix/fixes/TypedEntityRenameHelper,net/minecraft/server/v1_13_R1/DataConverterEntityRenameAbstract,,,
abb,net/minecraft/util/datafix/fixes/StatsRenaming,net/minecraft/server/v1_13_R1/DataConverterStatistic,,,
abc,net/minecraft/util/datafix/fixes/SwimStatsRename,net/minecraft/server/v1_13_R1/DataConverterSwimStats,,,
abd,net/minecraft/util/datafix/fixes/TeamDisplayName,net/minecraft/server/v1_13_R1/DataConverterTeamDisplayName,,,
abe,net/minecraft/util/datafix/fixes/VillagerTrades,net/minecraft/server/v1_13_R1/DataConverterVillagerTrade,,,
abf,net/minecraft/util/datafix/WriteAndReadDataFix,net/minecraft/server/v1_13_R1/DataConverterShoulderEntity,,,
abi,net/minecraft/util/datafix/NamespacedSchema,net/minecraft/server/v1_13_R1/DataConverterSchemaNamed,,,
abj,net/minecraft/util/datafix/versions/V0100,net/minecraft/server/v1_13_R1/DataConverterSchemaV100,,,
abk,net/minecraft/util/datafix/versions/V0102,net/minecraft/server/v1_13_R1/DataConverterSchemaV102,,,
abl,net/minecraft/util/datafix/versions/V1022,net/minecraft/server/v1_13_R1/DataConverterSchemaV1022,,,
abm,net/minecraft/util/datafix/versions/V0106,net/minecraft/server/v1_13_R1/DataConverterSchemaV106,,,
abn,net/minecraft/util/datafix/versions/V0107,net/minecraft/server/v1_13_R1/DataConverterSchemaV107,,,
abo,net/minecraft/util/datafix/versions/V1125,net/minecraft/server/v1_13_R1/DataConverterSchemaV1125,,,
abp,net/minecraft/util/datafix/versions/V0135,net/minecraft/server/v1_13_R1/DataConverterSchemaV135,,,
abq,net/minecraft/util/datafix/versions/V0143,net/minecraft/server/v1_13_R1/DataConverterSchemaV143,,,
abr,net/minecraft/util/datafix/versions/V1451,net/minecraft/server/v1_13_R1/DataConverterSchemaV1451,,,
abs,net/minecraft/util/datafix/versions/V1451_1,net/minecraft/server/v1_13_R1/DataConverterSchemaV1451_1,,,
abt,net/minecraft/util/datafix/versions/V1451_2,net/minecraft/server/v1_13_R1/DataConverterSchemaV1451_2,,,
abu,net/minecraft/util/datafix/versions/V1451_3,net/minecraft/server/v1_13_R1/DataConverterSchemaV1451_3,,,
abv,net/minecraft/util/datafix/versions/V1451_4,net/minecraft/server/v1_13_R1/DataConverterSchemaV1451_4,,,
abw,net/minecraft/util/datafix/versions/V1451_5,net/minecraft/server/v1_13_R1/DataConverterSchemaV1451_5,,,
abx,net/minecraft/util/datafix/versions/V1451_6,net/minecraft/server/v1_13_R1/DataConverterSchemaV1451_6,,,
aby,net/minecraft/util/datafix/versions/V1451_7,net/minecraft/server/v1_13_R1/DataConverterSchemaV1451_7,,,
abz,net/minecraft/util/datafix/versions/V1460,net/minecraft/server/v1_13_R1/DataConverterSchemaV1460,,,
ac$a,net/minecraft/advancements/criterion/ChanneledLightningTrigger$Listeners,net/minecraft/server/v1_13_R1/CriterionTriggerChanneledLightning$a,,,
ac$b,net/minecraft/advancements/criterion/ChanneledLightningTrigger$Instance,net/minecraft/server/v1_13_R1/CriterionTriggerChanneledLightning$b,,,
ac,net/minecraft/advancements/criterion/ChanneledLightningTrigger,net/minecraft/server/v1_13_R1/CriterionTriggerChanneledLightning,,,
aca,net/minecraft/util/datafix/versions/V1466,net/minecraft/server/v1_13_R1/DataConverterSchemaV1466,,,
acb,net/minecraft/util/datafix/versions/V1470,net/minecraft/server/v1_13_R1/DataConverterSchemaV1470,,,
acc,net/minecraft/util/datafix/versions/V1481,net/minecraft/server/v1_13_R1/DataConverterSchemaV1481,,,
acd,net/minecraft/util/datafix/versions/V1483,net/minecraft/server/v1_13_R1/DataConverterSchemaV1483,,,
ace,net/minecraft/util/datafix/versions/V1486,net/minecraft/server/v1_13_R1/DataConverterSchemaV1486,,,
acf,net/minecraft/util/datafix/versions/V1510,net/minecraft/server/v1_13_R1/DataConverterSchemaV1510,,,
acg,net/minecraft/util/datafix/versions/V0501,net/minecraft/server/v1_13_R1/DataConverterSchemaV501,,,
ach,net/minecraft/util/datafix/versions/V0700,net/minecraft/server/v1_13_R1/DataConverterSchemaV700,,,
aci,net/minecraft/util/datafix/versions/V0701,net/minecraft/server/v1_13_R1/DataConverterSchemaV701,,,
acj,net/minecraft/util/datafix/versions/V0702,net/minecraft/server/v1_13_R1/DataConverterSchemaV702,,,
ack,net/minecraft/util/datafix/versions/V0703,net/minecraft/server/v1_13_R1/DataConverterSchemaV703,,,
acl$1,net/minecraft/util/datafix/versions/V0704$1,net/minecraft/server/v1_13_R1/DataConverterSchemaV704$1,,,
acl,net/minecraft/util/datafix/versions/V0704,net/minecraft/server/v1_13_R1/DataConverterSchemaV704,,,
acm$1,net/minecraft/util/datafix/versions/V0705$1,net/minecraft/server/v1_13_R1/DataConverterSchemaV705$1,,,
acm,net/minecraft/util/datafix/versions/V0705,net/minecraft/server/v1_13_R1/DataConverterSchemaV705,,,
acn,net/minecraft/util/datafix/versions/V0808,net/minecraft/server/v1_13_R1/DataConverterSchemaV808,,,
aco$1,net/minecraft/util/datafix/versions/V0099$1,net/minecraft/server/v1_13_R1/DataConverterSchemaV99$1,,,
aco,net/minecraft/util/datafix/versions/V0099,net/minecraft/server/v1_13_R1/DataConverterSchemaV99,,,
acq,net/minecraft/util/NamedThreadFactory,net/minecraft/server/v1_13_R1/NamedIncrementingThreadFactory,,,
acr$1,net/minecraft/util/Scheduler$1,net/minecraft/server/v1_13_R1/Scheduler$1,,,
acr$a,net/minecraft/util/Scheduler$FutureWrapper,net/minecraft/server/v1_13_R1/Scheduler$a,,,
acr,net/minecraft/util/Scheduler,net/minecraft/server/v1_13_R1/Scheduler,,,
acs,net/minecraft/util/IThreadListener,net/minecraft/server/v1_13_R1/IAsyncTaskHandler,,,
act,net/minecraft/util/TaskManager,net/minecraft/server/v1_13_R1/SchedulerBatch,,,
acu,net/minecraft/util/ITaskType,net/minecraft/server/v1_13_R1/SchedulerTask,,,
acw,net/minecraft/util/WorldChunkEnumerator,net/minecraft/server/v1_13_R1/WorldUpgraderIterator,,,
