owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
a,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Ljava/lang/String;CILjava/lang/Integer;)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CZ)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4)",(Ljava/lang/String;CZILjava/lang/Integer;)V,private
a,d(String arg0),func_175745_c(String arg0),,,,,method,d(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(),func_175746_b(),,,,,method,b(),()I,int
a,c(),func_96301_b(),isFormat(),,,,method,c(),()Z,boolean
a,d(),func_96302_c(),,,,,method,d(),()Z,boolean
a,g(),func_96297_d(),,,,,method,g(),()Ljava/lang/String;,String
a,b(String arg0),func_110646_a(String arg0),,,,,method,b(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,c(String arg0),func_96300_b(String arg0),,,,,method,c(String arg0),(Ljava/lang/String;)La;,EnumChatFormat
a,a(int arg0),func_175744_a(int arg0),,,,,method,a(int arg0),(I)La;,EnumChatFormat
a,"a(boolean arg0, boolean arg1)","func_96296_a(boolean arg0, boolean arg1)",,,,,method,"a(boolean arg0, boolean arg1)",(ZZ)Ljava/util/Collection;,Collection<String>
a,a(String arg0),func_211164_a(String arg0),,,,,method,a(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,e(),func_211163_e(),,,,,method,e(),()Ljava/lang/Integer;,Integer
a,f(),func_211166_f(),,,,,method,f(),()Z,boolean
a,a(char arg0),func_211165_a(char arg0),,,,,method,a(char arg0),(C)La;,EnumChatFormat
aa$a,<init>,,,,,,constructor,(arg0),(Lpm;)V,public
aa$a,a(),func_192347_a(),,,,,method,a(),()Z,boolean
aa$a,a(s$a<aa$b> arg0),func_192349_a(ICriterionTrigger$Listener<BrewedPotionTrigger$Instance> arg0),,,,,method,a(s$a<aa$b> arg0),(Ls$a;)V,void
aa$a,b(s$a<aa$b> arg0),func_192346_b(ICriterionTrigger$Listener<BrewedPotionTrigger$Instance> arg0),,,,,method,b(s$a<aa$b> arg0),(Ls$a;)V,void
aa$a,a(aup arg0),func_192348_a(PotionType arg0),,,,,method,a(aup arg0),(Laup;)V,void
aa$b,<init>,,,,,,constructor,(arg0),(Laup;)V,public
aa$b,c(),func_203910_c(),,,,,method,c(),()Laa$b;,CriterionTriggerBrewedPotion$b
aa$b,a(aup arg0),func_192250_a(PotionType arg0),,,,,method,a(aup arg0),(Laup;)Z,boolean
aa$b,b(),func_200288_b(),,,,,method,b(),()Lcom/google/gson/JsonElement;,com.google.gson.JsonElement
aa,<init>,,,,,,constructor,(),()V,public
aa,a(),func_192163_a(),,,,,method,a(),()Lpc;,MinecraftKey
aa,"a(pm arg0, s$a<aa$b> arg1)","func_192165_a(PlayerAdvancements arg0, ICriterionTrigger$Listener<BrewedPotionTrigger$Instance> arg1)",,,,,method,"a(pm arg0, s$a<aa$b> arg1)",(Lpm;Ls$a;)V,void
aa,"b(pm arg0, s$a<aa$b> arg1)","func_192164_b(PlayerAdvancements arg0, ICriterionTrigger$Listener<BrewedPotionTrigger$Instance> arg1)",,,,,method,"b(pm arg0, s$a<aa$b> arg1)",(Lpm;Ls$a;)V,void
aa,a(pm arg0),func_192167_a(PlayerAdvancements arg0),,,,,method,a(pm arg0),(Lpm;)V,void
aa,"b(com.google.gson.JsonObject arg0, com.google.gson.JsonDeserializationContext arg1)","func_192166_a(com.google.gson.JsonObject arg0, com.google.gson.JsonDeserializationContext arg1)",,,,,method,"b(com.google.gson.JsonObject arg0, com.google.gson.JsonDeserializationContext arg1)",(Lcom/google/gson/JsonObject;Lcom/google/gson/JsonDeserializationContext;)Laa$b;,CriterionTriggerBrewedPotion$b
aa,"a(te arg0, aup arg1)","func_192173_a(EntityPlayerMP arg0, PotionType arg1)",,,,,method,"a(te arg0, aup arg1)",(Lte;Laup;)V,void
aaa,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aaa,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aab,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aab,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aac,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aac,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aac,a(com.mojang.datafixers.Dynamic<?> arg0),func_209627_a(com.mojang.datafixers.Dynamic<?> arg0),,,,,method,a(com.mojang.datafixers.Dynamic<?> arg0),(Lcom/mojang/datafixers/Dynamic;)Lcom/mojang/datafixers/Dynamic;,com.mojang.datafixers.Dynamic<?>
aad,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aad,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aae,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aae,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aaf,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aaf,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aaf,"a(String arg0, int arg1)","func_199175_a(String arg0, int arg1)",,,,,method,"a(String arg0, int arg1)",(Ljava/lang/String;I)Ljava/lang/String;,String
aag,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aag,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aah,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aah,a(com.mojang.datafixers.Dynamic<?> arg0),func_209633_a(com.mojang.datafixers.Dynamic<?> arg0),,,,,method,a(com.mojang.datafixers.Dynamic<?> arg0),(Lcom/mojang/datafixers/Dynamic;)Lcom/mojang/datafixers/Dynamic;,com.mojang.datafixers.Dynamic<?>
aah,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aai$a,<init>,,,,,,constructor,(arg0),(Lcom/mojang/datafixers/Typed;)V,public
aai$a,"a(com.mojang.datafixers.Dynamic<?> arg0, String arg1, boolean arg2, int arg3)","func_209770_a(com.mojang.datafixers.Dynamic<?> arg0, String arg1, boolean arg2, int arg3)",,,,,method,"a(com.mojang.datafixers.Dynamic<?> arg0, String arg1, boolean arg2, int arg3)",(Lcom/mojang/datafixers/Dynamic;Ljava/lang/String;ZI)Lcom/mojang/datafixers/Dynamic;,com.mojang.datafixers.Dynamic<?>
aai$a,a(com.mojang.datafixers.Typed<?> arg0),func_208465_a(com.mojang.datafixers.Typed<?> arg0),,,,,method,a(com.mojang.datafixers.Typed<?> arg0),(Lcom/mojang/datafixers/Typed;)Lcom/mojang/datafixers/Typed;,com.mojang.datafixers.Typed<?>
aai$a,a(),func_208461_a(),,,,,method,a(),()Z,boolean
aai$a,a(int arg0),func_208453_a(int arg0),,,,,method,a(int arg0),(I)I,int
aai$a,b(int arg0),func_208457_b(int arg0),,,,,method,b(int arg0),(I)Z,boolean
aai$a,c(int arg0),func_208460_c(int arg0),,,,,method,c(int arg0),(I)Z,boolean
aai$a,d(int arg0),func_208459_d(int arg0),,,,,method,d(int arg0),(I)I,int
aai$a,"a(int arg0, int arg1, int arg2)","func_208454_a(int arg0, int arg1, int arg2)",,,,,method,"a(int arg0, int arg1, int arg2)",(III)V,void
aai$a,"a(String arg0, boolean arg1, int arg2)","func_208464_a(String arg0, boolean arg1, int arg2)",,,,,method,"a(String arg0, boolean arg1, int arg2)",(Ljava/lang/String;ZI)I,int
aai$a,b(),func_208456_b(),,,,,method,b(),()I,int
aai,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aai,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aai,"a(int arg0, int arg1, int arg2)","func_208411_a(int arg0, int arg1, int arg2)",,,,,method,"a(int arg0, int arg1, int arg2)",(III)I,int
aai,a(int arg0),func_208412_a(int arg0),,,,,method,a(int arg0),(I)I,int
aai,b(int arg0),func_208421_b(int arg0),,,,,method,b(int arg0),(I)I,int
aai,c(int arg0),func_208409_c(int arg0),,,,,method,c(int arg0),(I)I,int
aai,"a(boolean arg0, boolean arg1, boolean arg2, boolean arg3)","func_210537_a(boolean arg0, boolean arg1, boolean arg2, boolean arg3)",,,,,method,"a(boolean arg0, boolean arg1, boolean arg2, boolean arg3)",(ZZZZ)I,int
aaj,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aaj,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aaj,"a(String arg0, com.mojang.datafixers.types.DynamicOps<T> arg1)","func_210549_a(String arg0, com.mojang.datafixers.types.DynamicOps<T> arg1)",,,,,method,"a(String arg0, com.mojang.datafixers.types.DynamicOps<T> arg1)",(Ljava/lang/String;Lcom/mojang/datafixers/types/DynamicOps;)Lcom/mojang/datafixers/Dynamic;,<T> com.mojang.datafixers.Dynamic<T>
aaj,a(String arg0),func_210548_a(String arg0),,,,,method,a(String arg0),(Ljava/lang/String;)Lcom/mojang/datafixers/util/Pair;,"com.mojang.datafixers.util.Pair<Integer, String>"
aaj,b(String arg0),func_210552_b(String arg0),,,,,method,b(String arg0),(Ljava/lang/String;)Ljava/util/List;,"List<com.mojang.datafixers.util.Pair<Integer, String>>"
aak,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
aak,makeRule(),makeRule(),,,,,method,makeRule(),()Lcom/mojang/datafixers/TypeRewriteRule;,com.mojang.datafixers.TypeRewriteRule
aak,a(com.mojang.datafixers.Dynamic<?> arg0),func_209636_a(com.mojang.datafixers.Dynamic<?> arg0),,,,,method,a(com.mojang.datafixers.Dynamic<?> arg0),(Lcom/mojang/datafixers/Dynamic;)Lcom/mojang/datafixers/Dynamic;,com.mojang.datafixers.Dynamic<?>
aak,a(String arg0),func_199180_a(String arg0),,,,,method,a(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
aal,<init>,,,,,,constructor,"(arg0, arg1)",(Lcom/mojang/datafixers/schemas/Schema;Z)V,public
