混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/math/vector/Matrix3f,net/minecraft/server/v1_16_R3/Matrix3f,com/mojang/math/Matrix3f,net/minecraft/util/math/Matrix3f,net/minecraft/class_4581
aa$a,net/minecraft/advancements/AdvancementProgress$Serializer,net/minecraft/server/v1_16_R3/AdvancementProgress$a,net/minecraft/advancements/AdvancementProgress$Serializer,net/minecraft/advancement/AdvancementProgress$Serializer,net/minecraft/class_167$class_168
aa,net/minecraft/advancements/AdvancementProgress,net/minecraft/server/v1_16_R3/AdvancementProgress,net/minecraft/advancements/AdvancementProgress,net/minecraft/advancement/AdvancementProgress,net/minecraft/class_167
aaa,net/minecraft/world/chunk/PlayerGenerationTracker,net/minecraft/server/v1_16_R3/PlayerMap,net/minecraft/server/level/PlayerMap,net/minecraft/server/world/PlayerChunkWatchingManager,net/minecraft/class_3210
aab,net/minecraft/entity/player/SpawnLocationHelper,net/minecraft/server/v1_16_R3/WorldProviderNormal,net/minecraft/server/level/PlayerRespawnLogic,net/minecraft/server/network/SpawnLocating,net/minecraft/class_5322
aac,net/minecraft/util/SectionDistanceGraph,net/minecraft/server/v1_16_R3/LightEngineGraphSection,net/minecraft/server/level/SectionTracker,net/minecraft/world/SectionDistanceLevelPropagator,net/minecraft/class_4079
aad,net/minecraft/world/server/ServerBossInfo,net/minecraft/server/v1_16_R3/BossBattleServer,net/minecraft/server/level/ServerBossEvent,net/minecraft/entity/boss/ServerBossBar,net/minecraft/class_3213
aae$a,net/minecraft/world/server/ServerChunkProvider$ChunkExecutor,net/minecraft/server/v1_16_R3/ChunkProviderServer$a,net/minecraft/server/level/ServerChunkCache$MainThreadExecutor,net/minecraft/server/world/ServerChunkManager$MainThreadExecutor,net/minecraft/class_3215$class_4212
aae,net/minecraft/world/server/ServerChunkProvider,net/minecraft/server/v1_16_R3/ChunkProviderServer,net/minecraft/server/level/ServerChunkCache,net/minecraft/server/world/ServerChunkManager,net/minecraft/class_3215
aaf,net/minecraft/world/TrackedEntity,net/minecraft/server/v1_16_R3/EntityTrackerEntry,net/minecraft/server/level/ServerEntity,net/minecraft/server/network/EntityTrackerEntry,net/minecraft/class_3231
aag,net/minecraft/world/server/ServerWorld,net/minecraft/server/v1_16_R3/WorldServer,net/minecraft/server/level/ServerLevel,net/minecraft/server/world/ServerWorld,net/minecraft/class_3218
aah,net/minecraft/entity/player/ServerPlayerEntity,net/minecraft/server/v1_16_R3/EntityPlayer,net/minecraft/server/level/ServerPlayer,net/minecraft/server/network/ServerPlayerEntity,net/minecraft/class_3222
aai,net/minecraft/server/management/PlayerInteractionManager,net/minecraft/server/v1_16_R3/PlayerInteractManager,net/minecraft/server/level/ServerPlayerGameMode,net/minecraft/server/network/ServerPlayerInteractionManager,net/minecraft/class_3225
aaj$a,net/minecraft/world/server/ServerWorldLightManager$Phase,net/minecraft/server/v1_16_R3/LightEngineThreaded$Update,net/minecraft/server/level/ThreadedLevelLightEngine$TaskType,net/minecraft/server/world/ServerLightingProvider$Stage,net/minecraft/class_3227$class_3901
aaj,net/minecraft/world/server/ServerWorldLightManager,net/minecraft/server/v1_16_R3/LightEngineThreaded,net/minecraft/server/level/ThreadedLevelLightEngine,net/minecraft/server/world/ServerLightingProvider,net/minecraft/class_3227
aak,net/minecraft/world/server/Ticket,net/minecraft/server/v1_16_R3/Ticket,net/minecraft/server/level/Ticket,net/minecraft/server/world/ChunkTicket,net/minecraft/class_3228
aal,net/minecraft/world/server/TicketType,net/minecraft/server/v1_16_R3/TicketType,net/minecraft/server/level/TicketType,net/minecraft/server/world/ChunkTicketType,net/minecraft/class_3230
aam,net/minecraft/world/gen/WorldGenRegion,net/minecraft/server/v1_16_R3/RegionLimitedWorldAccess,net/minecraft/server/level/WorldGenRegion,net/minecraft/world/ChunkRegion,net/minecraft/class_3233
aan,net/minecraft/world/WorldGenTickList,net/minecraft/server/v1_16_R3/TickListWorldGen,net/minecraft/server/level/WorldGenTickList,net/minecraft/world/MultiTickScheduler,net/minecraft/class_3235
aap,net/minecraft/world/chunk/listener/IChunkStatusListener,net/minecraft/server/v1_16_R3/WorldLoadListener,net/minecraft/server/level/progress/ChunkProgressListener,net/minecraft/server/WorldGenerationProgressListener,net/minecraft/class_3949
aaq,net/minecraft/world/chunk/listener/IChunkStatusListenerFactory,net/minecraft/server/v1_16_R3/WorldLoadListenerFactory,net/minecraft/server/level/progress/ChunkProgressListenerFactory,net/minecraft/server/WorldGenerationProgressListenerFactory,net/minecraft/class_3950
aar,net/minecraft/world/chunk/listener/LoggingChunkStatusListener,net/minecraft/server/v1_16_R3/WorldLoadListenerLogger,net/minecraft/server/level/progress/LoggerChunkProgressListener,net/minecraft/server/WorldGenerationProgressLogger,net/minecraft/class_3951
aav,net/minecraft/network/LegacyPingHandler,net/minecraft/server/v1_16_R3/LegacyPingHandler,net/minecraft/server/network/LegacyQueryHandler,net/minecraft/network/LegacyQueryHandler,net/minecraft/class_3238
aax$1,net/minecraft/network/NetworkSystem$1,net/minecraft/server/v1_16_R3/ServerConnection$1,net/minecraft/server/network/ServerConnectionListener$1,net/minecraft/server/ServerNetworkIo$1,net/minecraft/class_3242$1
aax,net/minecraft/network/NetworkSystem,net/minecraft/server/v1_16_R3/ServerConnection,net/minecraft/server/network/ServerConnectionListener,net/minecraft/server/ServerNetworkIo,net/minecraft/class_3242
aay,net/minecraft/network/play/ServerPlayNetHandler,net/minecraft/server/v1_16_R3/PlayerConnection,net/minecraft/server/network/ServerGamePacketListenerImpl,net/minecraft/server/network/ServerPlayNetworkHandler,net/minecraft/class_3244
aaz,net/minecraft/network/handshake/ServerHandshakeNetHandler,net/minecraft/server/v1_16_R3/HandshakeListener,net/minecraft/server/network/ServerHandshakePacketListenerImpl,net/minecraft/server/network/ServerHandshakeNetworkHandler,net/minecraft/class_3246
ab$a,net/minecraft/advancements/AdvancementRewards$Builder,net/minecraft/server/v1_16_R3/AdvancementRewards$a,net/minecraft/advancements/AdvancementRewards$Builder,net/minecraft/advancement/AdvancementRewards$Builder,net/minecraft/class_170$class_171
ab,net/minecraft/advancements/AdvancementRewards,net/minecraft/server/v1_16_R3/AdvancementRewards,net/minecraft/advancements/AdvancementRewards,net/minecraft/advancement/AdvancementRewards,net/minecraft/class_170
aba$1,net/minecraft/network/login/ServerLoginNetHandler$1,net/minecraft/server/v1_16_R3/LoginListener$1,net/minecraft/server/network/ServerLoginPacketListenerImpl$1,net/minecraft/server/network/ServerLoginNetworkHandler$1,net/minecraft/class_3248$1
aba$a,net/minecraft/network/login/ServerLoginNetHandler$State,net/minecraft/server/v1_16_R3/LoginListener$EnumProtocolState,net/minecraft/server/network/ServerLoginPacketListenerImpl$State,net/minecraft/server/network/ServerLoginNetworkHandler$State,net/minecraft/class_3248$class_3249
aba,net/minecraft/network/login/ServerLoginNetHandler,net/minecraft/server/v1_16_R3/LoginListener,net/minecraft/server/network/ServerLoginPacketListenerImpl,net/minecraft/server/network/ServerLoginNetworkHandler,net/minecraft/class_3248
abb,net/minecraft/network/status/ServerStatusNetHandler,net/minecraft/server/v1_16_R3/PacketStatusListener,net/minecraft/server/network/ServerStatusPacketListenerImpl,net/minecraft/server/network/ServerQueryNetworkHandler,net/minecraft/class_3251
abc,net/minecraft/util/text/filter/IChatFilter,net/minecraft/server/v1_16_R3/ITextFilter,net/minecraft/server/network/TextFilter,net/minecraft/server/filter/TextStream,net/minecraft/class_5513
abd$a,net/minecraft/util/text/filter/ChatFilterClient$IIgnoreTest,net/minecraft/server/v1_16_R3/TextFilter$a,net/minecraft/server/network/TextFilterClient$IgnoreStrategy,net/minecraft/server/filter/TextFilterer$HashIgnorer,net/minecraft/class_5514$class_5515
abd$b,net/minecraft/util/text/filter/ChatFilterClient$ProfileFilter,net/minecraft/server/v1_16_R3/TextFilter$b,net/minecraft/server/network/TextFilterClient$PlayerContext,net/minecraft/server/filter/TextFilterer$Impl,net/minecraft/class_5514$class_5516
abd$c,net/minecraft/util/text/filter/ChatFilterClient$ConnectionException,net/minecraft/server/v1_16_R3/TextFilter$c,net/minecraft/server/network/TextFilterClient$RequestFailedException,net/minecraft/server/filter/TextFilterer$FailedHttpRequestException,net/minecraft/class_5514$class_5517
abd,net/minecraft/util/text/filter/ChatFilterClient,net/minecraft/server/v1_16_R3/TextFilter,net/minecraft/server/network/TextFilterClient,net/minecraft/server/filter/TextFilterer,net/minecraft/class_5514
abg,net/minecraft/resources/ResourcePack,net/minecraft/server/v1_16_R3/ResourcePackAbstract,net/minecraft/server/packs/AbstractPackResources,net/minecraft/resource/AbstractFileResourcePack,net/minecraft/class_3255
abh,net/minecraft/resources/FilePack,net/minecraft/server/v1_16_R3/ResourcePackFile,net/minecraft/server/packs/FilePackResources,net/minecraft/resource/ZipResourcePack,net/minecraft/class_3258
abi,net/minecraft/resources/FolderPack,net/minecraft/server/v1_16_R3/ResourcePackFolder,net/minecraft/server/packs/FolderPackResources,net/minecraft/resource/DirectoryResourcePack,net/minecraft/class_3259
abj,net/minecraft/resources/IResourcePack,net/minecraft/server/v1_16_R3/IResourcePack,net/minecraft/server/packs/PackResources,net/minecraft/resource/ResourcePack,net/minecraft/class_3262
abk,net/minecraft/resources/ResourcePackType,net/minecraft/server/v1_16_R3/EnumResourcePackType,net/minecraft/server/packs/PackType,net/minecraft/resource/ResourceType,net/minecraft/class_3264
abl,net/minecraft/resources/ResourcePackFileNotFoundException,net/minecraft/server/v1_16_R3/ResourceNotFoundException,net/minecraft/server/packs/ResourcePackFileNotFoundException,net/minecraft/resource/ResourceNotFoundException,net/minecraft/class_3266
abm,net/minecraft/resources/VanillaPack,net/minecraft/server/v1_16_R3/ResourcePackVanilla,net/minecraft/server/packs/VanillaPackResources,net/minecraft/resource/DefaultResourcePack,net/minecraft/class_3268
abn,net/minecraft/resources/data/IMetadataSectionSerializer,net/minecraft/server/v1_16_R3/ResourcePackMetaParser,net/minecraft/server/packs/metadata/MetadataSectionSerializer,net/minecraft/resource/metadata/ResourceMetadataReader,net/minecraft/class_3270
abo,net/minecraft/resources/data/PackMetadataSection,net/minecraft/server/v1_16_R3/ResourcePackInfo,net/minecraft/server/packs/metadata/pack/PackMetadataSection,net/minecraft/resource/metadata/PackResourceMetadata,net/minecraft/class_3272
abp,net/minecraft/resources/data/PackMetadataSectionSerializer,net/minecraft/server/v1_16_R3/ResourcePackInfoDeserializer,net/minecraft/server/packs/metadata/pack/PackMetadataSectionSerializer,net/minecraft/resource/metadata/PackResourceMetadataReader,net/minecraft/class_3274
abt,net/minecraft/resources/FolderPackFinder,net/minecraft/server/v1_16_R3/ResourcePackSourceFolder,net/minecraft/server/packs/repository/FolderRepositorySource,net/minecraft/resource/FileResourcePackProvider,net/minecraft/class_3279
abu$a,net/minecraft/resources/ResourcePackInfo$IFactory,net/minecraft/server/v1_16_R3/ResourcePackLoader$a,net/minecraft/server/packs/repository/Pack$PackConstructor,net/minecraft/resource/ResourcePackProfile$Factory,net/minecraft/class_3288$class_5351
abu$b,net/minecraft/resources/ResourcePackInfo$Priority,net/minecraft/server/v1_16_R3/ResourcePackLoader$Position,net/minecraft/server/packs/repository/Pack$Position,net/minecraft/resource/ResourcePackProfile$InsertionPosition,net/minecraft/class_3288$class_3289
abu,net/minecraft/resources/ResourcePackInfo,net/minecraft/server/v1_16_R3/ResourcePackLoader,net/minecraft/server/packs/repository/Pack,net/minecraft/resource/ResourcePackProfile,net/minecraft/class_3288
abv,net/minecraft/resources/PackCompatibility,net/minecraft/server/v1_16_R3/EnumResourcePackVersion,net/minecraft/server/packs/repository/PackCompatibility,net/minecraft/resource/ResourcePackCompatibility,net/minecraft/class_3281
abw,net/minecraft/resources/ResourcePackList,net/minecraft/server/v1_16_R3/ResourcePackRepository,net/minecraft/server/packs/repository/PackRepository,net/minecraft/resource/ResourcePackManager,net/minecraft/class_3283
abx,net/minecraft/resources/IPackNameDecorator,net/minecraft/server/v1_16_R3/PackSource,net/minecraft/server/packs/repository/PackSource,net/minecraft/resource/ResourcePackSource,net/minecraft/class_5352
aby,net/minecraft/resources/IPackFinder,net/minecraft/server/v1_16_R3/ResourcePackSource,net/minecraft/server/packs/repository/RepositorySource,net/minecraft/resource/ResourcePackProvider,net/minecraft/class_3285
abz,net/minecraft/resources/ServerPackFinder,net/minecraft/server/v1_16_R3/ResourcePackSourceVanilla,net/minecraft/server/packs/repository/ServerPacksSource,net/minecraft/resource/VanillaDataPackProvider,net/minecraft/class_3286
ac,net/minecraft/advancements/CriteriaTriggers,net/minecraft/server/v1_16_R3/CriterionTriggers,net/minecraft/advancements/CriteriaTriggers,net/minecraft/advancement/criterion/Criteria,net/minecraft/class_174
acb$a,net/minecraft/resources/FallbackResourceManager$LeakComplainerInputStream,net/minecraft/server/v1_16_R3/ResourceManagerFallback$a,net/minecraft/server/packs/resources/FallbackResourceManager$LeakedResourceWarningInputStream,net/minecraft/resource/NamespaceResourceManager$DebugInputStream,net/minecraft/class_3294$class_3295
acb,net/minecraft/resources/FallbackResourceManager,net/minecraft/server/v1_16_R3/ResourceManagerFallback,net/minecraft/server/packs/resources/FallbackResourceManager,net/minecraft/resource/NamespaceResourceManager,net/minecraft/class_3294
acc$a,net/minecraft/resources/IFutureReloadListener$IStage,net/minecraft/server/v1_16_R3/IReloadListener$a,net/minecraft/server/packs/resources/PreparableReloadListener$PreparationBarrier,net/minecraft/resource/ResourceReloader$Synchronizer,net/minecraft/class_3302$class_4045
acc,net/minecraft/resources/IFutureReloadListener,net/minecraft/server/v1_16_R3/IReloadListener,net/minecraft/server/packs/resources/PreparableReloadListener,net/minecraft/resource/ResourceReloader,net/minecraft/class_3302
acd$a,net/minecraft/resources/DebugAsyncReloader$DataPoint,net/minecraft/server/v1_16_R3/ReloadableProfiled$a,net/minecraft/server/packs/resources/ProfiledReloadInstance$State,net/minecraft/resource/ProfiledResourceReload$Summary,net/minecraft/class_4010$class_4046
acd,net/minecraft/resources/DebugAsyncReloader,net/minecraft/server/v1_16_R3/ReloadableProfiled,net/minecraft/server/packs/resources/ProfiledReloadInstance,net/minecraft/resource/ProfiledResourceReload,net/minecraft/class_4010
ace,net/minecraft/resources/IAsyncReloader,net/minecraft/server/v1_16_R3/IReloadable,net/minecraft/server/packs/resources/ReloadInstance,net/minecraft/resource/ResourceReload,net/minecraft/class_4011
acf,net/minecraft/resources/IReloadableResourceManager,net/minecraft/server/v1_16_R3/IReloadableResourceManager,net/minecraft/server/packs/resources/ReloadableResourceManager,net/minecraft/resource/ReloadableResourceManager,net/minecraft/class_3296
acg,net/minecraft/resources/IResource,net/minecraft/server/v1_16_R3/IResource,net/minecraft/server/packs/resources/Resource,net/minecraft/resource/Resource,net/minecraft/class_3298
ach$a,net/minecraft/resources/IResourceManager$Instance,net/minecraft/server/v1_16_R3/IResourceManager$Empty,net/minecraft/server/packs/resources/ResourceManager$Empty,net/minecraft/resource/ResourceManager$Empty,net/minecraft/class_3300$class_5353
ach,net/minecraft/resources/IResourceManager,net/minecraft/server/v1_16_R3/IResourceManager,net/minecraft/server/packs/resources/ResourceManager,net/minecraft/resource/ResourceManager,net/minecraft/class_3300
aci,net/minecraft/resources/IResourceManagerReloadListener,,net/minecraft/server/packs/resources/ResourceManagerReloadListener,net/minecraft/resource/SynchronousResourceReloader,net/minecraft/class_4013
acj,net/minecraft/client/resources/JsonReloadListener,net/minecraft/server/v1_16_R3/ResourceDataJson,net/minecraft/server/packs/resources/SimpleJsonResourceReloadListener,net/minecraft/resource/JsonDataLoader,net/minecraft/class_4309
ack,net/minecraft/client/resources/ReloadListener,net/minecraft/server/v1_16_R3/ResourceDataAbstract,net/minecraft/server/packs/resources/SimplePreparableReloadListener,net/minecraft/resource/SinglePreparationResourceReloader,net/minecraft/class_4080
acl$1,net/minecraft/resources/AsyncReloader$1,net/minecraft/server/v1_16_R3/Reloadable$1,net/minecraft/server/packs/resources/SimpleReloadInstance$1,net/minecraft/resource/SimpleResourceReload$1,net/minecraft/class_4014$1
acl$a,net/minecraft/resources/AsyncReloader$IStateFactory,net/minecraft/server/v1_16_R3/Reloadable$a,net/minecraft/server/packs/resources/SimpleReloadInstance$StateFactory,net/minecraft/resource/SimpleResourceReload$Factory,net/minecraft/class_4014$class_4047
acl,net/minecraft/resources/AsyncReloader,net/minecraft/server/v1_16_R3/Reloadable,net/minecraft/server/packs/resources/SimpleReloadInstance,net/minecraft/resource/SimpleResourceReload,net/minecraft/class_4014
acm$a,net/minecraft/resources/SimpleReloadableResourceManager$FailedPackReloader,net/minecraft/server/v1_16_R3/ResourceManager$a,net/minecraft/server/packs/resources/SimpleReloadableResourceManager$FailingReloadInstance,net/minecraft/resource/ReloadableResourceManagerImpl$FailedResourceReloadMonitor,net/minecraft/class_3304$class_4742
acm$b,net/minecraft/resources/SimpleReloadableResourceManager$FailedPackException,net/minecraft/server/v1_16_R3/ResourceManager$b,net/minecraft/server/packs/resources/SimpleReloadableResourceManager$ResourcePackLoadingFailure,net/minecraft/resource/ReloadableResourceManagerImpl$PackAdditionFailedException,net/minecraft/class_3304$class_4743
acm,net/minecraft/resources/SimpleReloadableResourceManager,net/minecraft/server/v1_16_R3/ResourceManager,net/minecraft/server/packs/resources/SimpleReloadableResourceManager,net/minecraft/resource/ReloadableResourceManagerImpl,net/minecraft/class_3304
acn,net/minecraft/resources/SimpleResource,net/minecraft/server/v1_16_R3/Resource,net/minecraft/server/packs/resources/SimpleResource,net/minecraft/resource/ResourceImpl,net/minecraft/class_3306
acp,net/minecraft/server/management/BanEntry,net/minecraft/server/v1_16_R3/ExpirableListEntry,net/minecraft/server/players/BanListEntry,net/minecraft/server/BanEntry,net/minecraft/class_3309
acq$1,net/minecraft/server/management/PlayerProfileCache$1,net/minecraft/server/v1_16_R3/UserCache$1,net/minecraft/server/players/GameProfileCache$1,net/minecraft/util/UserCache$1,net/minecraft/class_3312$1
acq$a,net/minecraft/server/management/PlayerProfileCache$ProfileEntry,net/minecraft/server/v1_16_R3/UserCache$UserCacheEntry,net/minecraft/server/players/GameProfileCache$GameProfileInfo,net/minecraft/util/UserCache$Entry,net/minecraft/class_3312$class_3313
acq,net/minecraft/server/management/PlayerProfileCache,net/minecraft/server/v1_16_R3/UserCache,net/minecraft/server/players/GameProfileCache,net/minecraft/util/UserCache,net/minecraft/class_3312
acr,net/minecraft/server/management/IPBanList,net/minecraft/server/v1_16_R3/IpBanList,net/minecraft/server/players/IpBanList,net/minecraft/server/BannedIpList,net/minecraft/class_3317
