owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
j,c,f_121078_,,matrix,matrix,field_20900,field,private final org.joml.Matrix4f
j,a,f_268453_,,CODEC,CODEC,field_42532,field,public static final com.mojang.serialization.Codec<Transformation>
j,b,f_268620_,,EXTENDED_CODEC,ANY_CODEC,field_42533,field,public static final com.mojang.serialization.Codec<Transformation>
j,d,f_121079_,,decomposed,initialized,field_20901,field,private boolean
j,e,f_121080_,,translation,translation,field_20902,field,private org.joml.Vector3f
j,f,f_121081_,,leftRotation,leftRotation,field_20903,field,private org.joml.Quaternionf
j,g,f_121082_,,scale,scale,field_20904,field,private org.joml.Vector3f
j,h,f_121083_,,rightRotation,rightRotation,field_20905,field,private org.joml.Quaternionf
j,i,f_121084_,,IDENTITY,IDENTITY,field_20906,field,private static final Transformation
a,a,f_252495_,,XN,NEGATIVE_X,field_40713,field,Axis
a,b,f_252529_,,XP,POSITIVE_X,field_40714,field,Axis
a,c,f_252392_,,YN,NEGATIVE_Y,field_40715,field,Axis
a,d,f_252436_,,YP,POSITIVE_Y,field_40716,field,Axis
a,e,f_252393_,,ZN,NEGATIVE_Z,field_40717,field,Axis
a,f,f_252403_,,ZP,POSITIVE_Z,field_40718,field,Axis
e,a,f_276143_,,sinHalf,sinHalf,comp_1317,field,private final float
e,b,f_276137_,,cosHalf,cosHalf,comp_1318,field,private final float
b,a,f_142767_,,PI,PI,field_29658,field,public static final float
b,b,f_142768_,,RAD_TO_DEG,DEGREES_PER_RADIAN,field_29659,field,public static final float
b,c,f_142769_,,DEG_TO_RAD,RADIANS_PER_DEGREE,field_29660,field,public static final float
b,d,f_142770_,,EPSILON,EPSILON,field_29661,field,public static final float
c,a,f_252516_,,denominator,divisor,field_40738,field,private final int
c,b,f_252539_,,quotient,quotient,field_40739,field,private final int
c,c,f_252455_,,mod,mod,field_40740,field,private final int
c,d,f_252404_,,returnedParts,returnedCount,field_40741,field,private int
c,e,f_252437_,,remainder,remainder,field_40742,field,private int
h,a,IDENTITY,,IDENTITY,IDENTITY,field_23292,enum,
h,b,ROT_180_FACE_XY,,ROT_180_FACE_XY,ROT_180_FACE_XY,field_23299,enum,
h,c,ROT_180_FACE_XZ,,ROT_180_FACE_XZ,ROT_180_FACE_XZ,field_23300,enum,
h,d,ROT_180_FACE_YZ,,ROT_180_FACE_YZ,ROT_180_FACE_YZ,field_23301,enum,
h,e,ROT_120_NNN,,ROT_120_NNN,ROT_120_NNN,field_23302,enum,
h,f,ROT_120_NNP,,ROT_120_NNP,ROT_120_NNP,field_23303,enum,
h,g,ROT_120_NPN,,ROT_120_NPN,ROT_120_NPN,field_23304,enum,
h,h,ROT_120_NPP,,ROT_120_NPP,ROT_120_NPP,field_23305,enum,
h,i,ROT_120_PNN,,ROT_120_PNN,ROT_120_PNN,field_23306,enum,
h,j,ROT_120_PNP,,ROT_120_PNP,ROT_120_PNP,field_23307,enum,
h,k,ROT_120_PPN,,ROT_120_PPN,ROT_120_PPN,field_23308,enum,
h,l,ROT_120_PPP,,ROT_120_PPP,ROT_120_PPP,field_23309,enum,
h,m,ROT_180_EDGE_XY_NEG,,ROT_180_EDGE_XY_NEG,ROT_180_EDGE_XY_NEG,field_23310,enum,
h,n,ROT_180_EDGE_XY_POS,,ROT_180_EDGE_XY_POS,ROT_180_EDGE_XY_POS,field_23311,enum,
h,o,ROT_180_EDGE_XZ_NEG,,ROT_180_EDGE_XZ_NEG,ROT_180_EDGE_XZ_NEG,field_23312,enum,
h,p,ROT_180_EDGE_XZ_POS,,ROT_180_EDGE_XZ_POS,ROT_180_EDGE_XZ_POS,field_23313,enum,
h,q,ROT_180_EDGE_YZ_NEG,,ROT_180_EDGE_YZ_NEG,ROT_180_EDGE_YZ_NEG,field_23314,enum,
h,r,ROT_180_EDGE_YZ_POS,,ROT_180_EDGE_YZ_POS,ROT_180_EDGE_YZ_POS,field_23315,enum,
h,s,ROT_90_X_NEG,,ROT_90_X_NEG,ROT_90_X_NEG,field_23316,enum,
h,t,ROT_90_X_POS,,ROT_90_X_POS,ROT_90_X_POS,field_23317,enum,
h,u,ROT_90_Y_NEG,,ROT_90_Y_NEG,ROT_90_Y_NEG,field_23318,enum,
h,v,ROT_90_Y_POS,,ROT_90_Y_POS,ROT_90_Y_POS,field_23319,enum,
h,w,ROT_90_Z_NEG,,ROT_90_Z_NEG,ROT_90_Z_NEG,field_23320,enum,
h,x,ROT_90_Z_POS,,ROT_90_Z_POS,ROT_90_Z_POS,field_23321,enum,
h,y,INVERSION,,INVERSION,INVERSION,field_23322,enum,
h,z,INVERT_X,,INVERT_X,INVERT_X,field_23323,enum,
h,A,INVERT_Y,,INVERT_Y,INVERT_Y,field_23266,enum,
h,B,INVERT_Z,,INVERT_Z,INVERT_Z,field_23267,enum,
h,C,ROT_60_REF_NNN,,ROT_60_REF_NNN,ROT_60_REF_NNN,field_23268,enum,
h,D,ROT_60_REF_NNP,,ROT_60_REF_NNP,ROT_60_REF_NNP,field_23269,enum,
h,E,ROT_60_REF_NPN,,ROT_60_REF_NPN,ROT_60_REF_NPN,field_23270,enum,
h,F,ROT_60_REF_NPP,,ROT_60_REF_NPP,ROT_60_REF_NPP,field_23271,enum,
h,G,ROT_60_REF_PNN,,ROT_60_REF_PNN,ROT_60_REF_PNN,field_23272,enum,
h,H,ROT_60_REF_PNP,,ROT_60_REF_PNP,ROT_60_REF_PNP,field_23273,enum,
h,I,ROT_60_REF_PPN,,ROT_60_REF_PPN,ROT_60_REF_PPN,field_23274,enum,
h,J,ROT_60_REF_PPP,,ROT_60_REF_PPP,ROT_60_REF_PPP,field_23275,enum,
h,K,SWAP_XY,,SWAP_XY,SWAP_XY,field_23276,enum,
h,L,SWAP_YZ,,SWAP_YZ,SWAP_YZ,field_23277,enum,
h,M,SWAP_XZ,,SWAP_XZ,SWAP_XZ,field_23278,enum,
h,N,SWAP_NEG_XY,,SWAP_NEG_XY,SWAP_NEG_XY,field_23279,enum,
h,O,SWAP_NEG_YZ,,SWAP_NEG_YZ,SWAP_NEG_YZ,field_23280,enum,
h,P,SWAP_NEG_XZ,,SWAP_NEG_XZ,SWAP_NEG_XZ,field_23281,enum,
h,Q,ROT_90_REF_X_NEG,,ROT_90_REF_X_NEG,ROT_90_REF_X_NEG,field_23282,enum,
h,R,ROT_90_REF_X_POS,,ROT_90_REF_X_POS,ROT_90_REF_X_POS,field_23283,enum,
h,S,ROT_90_REF_Y_NEG,,ROT_90_REF_Y_NEG,ROT_90_REF_Y_NEG,field_23284,enum,
h,T,ROT_90_REF_Y_POS,,ROT_90_REF_Y_POS,ROT_90_REF_Y_POS,field_23285,enum,
h,U,ROT_90_REF_Z_NEG,,ROT_90_REF_Z_NEG,ROT_90_REF_Z_NEG,field_23286,enum,
h,V,ROT_90_REF_Z_POS,,ROT_90_REF_Z_POS,ROT_90_REF_Z_POS,field_23287,enum,
h,X,f_56473_,,transformation,matrix,field_23288,field,private final org.joml.Matrix3f
h,Y,f_56474_,,name,name,field_23289,field,private final String
h,Z,f_56475_,,rotatedDirections,mappings,field_23290,field,"private Map<Direction, Direction>"
h,aa,f_56476_,,invertX,flipX,field_23291,field,private final boolean
h,ab,f_56478_,,invertY,flipY,field_23293,field,private final boolean
h,ac,f_56479_,,invertZ,flipZ,field_23294,field,private final boolean
h,ad,f_56480_,,permutation,axisTransformation,field_23295,field,private final SymmetricGroup3
h,ae,f_56481_,,cayleyTable,COMBINATIONS,field_23296,field,private static final OctahedralGroup[][]
h,af,f_56482_,,inverseTable,INVERSES,field_23297,field,private static final OctahedralGroup[]
f,a,f_252537_,,G,COT_PI_OVER_8,field_40746,field,private static final float
f,b,f_276163_,,PI_4,SIN_COS_PI_OVER_8,field_43146,field,private static final GivensParameters
i,a,P123,,P123,P123,field_23362,enum,
i,b,P213,,P213,P213,field_23363,enum,
i,c,P132,,P132,P132,field_23364,enum,
i,d,P231,,P231,P231,field_23365,enum,
i,e,P312,,P312,P312,field_23366,enum,
i,f,P321,,P321,P321,field_23367,enum,
i,g,f_109168_,,permutation,mappings,field_23368,field,private final int[]
i,h,f_109169_,,transformation,matrix,field_23369,field,private final org.joml.Matrix3f
i,i,f_175574_,,ORDER,NUM_AXES,field_33113,field,private static final int
i,j,f_109170_,,cayleyTable,COMBINATIONS,field_23370,field,private static final SymmetricGroup3[][]
al,a,TASK,,TASK,TASK,field_1254,enum,
al,b,CHALLENGE,,CHALLENGE,CHALLENGE,field_1250,enum,
al,c,GOAL,,GOAL,GOAL,field_1249,enum,
al,d,f_303602_,,CODEC,CODEC,field_47186,field,public static final com.mojang.serialization.Codec<AdvancementType>
al,e,f_303261_,,name,id,field_1251,field,private final String
al,f,f_303078_,,chatColor,titleFormat,field_1255,field,private final ChatFormatting
al,g,f_302214_,,displayName,toastText,field_26386,field,private final Component
ae$a,a,f_138333_,,parent,parentObj,field_1149,field,private Optional<ResourceLocation>
ae$a,b,f_138334_,,display,display,field_1147,field,private Optional<DisplayInfo>
ae$a,c,f_138335_,,rewards,rewards,field_1153,field,private AdvancementRewards
ae$a,d,f_138336_,,criteria,criteria,field_1148,field,"private final com.google.common.collect.ImmutableMap$Builder<String, Criterion<?>>"
ae$a,e,f_138337_,,requirements,requirements,field_1150,field,private Optional<AdvancementRequirements>
