owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
ae$3,b,f_214693_,,cache,cache,field_29657,field,"private final Map<com.mojang.datafixers.util.Pair<T, U>, R>"
ew,a,f_81286_,,ERROR_NOT_PLAYER,REQUIRES_PLAYER_EXCEPTION,field_9824,field,public static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
ew,b,f_81287_,,ERROR_NOT_ENTITY,REQUIRES_ENTITY_EXCEPTION,field_9827,field,public static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
ew,c,f_81288_,,source,output,field_9819,field,private final CommandSource
ew,d,f_81289_,,worldPosition,position,field_9817,field,private final Vec3
ew,e,f_81290_,,level,world,field_9828,field,private final ServerLevel
ew,f,f_81291_,,permissionLevel,level,field_9815,field,private final int
ew,g,f_81292_,,textName,name,field_9826,field,private final String
ew,h,f_81293_,,displayName,displayName,field_9825,field,private final Component
ew,i,f_81294_,,server,server,field_9818,field,private final MinecraftServer
ew,j,f_81295_,,silent,silent,field_9823,field,private final boolean
ew,k,f_81296_,,entity,entity,field_9820,field,private final Entity
ew,l,f_302754_,,resultCallback,returnValueConsumer,field_47159,field,private final CommandResultCallback
ew,m,f_81298_,,anchor,entityAnchor,field_9816,field,private final EntityAnchorArgument$Anchor
ew,n,f_81299_,,rotation,rotation,field_9822,field,private final Vec2
ew,o,f_230878_,,signingContext,signedArguments,field_39183,field,private final CommandSigningContext
ew,p,f_241659_,,chatMessageChainer,messageChainTaskQueue,field_39834,field,private final TaskChainer
eu$a,b,f_242498_,,arguments,arguments,comp_971,field,"private final Map<String, PlayerChatMessage>"
fo,d,f_99484_,,EXAMPLES,EXAMPLES,field_9898,field,private static final Collection<String>
fo,a,f_99482_,,ERROR_INVALID_NODE,INVALID_PATH_NODE_EXCEPTION,field_9900,field,public static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
fo,b,f_263133_,,ERROR_DATA_TOO_DEEP,TOO_DEEP_EXCEPTION,field_41706,field,public static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
fo,c,f_99483_,,ERROR_NOTHING_FOUND,NOTHING_FOUND_EXCEPTION,field_9899,field,public static final com.mojang.brigadier.exceptions.DynamicCommandExceptionType
fo,e,f_263135_,,ERROR_EXPECTED_LIST,EXPECTED_LIST_EXCEPTION,field_41708,field,static final com.mojang.brigadier.exceptions.DynamicCommandExceptionType
fo,f,f_263128_,,ERROR_INVALID_INDEX,INVALID_INDEX_EXCEPTION,field_41709,field,static final com.mojang.brigadier.exceptions.DynamicCommandExceptionType
fo,g,f_169530_,,INDEX_MATCH_START,LEFT_SQUARE_BRACKET,field_32182,field,private static final char
fo,h,f_169531_,,INDEX_MATCH_END,RIGHT_SQUARE_BRACKET,field_32183,field,private static final char
fo,i,f_169532_,,KEY_MATCH_START,LEFT_CURLY_BRACKET,field_32184,field,private static final char
fo,j,f_169533_,,KEY_MATCH_END,RIGHT_CURLY_BRACKET,field_32185,field,private static final char
fo,k,f_169534_,,QUOTED_KEY_START,DOUBLE_QUOTE,field_32186,field,private static final char
fo,l,f_287792_,,SINGLE_QUOTED_KEY_START,SINGLE_QUOTE,field_44920,field,private static final char
fr,b,f_102552_,,EXAMPLES,EXAMPLES,field_9926,field,private static final Collection<String>
fr,a,f_102551_,,ERROR_INVALID_VALUE,INVALID_CRITERION_EXCEPTION,field_9927,field,public static final com.mojang.brigadier.exceptions.DynamicCommandExceptionType
ga,a,f_244586_,,EXAMPLES,EXAMPLES,field_37223,field,private static final Collection<String>
ga,b,f_243745_,,registryKey,registryRef,field_37226,field,final ResourceKey<? extends Registry<T>>
fi$a,a,FEET,,FEET,FEET,field_9853,enum,
fi$a,b,EYES,,EYES,EYES,field_9851,enum,
fi$a,c,f_90366_,,BY_NAME,ANCHORS,field_9852,field,"static final Map<String, EntityAnchorArgument$Anchor>"
fi$a,d,f_90367_,,name,id,field_9849,field,private final String
fi$a,e,f_90368_,,transform,offset,field_9848,field,"private final BiFunction<Vec3, Entity, Vec3>"
gi,a,f_112084_,,EXAMPLES,EXAMPLES,field_9964,field,private static final Collection<String>
gi,b,f_112085_,,ERROR_TEAM_NOT_FOUND,UNKNOWN_TEAM_EXCEPTION,field_9963,field,private static final com.mojang.brigadier.exceptions.DynamicCommandExceptionType
hm,a,f_175112_,,SYNTAX_SELECTOR_START,SELECTOR_PREFIX,field_33069,field,public static final char
hm,o,f_175116_,,SYNTAX_OPTIONS_START,ARGUMENTS_OPENING,field_33073,field,private static final char
hm,p,f_175117_,,SYNTAX_OPTIONS_END,ARGUMENTS_CLOSING,field_33074,field,private static final char
hm,b,f_175113_,,SYNTAX_OPTIONS_KEY_VALUE_SEPARATOR,ARGUMENT_DEFINER,field_33070,field,public static final char
hm,q,f_175118_,,SYNTAX_OPTIONS_SEPARATOR,ARGUMENT_SEPARATOR,field_33075,field,private static final char
hm,c,f_175114_,,SYNTAX_NOT,INVERT_MODIFIER,field_33071,field,public static final char
hm,d,f_175115_,,SYNTAX_TAG,TAG_MODIFIER,field_33072,field,public static final char
hm,r,f_175119_,,SELECTOR_NEAREST_PLAYER,NEAREST_PLAYER,field_33076,field,private static final char
hm,s,f_175120_,,SELECTOR_ALL_PLAYERS,ALL_PLAYERS,field_33077,field,private static final char
hm,t,f_175121_,,SELECTOR_RANDOM_PLAYERS,RANDOM_PLAYER,field_33078,field,private static final char
