混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/text/TextFormatting,net/minecraft/server/v1_11_R1/EnumChatFormat,,,
aa,net/minecraft/command/CommandEffect,net/minecraft/server/v1_11_R1/CommandEffect,,,
aaa,net/minecraft/entity/monster/EntityMob,net/minecraft/server/v1_11_R1/EntityMonster,,,
aab$a,net/minecraft/entity/monster/EntityPigZombie$AITargetAggressor,net/minecraft/server/v1_11_R1/EntityPigZombie$PathfinderGoalAnger,,,
aab$b,net/minecraft/entity/monster/EntityPigZombie$AIHurtByAggressor,net/minecraft/server/v1_11_R1/EntityPigZombie$PathfinderGoalAngerOther,,,
aab,net/minecraft/entity/monster/EntityPigZombie,net/minecraft/server/v1_11_R1/EntityPigZombie,,,
aac,net/minecraft/entity/IRangedAttackMob,net/minecraft/server/v1_11_R1/IRangedEntity,,,
aad,net/minecraft/entity/SharedMonsterAttributes,net/minecraft/server/v1_11_R1/GenericAttributes,,,
aae$a,net/minecraft/entity/monster/EntityShulker$AIAttack,net/minecraft/server/v1_11_R1/EntityShulker$a,,,
aae$b,net/minecraft/entity/monster/EntityShulker$BodyHelper,net/minecraft/server/v1_11_R1/EntityShulker$b,,,
aae$c$1,net/minecraft/entity/monster/EntityShulker$AIDefenseAttack$1,net/minecraft/server/v1_11_R1/EntityShulker$c$1,,,
aae$c,net/minecraft/entity/monster/EntityShulker$AIDefenseAttack,net/minecraft/server/v1_11_R1/EntityShulker$c,,,
aae$d,net/minecraft/entity/monster/EntityShulker$AIAttackNearest,net/minecraft/server/v1_11_R1/EntityShulker$d,,,
aae$e,net/minecraft/entity/monster/EntityShulker$AIPeek,net/minecraft/server/v1_11_R1/EntityShulker$e,,,
aae,net/minecraft/entity/monster/EntityShulker,net/minecraft/server/v1_11_R1/EntityShulker,,,
aaf$a,net/minecraft/entity/monster/EntitySilverfish$AIHideInStone,net/minecraft/server/v1_11_R1/EntitySilverfish$PathfinderGoalSilverfishHideInBlock,,,
aaf$b,net/minecraft/entity/monster/EntitySilverfish$AISummonSilverfish,net/minecraft/server/v1_11_R1/EntitySilverfish$PathfinderGoalSilverfishWakeOthers,,,
aaf,net/minecraft/entity/monster/EntitySilverfish,net/minecraft/server/v1_11_R1/EntitySilverfish,,,
aag,net/minecraft/entity/monster/EntitySkeleton,net/minecraft/server/v1_11_R1/EntitySkeleton,,,
aah$a,net/minecraft/entity/monster/EntitySlime$AISlimeAttack,net/minecraft/server/v1_11_R1/EntitySlime$PathfinderGoalSlimeNearestPlayer,,,
aah$b,net/minecraft/entity/monster/EntitySlime$AISlimeFloat,net/minecraft/server/v1_11_R1/EntitySlime$PathfinderGoalSlimeRandomJump,,,
aah$c,net/minecraft/entity/monster/EntitySlime$AISlimeHop,net/minecraft/server/v1_11_R1/EntitySlime$PathfinderGoalSlimeIdle,,,
aah$d,net/minecraft/entity/monster/EntitySlime$SlimeMoveHelper,net/minecraft/server/v1_11_R1/EntitySlime$ControllerMoveSlime,,,
aah$e,net/minecraft/entity/monster/EntitySlime$AISlimeFaceRandom,net/minecraft/server/v1_11_R1/EntitySlime$PathfinderGoalSlimeRandomDirection,,,
aah,net/minecraft/entity/monster/EntitySlime,net/minecraft/server/v1_11_R1/EntitySlime,,,
aai$a,net/minecraft/entity/monster/EntitySpider$AISpiderAttack,net/minecraft/server/v1_11_R1/EntitySpider$PathfinderGoalSpiderMeleeAttack,,,
aai$b,net/minecraft/entity/monster/EntitySpider$GroupData,net/minecraft/server/v1_11_R1/EntitySpider$GroupDataSpider,,,
aai$c,net/minecraft/entity/monster/EntitySpider$AISpiderTarget,net/minecraft/server/v1_11_R1/EntitySpider$PathfinderGoalSpiderNearestAttackableTarget,,,
aai,net/minecraft/entity/monster/EntitySpider,net/minecraft/server/v1_11_R1/EntitySpider,,,
aaj,net/minecraft/entity/monster/EntityStray,net/minecraft/server/v1_11_R1/EntitySkeletonStray,,,
aak$a,net/minecraft/entity/monster/EntityVex$AIChargeAttack,net/minecraft/server/v1_11_R1/EntityVex$a,,,
aak$b,net/minecraft/entity/monster/EntityVex$AICopyOwnerTarget,net/minecraft/server/v1_11_R1/EntityVex$b,,,
aak$c,net/minecraft/entity/monster/EntityVex$AIMoveControl,net/minecraft/server/v1_11_R1/EntityVex$c,,,
aak$d,net/minecraft/entity/monster/EntityVex$AIMoveRandom,net/minecraft/server/v1_11_R1/EntityVex$d,,,
aak,net/minecraft/entity/monster/EntityVex,net/minecraft/server/v1_11_R1/EntityVex,,,
aal$1,net/minecraft/entity/monster/EntityVindicator$1,net/minecraft/server/v1_11_R1/EntityVindicator$1,,,
aal$a,net/minecraft/entity/monster/EntityVindicator$AIJohnnyAttack,net/minecraft/server/v1_11_R1/EntityVindicator$a,,,
