owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
i,a,P123,,P123,P123,field_23362,enum,
i,b,P213,,P213,P213,field_23363,enum,
i,c,P132,,P132,P132,field_23364,enum,
i,d,P231,,P231,P231,field_23365,enum,
i,e,P312,,P312,P312,field_23366,enum,
i,f,P321,,P321,P321,field_23367,enum,
i,g,f_109168_,,permutation,mappings,field_23368,field,private final int[]
i,h,f_109169_,,transformation,matrix,field_23369,field,private final org.joml.Matrix3f
i,i,f_175574_,,ORDER,NUM_AXES,field_33113,field,private static final int
i,j,f_109170_,,cayleyTable,COMBINATIONS,field_23370,field,private static final SymmetricGroup3[][]
b,a,f_142767_,,PI,PI,field_29658,field,public static final float
b,b,f_142768_,,RAD_TO_DEG,DEGREES_PER_RADIAN,field_29659,field,public static final float
b,c,f_142769_,,DEG_TO_RAD,RADIANS_PER_DEGREE,field_29660,field,public static final float
b,d,f_142770_,,EPSILON,EPSILON,field_29661,field,public static final float
f,a,f_252537_,,G,COT_PI_OVER_8,field_40746,field,private static final float
f,b,f_276163_,,PI_4,SIN_COS_PI_OVER_8,field_43146,field,private static final GivensParameters
j,c,f_121078_,,matrix,matrix,field_20900,field,private final org.joml.Matrix4f
j,a,f_268453_,,CODEC,CODEC,field_42532,field,public static final com.mojang.serialization.Codec<Transformation>
j,b,f_268620_,,EXTENDED_CODEC,ANY_CODEC,field_42533,field,public static final com.mojang.serialization.Codec<Transformation>
j,d,f_121079_,,decomposed,initialized,field_20901,field,private boolean
j,e,f_121080_,,translation,translation,field_20902,field,private org.joml.Vector3f
j,f,f_121081_,,leftRotation,leftRotation,field_20903,field,private org.joml.Quaternionf
j,g,f_121082_,,scale,scale,field_20904,field,private org.joml.Vector3f
j,h,f_121083_,,rightRotation,rightRotation,field_20905,field,private org.joml.Quaternionf
j,i,f_121084_,,IDENTITY,IDENTITY,field_20906,field,private static final Transformation
c,a,f_252516_,,denominator,divisor,field_40738,field,private final int
c,b,f_252539_,,quotient,quotient,field_40739,field,private final int
c,c,f_252455_,,mod,mod,field_40740,field,private final int
c,d,f_252404_,,returnedParts,returnedCount,field_40741,field,private int
c,e,f_252437_,,remainder,remainder,field_40742,field,private int
e,a,f_276143_,,sinHalf,sinHalf,comp_1317,field,private final float
e,b,f_276137_,,cosHalf,cosHalf,comp_1318,field,private final float
h,a,IDENTITY,,IDENTITY,IDENTITY,field_23292,enum,
h,b,ROT_180_FACE_XY,,ROT_180_FACE_XY,ROT_180_FACE_XY,field_23299,enum,
h,c,ROT_180_FACE_XZ,,ROT_180_FACE_XZ,ROT_180_FACE_XZ,field_23300,enum,
h,d,ROT_180_FACE_YZ,,ROT_180_FACE_YZ,ROT_180_FACE_YZ,field_23301,enum,
h,e,ROT_120_NNN,,ROT_120_NNN,ROT_120_NNN,field_23302,enum,
h,f,ROT_120_NNP,,ROT_120_NNP,ROT_120_NNP,field_23303,enum,
h,g,ROT_120_NPN,,ROT_120_NPN,ROT_120_NPN,field_23304,enum,
h,h,ROT_120_NPP,,ROT_120_NPP,ROT_120_NPP,field_23305,enum,
h,i,ROT_120_PNN,,ROT_120_PNN,ROT_120_PNN,field_23306,enum,
h,j,ROT_120_PNP,,ROT_120_PNP,ROT_120_PNP,field_23307,enum,
h,k,ROT_120_PPN,,ROT_120_PPN,ROT_120_PPN,field_23308,enum,
h,l,ROT_120_PPP,,ROT_120_PPP,ROT_120_PPP,field_23309,enum,
h,m,ROT_180_EDGE_XY_NEG,,ROT_180_EDGE_XY_NEG,ROT_180_EDGE_XY_NEG,field_23310,enum,
h,n,ROT_180_EDGE_XY_POS,,ROT_180_EDGE_XY_POS,ROT_180_EDGE_XY_POS,field_23311,enum,
h,o,ROT_180_EDGE_XZ_NEG,,ROT_180_EDGE_XZ_NEG,ROT_180_EDGE_XZ_NEG,field_23312,enum,
h,p,ROT_180_EDGE_XZ_POS,,ROT_180_EDGE_XZ_POS,ROT_180_EDGE_XZ_POS,field_23313,enum,
