混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/text/TextFormatting,net/minecraft/server/v1_10_R1/EnumChatFormat,,,
aa,net/minecraft/command/CommandEffect,net/minecraft/server/v1_10_R1/CommandEffect,,,
aaa,net/minecraft/entity/projectile/EntityLargeFireball,net/minecraft/server/v1_10_R1/EntityLargeFireball,,,
aab,net/minecraft/entity/IProjectile,net/minecraft/server/v1_10_R1/IProjectile,,,
aac,net/minecraft/entity/projectile/ProjectileHelper,net/minecraft/server/v1_10_R1/ProjectileHelper,,,
aad,net/minecraft/entity/projectile/EntityShulkerBullet,net/minecraft/server/v1_10_R1/EntityShulkerBullet,,,
aae,net/minecraft/entity/projectile/EntitySmallFireball,net/minecraft/server/v1_10_R1/EntitySmallFireball,,,
aaf,net/minecraft/entity/projectile/EntitySnowball,net/minecraft/server/v1_10_R1/EntitySnowball,,,
aag,net/minecraft/entity/projectile/EntitySpectralArrow,net/minecraft/server/v1_10_R1/EntitySpectralArrow,,,
aah,net/minecraft/entity/projectile/EntityThrowable,net/minecraft/server/v1_10_R1/EntityProjectile,,,
aai,net/minecraft/entity/projectile/EntityEgg,net/minecraft/server/v1_10_R1/EntityEgg,,,
aaj,net/minecraft/entity/item/EntityEnderPearl,net/minecraft/server/v1_10_R1/EntityEnderPearl,,,
aak,net/minecraft/entity/item/EntityExpBottle,net/minecraft/server/v1_10_R1/EntityThrownExpBottle,,,
aal,net/minecraft/entity/projectile/EntityPotion,net/minecraft/server/v1_10_R1/EntityPotion,,,
aam,net/minecraft/entity/projectile/EntityTippedArrow,net/minecraft/server/v1_10_R1/EntityTippedArrow,,,
aan,net/minecraft/entity/projectile/EntityWitherSkull,net/minecraft/server/v1_10_R1/EntityWitherSkull,,,
aap$a,net/minecraft/entity/item/EntityBoat$Status,net/minecraft/server/v1_10_R1/EntityBoat$EnumStatus,,,
aap$b,net/minecraft/entity/item/EntityBoat$Type,net/minecraft/server/v1_10_R1/EntityBoat$EnumBoatType,,,
aap,net/minecraft/entity/item/EntityBoat,net/minecraft/server/v1_10_R1/EntityBoat,,,
aaq$a,net/minecraft/entity/item/EntityMinecart$Type,net/minecraft/server/v1_10_R1/EntityMinecartAbstract$EnumMinecartType,,,
aaq,net/minecraft/entity/item/EntityMinecart,net/minecraft/server/v1_10_R1/EntityMinecartAbstract,,,
aar,net/minecraft/entity/item/EntityMinecartChest,net/minecraft/server/v1_10_R1/EntityMinecartChest,,,
aas$1,net/minecraft/entity/item/EntityMinecartCommandBlock$1,net/minecraft/server/v1_10_R1/EntityMinecartCommandBlock$1,,,
aas$2,net/minecraft/entity/item/EntityMinecartCommandBlock$2,net/minecraft/server/v1_10_R1/EntityMinecartCommandBlock$2,,,
aas,net/minecraft/entity/item/EntityMinecartCommandBlock,net/minecraft/server/v1_10_R1/EntityMinecartCommandBlock,,,
aat,net/minecraft/entity/item/EntityMinecartContainer,net/minecraft/server/v1_10_R1/EntityMinecartContainer,,,
