owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CI)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CZ)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Ljava/lang/String;CZI)V,private
a,c(String arg0),func_175745_c(String arg0),,,,,method,c(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(),func_175746_b(),,,,,method,b(),()I,int
a,c(),func_96301_b(),isFormat(),,,,method,c(),()Z,boolean
a,d(),func_96302_c(),,,,,method,d(),()Z,boolean
a,e(),func_96297_d(),,,,,method,e(),()Ljava/lang/String;,String
a,a(String arg0),func_110646_a(String arg0),,,,,method,a(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(String arg0),func_96300_b(String arg0),,,,,method,b(String arg0),(Ljava/lang/String;)La;,EnumChatFormat
a,a(int arg0),func_175744_a(int arg0),,,,,method,a(int arg0),(I)La;,EnumChatFormat
a,"a(boolean arg0, boolean arg1)","func_96296_a(boolean arg0, boolean arg1)",,,,,method,"a(boolean arg0, boolean arg1)",(ZZ)Ljava/util/Collection;,Collection<String>
aa,<init>,,,,,,constructor,(),()V,public
aa,c(),func_71517_b(),getCommand(),,,,method,c(),()Ljava/lang/String;,String
aa,a(),func_82362_a(),,,,,method,a(),()I,int
aa,b(n arg0),func_71518_a(ICommandSender arg0),getUsage(ICommandListener arg0),,,,method,b(n arg0),(Ln;)Ljava/lang/String;,String
aa,"a(MinecraftServer arg0, n arg1, String[] arg2)","func_184881_a(MinecraftServer arg0, ICommandSender arg1, String[] arg2)","execute(MinecraftServer arg0, ICommandListener arg1, String[] arg2)",,,,method,"a(MinecraftServer arg0, n arg1, String[] arg2)",(Lnet/minecraft/server/MinecraftServer;Ln;[Ljava/lang/String;)V,void
aa,"a(MinecraftServer arg0, n arg1, String[] arg2, cm arg3)","func_184883_a(MinecraftServer arg0, ICommandSender arg1, String[] arg2, BlockPos arg3)","tabComplete(MinecraftServer arg0, ICommandListener arg1, String[] arg2, BlockPosition arg3)",,,,method,"a(MinecraftServer arg0, n arg1, String[] arg2, cm arg3)",(Lnet/minecraft/server/MinecraftServer;Ln;[Ljava/lang/String;Lcm;)Ljava/util/List;,List<String>
aa,"b(String[] arg0, int arg1)","func_82358_a(String[] arg0, int arg1)","isListStart(String[] arg0, int arg1)",,,,method,"b(String[] arg0, int arg1)",([Ljava/lang/String;I)Z,boolean
aaa,<init>,,,,,,constructor,(arg0),(Laid;)V,public
aaa,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4)",(Laid;Lsf;DDD)V,public
aaa,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4, arg5, arg6)",(Laid;DDDDDD)V,public
aaa,a(bbz arg0),func_70227_a(RayTraceResult arg0),,,,,method,a(bbz arg0),(Lbbz;)V,void
aaa,a(pd arg0),func_189744_a(DataFixer arg0),,,,,method,a(pd arg0),(Lpd;)V,void
aaa,b(dr arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(dr arg0),(Ldr;)V,void
aaa,a(dr arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(dr arg0),(Ldr;)V,void
aab,"c(double arg0, double arg1, double arg2, float arg3, float arg4)","func_70186_c(double arg0, double arg1, double arg2, float arg3, float arg4)","shoot(double arg0, double arg1, double arg2, float arg3, float arg4)",,,,method,"c(double arg0, double arg1, double arg2, float arg3, float arg4)",(DDDFF)V,void
aac,"a(rw arg0, boolean arg1, boolean arg2, rw arg3)","func_188802_a(Entity arg0, boolean arg1, boolean arg2, Entity arg3)",,,,,method,"a(rw arg0, boolean arg1, boolean arg2, rw arg3)",(Lrw;ZZLrw;)Lbbz;,MovingObjectPosition
aac,"a(rw arg0, float arg1)","func_188803_a(Entity arg0, float arg1)",,,,,method,"a(rw arg0, float arg1)",(Lrw;F)V,void
aad,<init>,,,,,,constructor,(arg0),(Laid;)V,public
aad,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Laid;Lsf;Lrw;Lct$a;)V,public
aad,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4, arg5, arg6)",(Laid;DDDDDD)V,public
aad,bC(),func_184176_by(),,,,,method,bC(),()Lnk;,SoundCategory
aad,b(dr arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(dr arg0),(Ldr;)V,void
aad,a(dr arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(dr arg0),(Ldr;)V,void
aad,i(),func_70088_a(),,,,,method,i(),()V,void
aad,a(ct arg0),func_184568_a(EnumFacing arg0),,,,,method,a(ct arg0),(Lct;)V,void
aad,a(ct$a arg0),func_184569_a(EnumFacing$Axis arg0),,,,,method,a(ct$a arg0),(Lct$a;)V,void
aad,m(),func_70071_h_(),,,,,method,m(),()V,void
aad,aJ(),func_70027_ad(),isBurning(),,,,method,aJ(),()Z,boolean
aad,e(float arg0),func_70013_c(float arg0),,,,,method,e(float arg0),(F)F,float
aad,a(bbz arg0),func_184567_a(RayTraceResult arg0),,,,,method,a(bbz arg0),(Lbbz;)V,void
aad,aq(),func_70067_L(),isInteractable(),,,,method,aq(),()Z,boolean
aad,"a(rh arg0, float arg1)","func_70097_a(DamageSource arg0, float arg1)","damageEntity(DamageSource arg0, float arg1)",,,,method,"a(rh arg0, float arg1)",(Lrh;F)Z,boolean
aad,a(double arg0),func_70112_a(double arg0),,,,,method,a(double arg0),(D)Z,boolean
aad,d(float arg0),func_70070_b(float arg0),,,,,method,d(float arg0),(F)I,int
aae,<init>,,,,,,constructor,(arg0),(Laid;)V,public
aae,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4)",(Laid;Lsf;DDD)V,public
aae,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4, arg5, arg6)",(Laid;DDDDDD)V,public
aae,a(pd arg0),func_189745_a(DataFixer arg0),,,,,method,a(pd arg0),(Lpd;)V,void
aae,a(bbz arg0),func_70227_a(RayTraceResult arg0),,,,,method,a(bbz arg0),(Lbbz;)V,void
aae,aq(),func_70067_L(),isInteractable(),,,,method,aq(),()Z,boolean
aae,"a(rh arg0, float arg1)","func_70097_a(DamageSource arg0, float arg1)","damageEntity(DamageSource arg0, float arg1)",,,,method,"a(rh arg0, float arg1)",(Lrh;F)Z,boolean
aaf,<init>,,,,,,constructor,(arg0),(Laid;)V,public
aaf,<init>,,,,,,constructor,"(arg0, arg1)",(Laid;Lsf;)V,public
