owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CI)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CZ)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Ljava/lang/String;CZI)V,private
a,c(String arg0),func_175745_c(String arg0),,,,,method,c(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(),func_175746_b(),,,,,method,b(),()I,int
a,c(),func_96301_b(),isFormat(),,,,method,c(),()Z,boolean
a,d(),func_96302_c(),,,,,method,d(),()Z,boolean
a,e(),func_96297_d(),,,,,method,e(),()Ljava/lang/String;,String
a,a(String arg0),func_110646_a(String arg0),,,,,method,a(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(String arg0),func_96300_b(String arg0),,,,,method,b(String arg0),(Ljava/lang/String;)La;,EnumChatFormat
a,a(int arg0),func_175744_a(int arg0),,,,,method,a(int arg0),(I)La;,EnumChatFormat
a,"a(boolean arg0, boolean arg1)","func_96296_a(boolean arg0, boolean arg1)",,,,,method,"a(boolean arg0, boolean arg1)",(ZZ)Ljava/util/Collection;,Collection<String>
aa$a,<init>,,,,,,constructor,(arg0),(Lnn;)V,public
aa$a,a(),func_192359_a(),,,,,method,a(),()Z,boolean
aa$a,a(p$a<aa$b> arg0),func_192360_a(ICriterionTrigger$Listener<CuredZombieVillagerTrigger$Instance> arg0),,,,,method,a(p$a<aa$b> arg0),(Lp$a;)V,void
aa$a,b(p$a<aa$b> arg0),func_192358_b(ICriterionTrigger$Listener<CuredZombieVillagerTrigger$Instance> arg0),,,,,method,b(p$a<aa$b> arg0),(Lp$a;)V,void
aa$a,"a(oo arg0, adr arg1, adw arg2)","func_192361_a(EntityPlayerMP arg0, EntityZombie arg1, EntityVillager arg2)",,,,,method,"a(oo arg0, adr arg1, adw arg2)",(Loo;Ladr;Ladw;)V,void
aa$b,<init>,,,,,,constructor,"(arg0, arg1)",(Laj;Laj;)V,public
aa$b,"a(oo arg0, adr arg1, adw arg2)","func_192254_a(EntityPlayerMP arg0, EntityZombie arg1, EntityVillager arg2)",,,,,method,"a(oo arg0, adr arg1, adw arg2)",(Loo;Ladr;Ladw;)Z,boolean
aa,<init>,,,,,,constructor,(),()V,public
aa,a(),func_192163_a(),,,,,method,a(),()Lnd;,MinecraftKey
aa,"a(nn arg0, p$a<aa$b> arg1)","func_192165_a(PlayerAdvancements arg0, ICriterionTrigger$Listener<CuredZombieVillagerTrigger$Instance> arg1)",,,,,method,"a(nn arg0, p$a<aa$b> arg1)",(Lnn;Lp$a;)V,void
aa,"b(nn arg0, p$a<aa$b> arg1)","func_192164_b(PlayerAdvancements arg0, ICriterionTrigger$Listener<CuredZombieVillagerTrigger$Instance> arg1)",,,,,method,"b(nn arg0, p$a<aa$b> arg1)",(Lnn;Lp$a;)V,void
aa,a(nn arg0),func_192167_a(PlayerAdvancements arg0),,,,,method,a(nn arg0),(Lnn;)V,void
aa,"b(com.google.gson.JsonObject arg0, com.google.gson.JsonDeserializationContext arg1)","func_192166_a(com.google.gson.JsonObject arg0, com.google.gson.JsonDeserializationContext arg1)",,,,,method,"b(com.google.gson.JsonObject arg0, com.google.gson.JsonDeserializationContext arg1)",(Lcom/google/gson/JsonObject;Lcom/google/gson/JsonDeserializationContext;)Laa$b;,CriterionTriggerCuredZombieVillager$b
aa,"a(oo arg0, adr arg1, adw arg2)","func_192183_a(EntityPlayerMP arg0, EntityZombie arg1, EntityVillager arg2)",,,,,method,"a(oo arg0, adr arg1, adw arg2)",(Loo;Ladr;Ladw;)V,void
aaa$1,<init>,,,,,,constructor,(),()V,
aaa$1,a(vo arg0),apply(EntityLiving arg0),,,,,method,a(vo arg0),(Lvo;)Z,boolean
aaa,<init>,,,,,,constructor,(arg0),(Lams;)V,public
aaa,"a(ty arg0, vq arg1)","func_180482_a(DifficultyInstance arg0, IEntityLivingData arg1)","prepare(DifficultyDamageScaler arg0, GroupDataEntity arg1)",,,,method,"a(ty arg0, vq arg1)",(Lty;Lvq;)Lvq;,GroupDataEntity
aaa,r(),func_184651_r(),,,,,method,r(),()V,void
aaa,bM(),func_110147_ax(),initAttributes(),,,,method,bM(),()V,void
aaa,b(ams arg0),func_175447_b(World arg0),,,,,method,b(ams arg0),(Lams;)Lzc;,NavigationAbstract
aaa,by(),func_70047_e(),getHeadHeight(),,,,method,by(),()F,float
aaa,n(),func_70636_d(),,,,,method,n(),()V,void
aaa,dx(),func_192001_dv(),,,,,method,dx(),()V,void
aaa,"b(ams arg0, ve arg1)","func_192006_b(World arg0, Entity arg1)",,,,,method,"b(ams arg0, ve arg1)",(Lams;Lve;)Z,boolean
aaa,"a(aeb arg0, tz arg1)","func_184645_a(EntityPlayer arg0, EnumHand arg1)",,,,,method,"a(aeb arg0, tz arg1)",(Laeb;Ltz;)Z,boolean
aaa,e(ain arg0),func_70877_b(ItemStack arg0),,,,,method,e(ain arg0),(Lain;)Z,boolean
aaa,P(),func_70601_bi(),,,,,method,P(),()Z,boolean
aaa,"e(float arg0, float arg1)","func_180430_e(float arg0, float arg1)",,,,,method,"e(float arg0, float arg1)",(FF)V,void
aaa,"a(double arg0, boolean arg1, awr arg2, et arg3)","func_184231_a(double arg0, boolean arg1, IBlockState arg2, BlockPos arg3)",,,,,method,"a(double arg0, boolean arg1, awr arg2, et arg3)",(DZLawr;Let;)V,void
aaa,a(zt arg0),func_70878_b(EntityAnimal arg0),mate(EntityAnimal arg0),,,,method,a(zt arg0),(Lzt;)Z,boolean
aaa,a(vb arg0),func_90011_a(EntityAgeable arg0),createChild(EntityAgeable arg0),,,,method,a(vb arg0),(Lvb;)Lvb;,EntityAgeable
aaa,"a(ams arg0, ve arg1)","func_192005_a(World arg0, Entity arg1)",,,,,method,"a(ams arg0, ve arg1)",(Lams;Lve;)V,void
aaa,B(ve arg0),func_70652_k(Entity arg0),,,,,method,B(ve arg0),(Lve;)Z,boolean
aaa,F(),func_184639_G(),,,,,method,F(),()Lqc;,SoundEffect
aaa,a(Random arg0),func_192003_a(Random arg0),,,,,method,a(Random arg0),(Ljava/util/Random;)Lqc;,SoundEffect
aaa,g(int arg0),func_191999_g(int arg0),,,,,method,g(int arg0),(I)Lqc;,SoundEffect
aaa,d(up arg0),func_184601_bQ(DamageSource arg0),,,,,method,d(up arg0),(Lup;)Lqc;,SoundEffect
aaa,cf(),func_184615_bR(),,,,,method,cf(),()Lqc;,SoundEffect
