混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
aba,net/minecraft/entity/item/EntityEnderCrystal,net/minecraft/server/v1_12_R1/EntityEnderCrystal,,,
abb,net/minecraft/entity/boss/EntityDragon,net/minecraft/server/v1_12_R1/EntityEnderDragon,,,
abd,net/minecraft/entity/boss/dragon/phase/PhaseBase,net/minecraft/server/v1_12_R1/AbstractDragonController,,,
abe,net/minecraft/entity/boss/dragon/phase/PhaseSittingBase,net/minecraft/server/v1_12_R1/AbstractDragonControllerLanded,,,
abf,net/minecraft/entity/boss/dragon/phase/PhaseChargingPlayer,net/minecraft/server/v1_12_R1/DragonControllerCharge,,,
abg,net/minecraft/entity/boss/dragon/phase/PhaseDying,net/minecraft/server/v1_12_R1/DragonControllerDying,,,
abh,net/minecraft/entity/boss/dragon/phase/PhaseHoldingPattern,net/minecraft/server/v1_12_R1/DragonControllerHold,,,
abi,net/minecraft/entity/boss/dragon/phase/PhaseHover,net/minecraft/server/v1_12_R1/DragonControllerHover,,,
abj,net/minecraft/entity/boss/dragon/phase/PhaseLandingApproach,net/minecraft/server/v1_12_R1/DragonControllerLandingFly,,,
abk,net/minecraft/entity/boss/dragon/phase/PhaseLanding,net/minecraft/server/v1_12_R1/DragonControllerLanding,,,
abl,net/minecraft/entity/boss/dragon/phase/IPhase,net/minecraft/server/v1_12_R1/IDragonController,,,
abm,net/minecraft/entity/boss/dragon/phase/PhaseSittingAttacking,net/minecraft/server/v1_12_R1/DragonControllerLandedAttack,,,
abn,net/minecraft/entity/boss/dragon/phase/PhaseSittingFlaming,net/minecraft/server/v1_12_R1/DragonControllerLandedFlame,,,
abo,net/minecraft/entity/boss/dragon/phase/PhaseSittingScanning,net/minecraft/server/v1_12_R1/DragonControllerLandedSearch,,,
abp,net/minecraft/entity/boss/dragon/phase/PhaseStrafePlayer,net/minecraft/server/v1_12_R1/DragonControllerStrafe,,,
abq,net/minecraft/entity/boss/dragon/phase/PhaseTakeoff,net/minecraft/server/v1_12_R1/DragonControllerFly,,,
abr,net/minecraft/entity/boss/dragon/phase/PhaseList,net/minecraft/server/v1_12_R1/DragonControllerPhase,,,
abs,net/minecraft/entity/boss/dragon/phase/PhaseManager,net/minecraft/server/v1_12_R1/DragonControllerManager,,,
abv$1,net/minecraft/entity/boss/EntityWither$1,net/minecraft/server/v1_12_R1/EntityWither$1,,,
abv$a,net/minecraft/entity/boss/EntityWither$AIDoNothing,net/minecraft/server/v1_12_R1/EntityWither$a,,,
abv,net/minecraft/entity/boss/EntityWither,net/minecraft/server/v1_12_R1/EntityWither,,,
abx$1,net/minecraft/entity/item/EntityArmorStand$1,net/minecraft/server/v1_12_R1/EntityArmorStand$1,,,
abx,net/minecraft/entity/item/EntityArmorStand,net/minecraft/server/v1_12_R1/EntityArmorStand,,,
aby$1,net/minecraft/entity/EntityHanging$1,net/minecraft/server/v1_12_R1/EntityHanging$1,,,
aby,net/minecraft/entity/EntityHanging,net/minecraft/server/v1_12_R1/EntityHanging,,,
abz,net/minecraft/entity/item/EntityItemFrame,net/minecraft/server/v1_12_R1/EntityItemFrame,,,
ac,net/minecraft/advancements/critereon/DamageSourcePredicate,net/minecraft/server/v1_12_R1/CriterionConditionDamageSource,,,
aca,net/minecraft/entity/EntityLeashKnot,net/minecraft/server/v1_12_R1/EntityLeash,,,
acb$a,net/minecraft/entity/item/EntityPainting$EnumArt,net/minecraft/server/v1_12_R1/EntityPainting$EnumArt,,,
acb,net/minecraft/entity/item/EntityPainting,net/minecraft/server/v1_12_R1/EntityPainting,,,
acd$a,net/minecraft/entity/projectile/EntityFishHook$State,net/minecraft/server/v1_12_R1/EntityFishingHook$HookState,,,
acd,net/minecraft/entity/projectile/EntityFishHook,net/minecraft/server/v1_12_R1/EntityFishingHook,,,
acf,net/minecraft/entity/effect/EntityWeatherEffect,net/minecraft/server/v1_12_R1/EntityWeather,,,
acg,net/minecraft/entity/effect/EntityLightningBolt,net/minecraft/server/v1_12_R1/EntityLightning,,,
aci,net/minecraft/entity/item/EntityFallingBlock,net/minecraft/server/v1_12_R1/EntityFallingBlock,,,
acj,net/minecraft/entity/item/EntityItem,net/minecraft/server/v1_12_R1/EntityItem,,,
ack,net/minecraft/entity/item/EntityTNTPrimed,net/minecraft/server/v1_12_R1/EntityTNTPrimed,,,
acm,net/minecraft/entity/monster/AbstractIllager,net/minecraft/server/v1_12_R1/EntityIllagerAbstract,,,
