混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/text/TextFormatting,net/minecraft/server/v1_9_R1/EnumChatFormat,,,
aa,net/minecraft/command/server/CommandEmote,net/minecraft/server/v1_9_R1/CommandMe,,,
aaa,net/minecraft/entity/item/EntityEnderPearl,net/minecraft/server/v1_9_R1/EntityEnderPearl,,,
aab,net/minecraft/entity/item/EntityExpBottle,net/minecraft/server/v1_9_R1/EntityThrownExpBottle,,,
aac,net/minecraft/entity/projectile/EntityPotion,net/minecraft/server/v1_9_R1/EntityPotion,,,
aad,net/minecraft/entity/projectile/EntityTippedArrow,net/minecraft/server/v1_9_R1/EntityTippedArrow,,,
aae,net/minecraft/entity/projectile/EntityWitherSkull,net/minecraft/server/v1_9_R1/EntityWitherSkull,,,
aag$a,net/minecraft/entity/item/EntityBoat$Status,net/minecraft/server/v1_9_R1/EntityBoat$EnumStatus,,,
aag$b,net/minecraft/entity/item/EntityBoat$Type,net/minecraft/server/v1_9_R1/EntityBoat$EnumBoatType,,,
aag,net/minecraft/entity/item/EntityBoat,net/minecraft/server/v1_9_R1/EntityBoat,,,
aah$a,net/minecraft/entity/item/EntityMinecart$Type,net/minecraft/server/v1_9_R1/EntityMinecartAbstract$EnumMinecartType,,,
aah,net/minecraft/entity/item/EntityMinecart,net/minecraft/server/v1_9_R1/EntityMinecartAbstract,,,
aai,net/minecraft/entity/item/EntityMinecartChest,net/minecraft/server/v1_9_R1/EntityMinecartChest,,,
aaj$1,net/minecraft/entity/item/EntityMinecartCommandBlock$1,net/minecraft/server/v1_9_R1/EntityMinecartCommandBlock$1,,,
aaj,net/minecraft/entity/item/EntityMinecartCommandBlock,net/minecraft/server/v1_9_R1/EntityMinecartCommandBlock,,,
aak,net/minecraft/entity/item/EntityMinecartContainer,net/minecraft/server/v1_9_R1/EntityMinecartContainer,,,
aal,net/minecraft/entity/item/EntityMinecartFurnace,net/minecraft/server/v1_9_R1/EntityMinecartFurnace,,,
aam,net/minecraft/entity/item/EntityMinecartHopper,net/minecraft/server/v1_9_R1/EntityMinecartHopper,,,
aan,net/minecraft/entity/item/EntityMinecartEmpty,net/minecraft/server/v1_9_R1/EntityMinecartRideable,,,
aao$1,net/minecraft/entity/item/EntityMinecartMobSpawner$1,net/minecraft/server/v1_9_R1/EntityMinecartMobSpawner$1,,,
aao,net/minecraft/entity/item/EntityMinecartMobSpawner,net/minecraft/server/v1_9_R1/EntityMinecartMobSpawner,,,
aap,net/minecraft/entity/item/EntityMinecartTNT,net/minecraft/server/v1_9_R1/EntityMinecartTNT,,,
aas,net/minecraft/util/FoodStats,net/minecraft/server/v1_9_R1/FoodMetaData,,,
aau,net/minecraft/inventory/Container,net/minecraft/server/v1_9_R1/Container,,,
aav,net/minecraft/inventory/AnimalChest,net/minecraft/server/v1_9_R1/InventoryHorseChest,,,
aaw$1,net/minecraft/inventory/ContainerRepair$1,net/minecraft/server/v1_9_R1/ContainerAnvil$1,,,
aaw$2,net/minecraft/inventory/ContainerRepair$2,net/minecraft/server/v1_9_R1/ContainerAnvil$2,,,
aaw,net/minecraft/inventory/ContainerRepair,net/minecraft/server/v1_9_R1/ContainerAnvil,,,
aax$a,net/minecraft/inventory/ContainerBeacon$BeaconSlot,net/minecraft/server/v1_9_R1/ContainerBeacon$SlotBeacon,,,
aax,net/minecraft/inventory/ContainerBeacon,net/minecraft/server/v1_9_R1/ContainerBeacon,,,
