owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
a,a,field_195895_a,,values,components,field_5656,field,private final float[]
aa,a,TASK,TASK,TASK,TASK,field_1254,enum,
aa,b,CHALLENGE,CHALLENGE,CHALLENGE,CHALLENGE,field_1250,enum,
aa,c,GOAL,GOAL,GOAL,GOAL,field_1249,enum,
aa,d,field_192313_d,,name,id,field_1251,field,private final String
aa,e,field_192314_e,,texture,texV,field_1252,field,private final int
aa,f,field_193230_f,,chatColor,titleFormat,field_1255,field,private final ChatFormatting
aaa$1,b,field_212758_b,,index,pos,field_15747,field,private int
aaa,a,field_212762_a,,cache,collectedElements,field_15745,field,private final List<T>
aaa,b,field_219809_b,,source,source,field_15746,field,private final Spliterator<T>
aae,a,field_76339_a,,STRIP_COLOR_PATTERN,PATTERN,field_15771,field,private static final Pattern
aaf,a,a,,a,,field_15772,field,private A
aaf,b,b,,b,,field_15773,field,private B
aag,a,INSTANCE,INSTANCE,INSTANCE,INSTANCE,field_17274,enum,
aai$a,a,field_76292_a,,weight,weight,field_15774,field,protected final int
aaj,a,LEVEL,LEVEL,LEVEL,LEVEL,field_19212,enum,
aaj,b,PLAYER,PLAYER,PLAYER,PLAYER,field_19213,enum,
aaj,c,CHUNK,CHUNK,CHUNK,CHUNK,field_19214,enum,
aaj,d,HOTBAR,HOTBAR,HOTBAR,HOTBAR,field_19215,enum,
aaj,e,OPTIONS,OPTIONS,OPTIONS,OPTIONS,field_19216,enum,
aaj,f,STRUCTURE,STRUCTURE,STRUCTURE,STRUCTURE,field_19217,enum,
aaj,g,STATS,STATS,STATS,STATS,field_19218,enum,
aaj,h,SAVED_DATA,SAVED_DATA,SAVED_DATA,SAVED_DATA,field_19219,enum,
aaj,i,ADVANCEMENTS,ADVANCEMENTS,ADVANCEMENTS,ADVANCEMENTS,field_19220,enum,
aaj,j,POI_CHUNK,POI_CHUNK,POI_CHUNK,POI_CHUNK,field_19221,enum,
aaj,k,field_219817_k,,type,typeReference,field_19222,field,private final com.mojang.datafixers.DSL$TypeReference
