混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/text/TextFormatting,net/minecraft/server/v1_9_R2/EnumChatFormat,,,
aa,net/minecraft/command/CommandEffect,net/minecraft/server/v1_9_R2/CommandEffect,,,
aaa,net/minecraft/entity/item/EntityEnderPearl,net/minecraft/server/v1_9_R2/EntityEnderPearl,,,
aab,net/minecraft/entity/item/EntityExpBottle,net/minecraft/server/v1_9_R2/EntityThrownExpBottle,,,
aac,net/minecraft/entity/projectile/EntityPotion,net/minecraft/server/v1_9_R2/EntityPotion,,,
aad,net/minecraft/entity/projectile/EntityTippedArrow,net/minecraft/server/v1_9_R2/EntityTippedArrow,,,
aae,net/minecraft/entity/projectile/EntityWitherSkull,net/minecraft/server/v1_9_R2/EntityWitherSkull,,,
aag$a,net/minecraft/entity/item/EntityBoat$Status,net/minecraft/server/v1_9_R2/EntityBoat$EnumStatus,,,
aag$b,net/minecraft/entity/item/EntityBoat$Type,net/minecraft/server/v1_9_R2/EntityBoat$EnumBoatType,,,
aag,net/minecraft/entity/item/EntityBoat,net/minecraft/server/v1_9_R2/EntityBoat,,,
aah$a,net/minecraft/entity/item/EntityMinecart$Type,net/minecraft/server/v1_9_R2/EntityMinecartAbstract$EnumMinecartType,,,
aah,net/minecraft/entity/item/EntityMinecart,net/minecraft/server/v1_9_R2/EntityMinecartAbstract,,,
aai,net/minecraft/entity/item/EntityMinecartChest,net/minecraft/server/v1_9_R2/EntityMinecartChest,,,
aaj$1,net/minecraft/entity/item/EntityMinecartCommandBlock$1,net/minecraft/server/v1_9_R2/EntityMinecartCommandBlock$1,,,
aaj,net/minecraft/entity/item/EntityMinecartCommandBlock,net/minecraft/server/v1_9_R2/EntityMinecartCommandBlock,,,
aak,net/minecraft/entity/item/EntityMinecartContainer,net/minecraft/server/v1_9_R2/EntityMinecartContainer,,,
aal,net/minecraft/entity/item/EntityMinecartFurnace,net/minecraft/server/v1_9_R2/EntityMinecartFurnace,,,
aam,net/minecraft/entity/item/EntityMinecartHopper,net/minecraft/server/v1_9_R2/EntityMinecartHopper,,,
aan,net/minecraft/entity/item/EntityMinecartEmpty,net/minecraft/server/v1_9_R2/EntityMinecartRideable,,,
aao$1,net/minecraft/entity/item/EntityMinecartMobSpawner$1,net/minecraft/server/v1_9_R2/EntityMinecartMobSpawner$1,,,
aao,net/minecraft/entity/item/EntityMinecartMobSpawner,net/minecraft/server/v1_9_R2/EntityMinecartMobSpawner,,,
aap,net/minecraft/entity/item/EntityMinecartTNT,net/minecraft/server/v1_9_R2/EntityMinecartTNT,,,
aas,net/minecraft/util/FoodStats,net/minecraft/server/v1_9_R2/FoodMetaData,,,
aau,net/minecraft/inventory/Container,net/minecraft/server/v1_9_R2/Container,,,
aav,net/minecraft/inventory/AnimalChest,net/minecraft/server/v1_9_R2/InventoryHorseChest,,,
aaw$1,net/minecraft/inventory/ContainerRepair$1,net/minecraft/server/v1_9_R2/ContainerAnvil$1,,,
aaw$2,net/minecraft/inventory/ContainerRepair$2,net/minecraft/server/v1_9_R2/ContainerAnvil$2,,,
aaw,net/minecraft/inventory/ContainerRepair,net/minecraft/server/v1_9_R2/ContainerAnvil,,,
aax$a,net/minecraft/inventory/ContainerBeacon$BeaconSlot,net/minecraft/server/v1_9_R2/ContainerBeacon$SlotBeacon,,,
aax,net/minecraft/inventory/ContainerBeacon,net/minecraft/server/v1_9_R2/ContainerBeacon,,,
aay$a,net/minecraft/inventory/ContainerBrewingStand$Fuel,net/minecraft/server/v1_9_R2/ContainerBrewingStand$a,,,
aay$b,net/minecraft/inventory/ContainerBrewingStand$Ingredient,net/minecraft/server/v1_9_R2/ContainerBrewingStand$SlotBrewing,,,
aay$c,net/minecraft/inventory/ContainerBrewingStand$Potion,net/minecraft/server/v1_9_R2/ContainerBrewingStand$SlotPotionBottle,,,
aay,net/minecraft/inventory/ContainerBrewingStand,net/minecraft/server/v1_9_R2/ContainerBrewingStand,,,
aaz,net/minecraft/inventory/ClickType,net/minecraft/server/v1_9_R2/InventoryClickType,,,
ab,net/minecraft/command/server/CommandEmote,net/minecraft/server/v1_9_R2/CommandMe,,,
aba,net/minecraft/inventory/IContainerListener,net/minecraft/server/v1_9_R2/ICrafting,,,
abb,net/minecraft/inventory/ContainerChest,net/minecraft/server/v1_9_R2/ContainerChest,,,
abc,net/minecraft/inventory/InventoryCrafting,net/minecraft/server/v1_9_R2/InventoryCrafting,,,
abd,net/minecraft/inventory/ContainerWorkbench,net/minecraft/server/v1_9_R2/ContainerWorkbench,,,
