owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
a,a,BLACK,BLACK,,,,enum,
a,b,DARK_BLUE,DARK_BLUE,,,,enum,
a,c,DARK_GREEN,DARK_GREEN,,,,enum,
a,d,DARK_AQUA,DARK_AQUA,,,,enum,
a,e,DARK_RED,DARK_RED,,,,enum,
a,f,DARK_PURPLE,DARK_PURPLE,,,,enum,
a,g,GOLD,GOLD,,,,enum,
a,h,GRAY,GRAY,,,,enum,
a,i,DARK_GRAY,DARK_GRAY,,,,enum,
a,j,BLUE,BLUE,,,,enum,
a,k,GREEN,GREEN,,,,enum,
a,l,AQUA,AQUA,,,,enum,
a,m,RED,RED,,,,enum,
a,n,LIGHT_PURPLE,LIGHT_PURPLE,,,,enum,
a,o,YELLOW,YELLOW,,,,enum,
a,p,WHITE,WHITE,,,,enum,
a,q,OBFUSCATED,OBFUSCATED,,,,enum,
a,r,BOLD,BOLD,,,,enum,
a,s,STRIKETHROUGH,STRIKETHROUGH,,,,enum,
a,t,UNDERLINE,UNDERLINE,,,,enum,
a,u,ITALIC,ITALIC,,,,enum,
a,v,RESET,RESET,,,,enum,
a,w,field_96331_x,,,,,field,"private static final Map<String, EnumChatFormat>"
a,x,field_96330_y,,,,,field,private static final Pattern
a,y,field_175748_y,,,,,field,private final String
a,z,field_96329_z,,,,,field,private final char
a,A,field_96303_A,,,,,field,private final boolean
a,B,field_96304_B,,,,,field,private final String
a,C,field_175747_C,,,,,field,private final int
aaa,d,field_181555_c,,,,,field,private EntityLiving
aac,d,field_184545_d,,,,,field,private static final DataWatcherObject<com.google.common.base.Optional<ItemStack>>
aac,e,field_184546_e,,,,,field,private static final org.apache.logging.log4j.Logger
aad,f,field_184559_f,,,,,field,private static final DataWatcherObject<Integer>
aad,g,field_184560_g,,,,,field,private PotionRegistry
aad,h,field_184561_h,,,,,field,private final Set<MobEffect>
aae,e,field_184565_e,,,,,field,private static final DataWatcherObject<Boolean>
aag$a,a,IN_WATER,IN_WATER,,,,enum,
aag$a,b,UNDER_WATER,UNDER_WATER,,,,enum,
aag$a,c,UNDER_FLOWING_WATER,UNDER_FLOWING_WATER,,,,enum,
aag$a,d,ON_LAND,ON_LAND,,,,enum,
aag$a,e,IN_AIR,IN_AIR,,,,enum,
aag$b,a,OAK,OAK,,,,enum,
aag$b,b,SPRUCE,SPRUCE,,,,enum,
aag$b,c,BIRCH,BIRCH,,,,enum,
aag$b,d,JUNGLE,JUNGLE,,,,enum,
aag$b,e,ACACIA,ACACIA,,,,enum,
aag$b,f,DARK_OAK,DARK_OAK,,,,enum,
aag$b,g,field_184990_g,,,,,field,private final String
aag$b,h,field_184991_h,,,,,field,private final int
aag,a,field_184460_a,,,,,field,private static final DataWatcherObject<Integer>
aag,b,field_184462_b,,,,,field,private static final DataWatcherObject<Integer>
aag,c,field_184464_c,,,,,field,private static final DataWatcherObject<Float>
aag,d,field_184466_d,,,,,field,private static final DataWatcherObject<Integer>
aag,e,field_184468_e,,,,,field,private static final DataWatcherObject<Boolean>[]
aag,f,field_184470_f,,,,,field,private float[]
aag,g,field_184472_g,,,,,field,private float
aag,h,field_184474_h,,,,,field,private float
aag,at,field_184475_as,,,,,field,private float
aag,au,field_184476_at,,,,,field,private int
aag,av,field_70281_h,,,,,field,private double
aag,aw,field_184477_av,,,,,field,private double
aag,ax,field_184478_aw,,,,,field,private double
aag,ay,field_70273_g,,,,,field,private double
aag,az,field_184479_ay,,,,,field,private double
aag,aA,field_184480_az,,,,,field,private boolean
aag,aB,field_184459_aA,,,,,field,private boolean
aag,aC,field_184461_aB,,,,,field,private boolean
aag,aD,field_184463_aC,,,,,field,private boolean
aag,aE,field_184465_aD,,,,,field,private double
aag,aF,field_184467_aE,,,,,field,private float
aag,aG,field_184469_aF,,,,,field,private EntityBoat$EnumStatus
aag,aH,field_184471_aG,,,,,field,private EntityBoat$EnumStatus
aag,aI,field_184473_aH,,,,,field,private double
aah$a,a,RIDEABLE,RIDEABLE,,,,enum,
aah$a,b,CHEST,CHEST,,,,enum,
aah$a,c,FURNACE,FURNACE,,,,enum,
aah$a,d,TNT,TNT,,,,enum,
aah$a,e,SPAWNER,SPAWNER,,,,enum,
aah$a,f,HOPPER,HOPPER,,,,enum,
aah$a,g,COMMAND_BLOCK,COMMAND_BLOCK,,,,enum,
aah$a,h,field_184965_h,,,,,field,"private static final Map<Integer, EntityMinecartAbstract$EnumMinecartType>"
aah$a,i,field_184966_i,,,,,field,private final int
aah$a,j,field_184967_j,,,,,field,private final String
aah,a,field_184265_a,,,,,field,private static final DataWatcherObject<Integer>
aah,b,field_184266_b,,,,,field,private static final DataWatcherObject<Integer>
aah,c,field_184267_c,,,,,field,private static final DataWatcherObject<Float>
aah,d,field_184268_d,,,,,field,private static final DataWatcherObject<Integer>
aah,e,field_184269_e,,,,,field,private static final DataWatcherObject<Integer>
aah,f,field_184270_f,,,,,field,private static final DataWatcherObject<Boolean>
aah,g,field_70499_f,,,,,field,private boolean
aah,h,field_70500_g,,,,,field,private static final int[][][]
