混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
s,net/minecraft/src/C_5018_,net/minecraft/DefaultUncaughtExceptionHandler,net/minecraft/DefaultUncaughtExceptionHandler,net/minecraft/util/logging/UncaughtExceptionLogger,net/minecraft/class_140
y,net/minecraft/src/C_268411_,net/minecraft/Optionull,net/minecraft/Optionull,net/minecraft/util/Nullables,net/minecraft/class_8144
mt,net/minecraft/src/C_4765_,net/minecraft/data/DebugReportProvider,net/minecraft/data/DataProvider,net/minecraft/data/DataProvider,net/minecraft/class_2405
mr,net/minecraft/src/C_213475_,net/minecraft/data/CachedOutput,net/minecraft/data/CachedOutput,net/minecraft/data/DataWriter,net/minecraft/class_7403
mv$b,net/minecraft/src/C_243603_$C_243456_,net/minecraft/data/PackOutput$b,net/minecraft/data/PackOutput$Target,net/minecraft/data/DataOutput$OutputType,net/minecraft/class_7784$class_7490
mp,net/minecraft/src/C_141795_,,net/minecraft/data/BlockFamilies,net/minecraft/data/family/BlockFamilies,net/minecraft/class_5793
oh,net/minecraft/src/C_243612_,,net/minecraft/data/metadata/PackMetadataGenerator,net/minecraft/data/MetadataProvider,net/minecraft/class_7796
po,net/minecraft/src/C_313847_,,net/minecraft/data/tags/EnchantmentTagsProvider,net/minecraft/data/tag/EnchantmentTagProvider,net/minecraft/class_9674
qa,net/minecraft/src/C_4851_,,net/minecraft/data/tags/TagsProvider,net/minecraft/data/tag/TagProvider,net/minecraft/class_2474
pq,net/minecraft/src/C_213483_,,net/minecraft/data/tags/FlatLevelGeneratorPresetTagsProvider,net/minecraft/data/tag/vanilla/VanillaFlatLevelGeneratorPresetTagProvider,net/minecraft/class_7229
pl,net/minecraft/src/C_398243_,,net/minecraft/data/tags/BlockItemTagsProvider,net/minecraft/data/tag/vanilla/VanillaBlockItemTags,net/minecraft/class_11387
qc,net/minecraft/src/C_243475_,,net/minecraft/data/tags/VanillaBlockTagsProvider,net/minecraft/data/tag/vanilla/VanillaBlockTagProvider,net/minecraft/class_2466
pr,net/minecraft/src/C_4849_,,net/minecraft/data/tags/FluidTagsProvider,net/minecraft/data/tag/vanilla/VanillaFluidTagProvider,net/minecraft/class_2469
pn,net/minecraft/src/C_398615_,,net/minecraft/data/tags/DialogTagsProvider,net/minecraft/data/tag/vanilla/VanillaDialogTagProvider,net/minecraft/class_11505
pz$2,net/minecraft/src/C_398244_$C_398249_,,net/minecraft/data/tags/TagAppender$2,net/minecraft/data/tag/ProvidedTagBuilder$2,net/minecraft/class_11389$2
