混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/EnumChatFormatting,,,,
aa,net/minecraft/command/server/CommandEmote,,,,
aaa,net/minecraft/item/ItemLeaves,,,,
aab,net/minecraft/item/ItemMap,,,,
aac,net/minecraft/item/ItemBucketMilk,,,,
aad,net/minecraft/item/ItemMinecart,,,,
aad$1,net/minecraft/item/ItemMinecart$1,,,,
aae,net/minecraft/item/ItemMultiTexture,,,,
aae$1,net/minecraft/item/ItemMultiTexture$1,,,,
aaf,net/minecraft/item/ItemNameTag,,,,
aag,net/minecraft/item/ItemPickaxe,,,,
aah,net/minecraft/item/ItemPiston,,,,
aai,net/minecraft/item/ItemPotion,,,,
aaj,net/minecraft/item/EnumRarity,,,,
aak,net/minecraft/item/ItemRecord,,,,
aal,net/minecraft/item/ItemRedstone,,,,
aam,net/minecraft/item/ItemSaddle,,,,
aan,net/minecraft/item/ItemSeedFood,,,,
aao,net/minecraft/item/ItemSeeds,,,,
aap,net/minecraft/item/ItemShears,,,,
aaq,net/minecraft/item/ItemSpade,,,,
aar,net/minecraft/item/ItemSign,,,,
aas,net/minecraft/item/ItemSimpleFoiled,,,,
aat,net/minecraft/item/ItemSkull,,,,
aau,net/minecraft/item/ItemSlab,,,,
aav,net/minecraft/item/ItemSnow,,,,
aaw,net/minecraft/item/ItemSnowball,,,,
aax,net/minecraft/item/ItemMonsterPlacer,,,,
aay,net/minecraft/item/ItemSword,,,,
aaz,net/minecraft/item/ItemColored,,,,
ab,net/minecraft/command/CommandEnchant,,,,
aba,net/minecraft/item/EnumAction,,,,
abb,net/minecraft/item/ItemLilyPad,,,,
abc,net/minecraft/item/ItemWritableBook,,,,
abd,net/minecraft/item/ItemEditableBook,,,,
abe,net/minecraft/potion/PotionHelper,,,,
abh,net/minecraft/item/crafting/RecipesArmorDyes,,,,
abi,net/minecraft/item/crafting/RecipesArmor,,,,
abj,net/minecraft/item/crafting/RecipesBanners,,,,
abj$1,net/minecraft/item/crafting/RecipesBanners$1,,,,
abj$a,net/minecraft/item/crafting/RecipesBanners$RecipeAddPattern,,,,
