owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
a,a,field_195895_a,,,,field_5656,field,private final float[]
aa,a,TASK,TASK,,,field_1254,enum,
aa,b,CHALLENGE,CHALLENGE,,,field_1250,enum,
aa,c,GOAL,GOAL,,,field_1249,enum,
aa,d,field_192313_d,,,,field_1251,field,private final String
aa,e,field_192314_e,,,,field_1252,field,private final int
aa,f,field_193230_f,,,,field_1255,field,private final EnumChatFormat
aaa,a,INSTANCE,INSTANCE,,,field_17274,enum,
aac$a,a,field_76292_a,,,,field_15774,field,protected final int
aad,a,LEVEL,LEVEL,,,field_19212,enum,
aad,b,PLAYER,PLAYER,,,field_19213,enum,
aad,c,CHUNK,CHUNK,,,field_19214,enum,
aad,d,HOTBAR,HOTBAR,,,field_19215,enum,
aad,e,OPTIONS,OPTIONS,,,field_19216,enum,
aad,f,STRUCTURE,STRUCTURE,,,field_19217,enum,
aad,g,STATS,STATS,,,field_19218,enum,
aad,h,SAVED_DATA,SAVED_DATA,,,field_19219,enum,
aad,i,ADVANCEMENTS,ADVANCEMENTS,,,field_19220,enum,
aad,j,POI_CHUNK,POI_CHUNK,,,field_19221,enum,
aad,k,field_219817_k,,,,field_19222,field,private final com.mojang.datafixers.DSL$TypeReference
aae,a,field_207592_e,,,,field_15776,field,"private static final BiFunction<Integer, com.mojang.datafixers.schemas.Schema, com.mojang.datafixers.schemas.Schema>"
aae,b,field_207593_f,,,,field_15775,field,"private static final BiFunction<Integer, com.mojang.datafixers.schemas.Schema, com.mojang.datafixers.schemas.Schema>"
aae,c,field_210902_d,,,,field_15777,field,private static final com.mojang.datafixers.DataFixer
aah,a,field_206292_a,,,,field_15779,field,private final String
aah,b,field_206293_b,,,,field_15780,field,private final com.mojang.datafixers.DSL$TypeReference
aai,a,field_209693_a,,,,field_15788,field,"private static final Map<String, String>"
aal,a,field_210919_a,,,,field_15810,field,"public static final Map<String, String>"
aap,a,field_191275_a,,,,field_15824,field,"private static final Map<String, String>"
aat,a,field_188225_a,,,,field_15827,field,public static final com.google.gson.Gson
aav,a,field_206310_a,,,,field_15828,field,private final String
aaw,a,field_199199_a,,,,field_15832,field,private static final org.apache.logging.log4j.Logger
aaw,b,field_199200_b,,,,field_15830,field,private static final com.mojang.datafixers.Dynamic<?>[]
aaw,c,field_199201_c,,,,field_15831,field,private static final it.unimi.dsi.fastutil.objects.Object2IntMap<com.mojang.datafixers.Dynamic<?>>
aaw,d,field_199202_d,,,,field_15833,field,private static final it.unimi.dsi.fastutil.objects.Object2IntMap<String>
ab,a,AND,AND,,,field_16882,field,AdvancementRequirements
ab,b,OR,OR,,,field_1257,field,AdvancementRequirements
aba$a,a,field_210935_a,,,,field_15855,field,private final byte[]
aba$b$a,a,X,X,,,field_15869,enum,
aba$b$a,b,Y,Y,,,field_15866,enum,
aba$b$a,c,Z,Z,,,field_15867,enum,
aba$b$b,a,POSITIVE,POSITIVE,,,field_15873,enum,
aba$b$b,b,NEGATIVE,NEGATIVE,,,field_15870,enum,
aba$b$b,c,field_210938_c,,,,field_15872,field,private final int
aba$b,a,DOWN,DOWN,,,field_15858,enum,
aba$b,b,UP,UP,,,field_15863,enum,
aba$b,c,NORTH,NORTH,,,field_15859,enum,
aba$b,d,SOUTH,SOUTH,,,field_15862,enum,
aba$b,e,WEST,WEST,,,field_15857,enum,
aba$b,f,EAST,EAST,,,field_15860,enum,
aba$b,g,field_210941_g,,,,field_15864,field,private final ChunkConverterPalette$Direction$Axis
aba$b,h,field_210942_h,,,,field_15861,field,private final ChunkConverterPalette$Direction$AxisDirection
aba$c,b,field_199210_a,,,,field_15882,field,private final RegistryID<com.mojang.datafixers.Dynamic<?>>
aba$c,c,field_199211_b,,,,field_15880,field,private com.mojang.datafixers.Dynamic<?>
aba$c,d,field_199213_d,,,,field_15878,field,private final com.mojang.datafixers.Dynamic<?>
aba$c,e,field_199214_e,,,,field_15876,field,private final boolean
aba$c,f,field_199215_f,,,,field_15881,field,private final it.unimi.dsi.fastutil.ints.Int2ObjectMap<it.unimi.dsi.fastutil.ints.IntList>
aba$c,g,field_199216_g,,,,field_15874,field,private final it.unimi.dsi.fastutil.ints.IntList
aba$c,a,field_199212_c,,,,field_15879,field,public final int
aba$c,h,field_199217_h,,,,field_15875,field,private final Set<com.mojang.datafixers.Dynamic<?>>
aba$c,i,field_199218_i,,,,field_15877,field,private final int[]
aba$d,a,field_199227_a,,,,field_15885,field,private int
aba$d,b,field_199228_b,,,,field_15888,field,private final ChunkConverterPalette$c[]
aba$d,c,field_199229_c,,,,field_15886,field,private final com.mojang.datafixers.Dynamic<?>
