owner_obf,member_obf,signature,kind,param_index,namespace,name
bvo,c,c(int arg0),method,0,混淆的,arg0
bvo,c,c(int arg0),method,0,Searge,arg0
bvo,d,d(int arg0),method,0,混淆的,arg0
bvo,d,d(int arg0),method,0,Searge,arg0
bvp,<init>,"(arg0, arg1, arg2, arg3)",constructor,0,混淆的,arg0
bvp,<init>,"(arg0, arg1, arg2, arg3)",constructor,1,混淆的,arg1
bvp,<init>,"(arg0, arg1, arg2, arg3)",constructor,2,混淆的,arg2
bvp,<init>,"(arg0, arg1, arg2, arg3)",constructor,3,混淆的,arg3
bvp,a,"a(int arg0, bvp$b arg1)",method,0,混淆的,arg0
bvp,a,"a(int arg0, bvp$b arg1)",method,1,混淆的,arg1
bvp,a,"a(int arg0, bvp$b arg1)",method,0,Searge,arg0
bvp,a,"a(int arg0, bvp$b arg1)",method,1,Searge,arg1
bnv$a,<init>,"(arg0, arg1, arg2)",constructor,0,混淆的,arg0
bnv$a,<init>,"(arg0, arg1, arg2)",constructor,1,混淆的,arg1
bnv$a,<init>,"(arg0, arg1, arg2)",constructor,2,混淆的,arg2
bnv$a,a,"a(String arg0, List<apt$a> arg1, List<act> arg2)",method,0,混淆的,arg0
bnv$a,a,"a(String arg0, List<apt$a> arg1, List<act> arg2)",method,1,混淆的,arg1
bnv$a,a,"a(String arg0, List<apt$a> arg1, List<act> arg2)",method,2,混淆的,arg2
bnv$a,a,"a(String arg0, List<apt$a> arg1, List<act> arg2)",method,0,Searge,arg0
bnv$a,a,"a(String arg0, List<apt$a> arg1, List<act> arg2)",method,1,Searge,arg1
bnv$a,a,"a(String arg0, List<apt$a> arg1, List<act> arg2)",method,2,Searge,arg2
bpx$1,<init>,"(arg0, arg1)",constructor,0,混淆的,arg0
bpx$1,<init>,"(arg0, arg1)",constructor,1,混淆的,arg1
bpx$3,<init>,"(arg0, arg1, arg2, arg3, arg4, arg5)",constructor,0,混淆的,arg0
bpx$3,<init>,"(arg0, arg1, arg2, arg3, arg4, arg5)",constructor,1,混淆的,arg1
