owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
g,a,R0,,R0,R0,field_57029,enum,
g,b,R90,,R90,R90,field_57030,enum,
g,c,R180,,R180,R180,field_57031,enum,
g,d,R270,,R270,R270,field_57032,enum,
g,e,f_382336_,,CODEC,CODEC,field_57033,field,public static final com.mojang.serialization.Codec<Quadrant>
g,f,f_380625_,,shift,index,field_57034,field,public final int
g,g,f_437247_,,rotationX,field_64521,field_64521,field,public final OctahedralGroup
g,h,f_436968_,,rotationY,field_64522,field_64522,field,public final OctahedralGroup
g,i,f_435724_,,rotationZ,field_64523,field_64523,field,public final OctahedralGroup
h,a,P123,,P123,P123,field_23362,enum,
h,b,P213,,P213,P213,field_23363,enum,
h,c,P132,,P132,P132,field_23364,enum,
h,d,P312,,P312,P312,field_23366,enum,
h,e,P231,,P231,P231,field_23365,enum,
h,f,P321,,P321,P321,field_23367,enum,
h,g,f_435094_,,p0,xMapping,field_63625,field,private final int
h,h,f_436109_,,p1,yMapping,field_63626,field,private final int
h,i,f_435012_,,p2,zMapping,field_63627,field,private final int
h,j,f_109169_,,transformation,matrix,field_23369,field,private final org.joml.Matrix3fc
h,k,f_381002_,,CAYLEY_TABLE,COMBINATIONS,field_57036,field,private static final SymmetricGroup3[][]
h,l,f_433627_,,INVERSE_TABLE,INVERSE,field_63628,field,private static final SymmetricGroup3[]
c,a,f_252516_,,denominator,divisor,field_40738,field,private final int
c,b,f_252539_,,quotient,quotient,field_40739,field,private final int
c,c,f_252455_,,mod,mod,field_40740,field,private final int
c,d,f_252404_,,returnedParts,returnedCount,field_40741,field,private int
c,e,f_252437_,,remainder,remainder,field_40742,field,private int
e,a,f_252537_,,G,COT_PI_OVER_8,field_40746,field,private static final float
e,b,f_276163_,,PI_4,SIN_COS_PI_OVER_8,field_43146,field,private static final GivensParameters
f,a,IDENTITY,,IDENTITY,IDENTITY,field_23292,enum,
f,b,ROT_180_FACE_XY,,ROT_180_FACE_XY,ROT_180_FACE_XY,field_23299,enum,
f,c,ROT_180_FACE_XZ,,ROT_180_FACE_XZ,ROT_180_FACE_XZ,field_23300,enum,
f,d,ROT_180_FACE_YZ,,ROT_180_FACE_YZ,ROT_180_FACE_YZ,field_23301,enum,
f,e,ROT_120_NNN,,ROT_120_NNN,ROT_120_NNN,field_23302,enum,
f,f,ROT_120_NNP,,ROT_120_NNP,ROT_120_NNP,field_23303,enum,
f,g,ROT_120_NPN,,ROT_120_NPN,ROT_120_NPN,field_23304,enum,
f,h,ROT_120_NPP,,ROT_120_NPP,ROT_120_NPP,field_23305,enum,
f,i,ROT_120_PNN,,ROT_120_PNN,ROT_120_PNN,field_23306,enum,
f,j,ROT_120_PNP,,ROT_120_PNP,ROT_120_PNP,field_23307,enum,
f,k,ROT_120_PPN,,ROT_120_PPN,ROT_120_PPN,field_23308,enum,
f,l,ROT_120_PPP,,ROT_120_PPP,ROT_120_PPP,field_23309,enum,
f,m,ROT_180_EDGE_XY_NEG,,ROT_180_EDGE_XY_NEG,ROT_180_EDGE_XY_NEG,field_23310,enum,
f,n,ROT_180_EDGE_XY_POS,,ROT_180_EDGE_XY_POS,ROT_180_EDGE_XY_POS,field_23311,enum,
f,o,ROT_180_EDGE_XZ_NEG,,ROT_180_EDGE_XZ_NEG,ROT_180_EDGE_XZ_NEG,field_23312,enum,
f,p,ROT_180_EDGE_XZ_POS,,ROT_180_EDGE_XZ_POS,ROT_180_EDGE_XZ_POS,field_23313,enum,
f,q,ROT_180_EDGE_YZ_NEG,,ROT_180_EDGE_YZ_NEG,ROT_180_EDGE_YZ_NEG,field_23314,enum,
f,r,ROT_180_EDGE_YZ_POS,,ROT_180_EDGE_YZ_POS,ROT_180_EDGE_YZ_POS,field_23315,enum,
f,s,ROT_90_X_NEG,,ROT_90_X_NEG,ROT_90_X_NEG,field_23316,enum,
f,t,ROT_90_X_POS,,ROT_90_X_POS,ROT_90_X_POS,field_23317,enum,
f,u,ROT_90_Y_NEG,,ROT_90_Y_NEG,ROT_90_Y_NEG,field_23318,enum,
f,v,ROT_90_Y_POS,,ROT_90_Y_POS,ROT_90_Y_POS,field_23319,enum,
f,w,ROT_90_Z_NEG,,ROT_90_Z_NEG,ROT_90_Z_NEG,field_23320,enum,
f,x,ROT_90_Z_POS,,ROT_90_Z_POS,ROT_90_Z_POS,field_23321,enum,
f,y,INVERSION,,INVERSION,INVERSION,field_23322,enum,
f,z,INVERT_X,,INVERT_X,INVERT_X,field_23323,enum,
f,A,INVERT_Y,,INVERT_Y,INVERT_Y,field_23266,enum,
f,B,INVERT_Z,,INVERT_Z,INVERT_Z,field_23267,enum,
f,C,ROT_60_REF_NNN,,ROT_60_REF_NNN,ROT_60_REF_NNN,field_23268,enum,
f,D,ROT_60_REF_NNP,,ROT_60_REF_NNP,ROT_60_REF_NNP,field_23269,enum,
f,E,ROT_60_REF_NPN,,ROT_60_REF_NPN,ROT_60_REF_NPN,field_23270,enum,
f,F,ROT_60_REF_NPP,,ROT_60_REF_NPP,ROT_60_REF_NPP,field_23271,enum,
f,G,ROT_60_REF_PNN,,ROT_60_REF_PNN,ROT_60_REF_PNN,field_23272,enum,
f,H,ROT_60_REF_PNP,,ROT_60_REF_PNP,ROT_60_REF_PNP,field_23273,enum,
f,I,ROT_60_REF_PPN,,ROT_60_REF_PPN,ROT_60_REF_PPN,field_23274,enum,
f,J,ROT_60_REF_PPP,,ROT_60_REF_PPP,ROT_60_REF_PPP,field_23275,enum,
f,K,SWAP_XY,,SWAP_XY,SWAP_XY,field_23276,enum,
f,L,SWAP_YZ,,SWAP_YZ,SWAP_YZ,field_23277,enum,
f,M,SWAP_XZ,,SWAP_XZ,SWAP_XZ,field_23278,enum,
f,N,SWAP_NEG_XY,,SWAP_NEG_XY,SWAP_NEG_XY,field_23279,enum,
f,O,SWAP_NEG_YZ,,SWAP_NEG_YZ,SWAP_NEG_YZ,field_23280,enum,
f,P,SWAP_NEG_XZ,,SWAP_NEG_XZ,SWAP_NEG_XZ,field_23281,enum,
f,Q,ROT_90_REF_X_NEG,,ROT_90_REF_X_NEG,ROT_90_REF_X_NEG,field_23282,enum,
f,R,ROT_90_REF_X_POS,,ROT_90_REF_X_POS,ROT_90_REF_X_POS,field_23283,enum,
f,S,ROT_90_REF_Y_NEG,,ROT_90_REF_Y_NEG,ROT_90_REF_Y_NEG,field_23284,enum,
f,T,ROT_90_REF_Y_POS,,ROT_90_REF_Y_POS,ROT_90_REF_Y_POS,field_23285,enum,
f,U,ROT_90_REF_Z_NEG,,ROT_90_REF_Z_NEG,ROT_90_REF_Z_NEG,field_23286,enum,
f,V,ROT_90_REF_Z_POS,,ROT_90_REF_Z_POS,ROT_90_REF_Z_POS,field_23287,enum,
f,W,f_435573_,,BLOCK_ROT_X_270,field_64506,field_64506,field,public static final OctahedralGroup
f,X,f_435727_,,BLOCK_ROT_X_180,field_64507,field_64507,field,public static final OctahedralGroup
f,Y,f_434990_,,BLOCK_ROT_X_90,field_64508,field_64508,field,public static final OctahedralGroup
f,Z,f_434760_,,BLOCK_ROT_Y_270,field_64509,field_64509,field,public static final OctahedralGroup
f,aa,f_433121_,,BLOCK_ROT_Y_180,field_64510,field_64510,field,public static final OctahedralGroup
f,ab,f_435257_,,BLOCK_ROT_Y_90,field_64511,field_64511,field,public static final OctahedralGroup
f,ac,f_437096_,,BLOCK_ROT_Z_270,field_64512,field_64512,field,public static final OctahedralGroup
f,ad,f_435474_,,BLOCK_ROT_Z_180,field_64513,field_64513,field,public static final OctahedralGroup
f,ae,f_434646_,,BLOCK_ROT_Z_90,field_64514,field_64514,field,public static final OctahedralGroup
f,ag,f_56473_,,transformation,matrix,field_23288,field,private final org.joml.Matrix3fc
f,ah,f_56474_,,name,name,field_23289,field,private final String
f,ai,f_56475_,,rotatedDirections,mappings,field_23290,field,"private Map<Direction, Direction>"
f,aj,f_56476_,,invertX,flipX,field_23291,field,private final boolean
f,ak,f_56478_,,invertY,flipY,field_23293,field,private final boolean
