owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
a,a,field_195895_a,,,components,field_5656,field,private final float[]
aa,a,TASK,TASK,,TASK,field_1254,enum,
aa,b,CHALLENGE,CHALLENGE,,CHALLENGE,field_1250,enum,
aa,c,GOAL,GOAL,,GOAL,field_1249,enum,
aa,d,field_192313_d,,,id,field_1251,field,private final String
aa,e,field_192314_e,,,texV,field_1252,field,private final int
aa,f,field_193230_f,,,titleFormat,field_1255,field,private final EnumChatFormat
aab,a,field_76339_a,,,PATTERN,field_15771,field,private static final Pattern
aac,a,a,,,field_15772,field_15772,field,private A
aac,b,b,,,field_15773,field_15773,field,private B
aad,a,INSTANCE,INSTANCE,,INSTANCE,field_17274,enum,
aaf$a,a,field_76292_a,,,weight,field_15774,field,protected final int
aag,a,LEVEL,LEVEL,,LEVEL,field_19212,enum,
aag,b,PLAYER,PLAYER,,PLAYER,field_19213,enum,
aag,c,CHUNK,CHUNK,,CHUNK,field_19214,enum,
aag,d,HOTBAR,HOTBAR,,HOTBAR,field_19215,enum,
aag,e,OPTIONS,OPTIONS,,OPTIONS,field_19216,enum,
aag,f,STRUCTURE,STRUCTURE,,STRUCTURE,field_19217,enum,
aag,g,STATS,STATS,,STATS,field_19218,enum,
aag,h,SAVED_DATA,SAVED_DATA,,SAVED_DATA,field_19219,enum,
aag,i,ADVANCEMENTS,ADVANCEMENTS,,ADVANCEMENTS,field_19220,enum,
aag,j,POI_CHUNK,POI_CHUNK,,POI_CHUNK,field_19221,enum,
aag,k,field_219817_k,,,typeReference,field_19222,field,private final com.mojang.datafixers.DSL$TypeReference
aah,a,field_207592_e,,,empty,field_15776,field,"private static final BiFunction<Integer, com.mojang.datafixers.schemas.Schema, com.mojang.datafixers.schemas.Schema>"
aah,b,field_207593_f,,,identNormalize,field_15775,field,"private static final BiFunction<Integer, com.mojang.datafixers.schemas.Schema, com.mojang.datafixers.schemas.Schema>"
aah,c,field_210902_d,,,fixer,field_15777,field,private static final com.mojang.datafixers.DataFixer
aak,a,field_206292_a,,,name,field_15779,field,private final String
aak,b,field_206293_b,,,types,field_15780,field,private final com.mojang.datafixers.DSL$TypeReference
aal,a,field_209693_a,,,RENAMED_ADVANCEMENTS,field_15788,field,"private static final Map<String, String>"
aao,a,field_210919_a,,,RENAMED_BIOMES,field_15810,field,"public static final Map<String, String>"
aas,a,field_191275_a,,,RENAMED_BLOCK_ENTITIES,field_15824,field,"private static final Map<String, String>"
aaw,a,field_188225_a,,,GSON,field_15827,field,public static final com.google.gson.Gson
aay,a,field_206310_a,,,name,field_15828,field,private final String
aaz,a,field_199199_a,,,LOGGER,field_15832,field,private static final org.apache.logging.log4j.Logger
aaz,b,field_199200_b,,,NEW_IDS_TO_STATES,field_15830,field,private static final com.mojang.datafixers.Dynamic<?>[]
aaz,c,field_199201_c,,,OLD_STATES_TO_NEW_IDS,field_15831,field,private static final it.unimi.dsi.fastutil.objects.Object2IntMap<com.mojang.datafixers.Dynamic<?>>
aaz,d,field_199202_d,,,BLOCKS_TO_DEFAULT_IDS,field_15833,field,private static final it.unimi.dsi.fastutil.objects.Object2IntMap<String>
ab,a,field_223214_a_,AND,,AND,field_16882,field,AdvancementRequirements
ab,b,field_223215_b_,OR,,OR,field_1257,field,AdvancementRequirements
abd$a,a,field_210935_a,,,contents,field_15855,field,private final byte[]
abd$b$a,a,X,X,,X,field_15869,enum,
abd$b$a,b,Y,Y,,Y,field_15866,enum,
abd$b$a,c,Z,Z,,Z,field_15867,enum,
abd$b$b,a,POSITIVE,POSITIVE,,POSITIVE,field_15873,enum,
abd$b$b,b,NEGATIVE,NEGATIVE,,NEGATIVE,field_15870,enum,
abd$b$b,c,field_210938_c,,,offset,field_15872,field,private final int
abd$b,a,DOWN,DOWN,,DOWN,field_15858,enum,
abd$b,b,UP,UP,,UP,field_15863,enum,
abd$b,c,NORTH,NORTH,,NORTH,field_15859,enum,
abd$b,d,SOUTH,SOUTH,,SOUTH,field_15862,enum,
abd$b,e,WEST,WEST,,WEST,field_15857,enum,
abd$b,f,EAST,EAST,,EAST,field_15860,enum,
abd$b,g,field_210941_g,,,axis,field_15864,field,private final ChunkConverterPalette$Direction$Axis
abd$b,h,field_210942_h,,,direction,field_15861,field,private final ChunkConverterPalette$Direction$AxisDirection
abd$c,b,field_199210_a,,,paletteMap,field_15882,field,private final RegistryID<com.mojang.datafixers.Dynamic<?>>
abd$c,c,field_199211_b,,,paletteData,field_15880,field,private com.mojang.datafixers.Dynamic<?>
abd$c,d,field_199213_d,,,section,field_15878,field,private final com.mojang.datafixers.Dynamic<?>
abd$c,e,field_199214_e,,,hasBlocks,field_15876,field,private final boolean
