混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/client/renderer/Quaternion,net/minecraft/server/v1_14_R1/Quaternion,,net/minecraft/util/math/Quaternion,net/minecraft/class_1158
aa,net/minecraft/advancements/FrameType,net/minecraft/server/v1_14_R1/AdvancementFrameType,,net/minecraft/advancement/AdvancementFrame,net/minecraft/class_189
aaa,net/minecraft/util/IStringSerializable,net/minecraft/server/v1_14_R1/INamable,,net/minecraft/util/StringIdentifiable,net/minecraft/class_3542
aab,net/minecraft/util/StringUtils,net/minecraft/server/v1_14_R1/UtilColor,,net/minecraft/util/ChatUtil,net/minecraft/class_3544
aac,net/minecraft/util/Tuple,net/minecraft/server/v1_14_R1/Tuple,,net/minecraft/util/Pair,net/minecraft/class_3545
aad,net/minecraft/util/Unit,net/minecraft/server/v1_14_R1/Unit,,net/minecraft/util/Unit,net/minecraft/class_3902
aaf$a,net/minecraft/util/WeightedRandom$Item,net/minecraft/server/v1_14_R1/WeightedRandom$WeightedRandomChoice,,net/minecraft/util/WeightedPicker$Entry,net/minecraft/class_3549$class_3550
aaf,net/minecraft/util/WeightedRandom,net/minecraft/server/v1_14_R1/WeightedRandom,,net/minecraft/util/WeightedPicker,net/minecraft/class_3549
aag,net/minecraft/util/datafix/DefaultTypeReferences,net/minecraft/server/v1_14_R1/DataFixTypes,,net/minecraft/datafixers/DataFixTypes,net/minecraft/class_4284
aah$1,net/minecraft/util/datafix/DataFixesManager$1,net/minecraft/server/v1_14_R1/DataConverterRegistry$1,,net/minecraft/datafixers/Schemas$1,net/minecraft/class_3551$1
aah$2,net/minecraft/util/datafix/DataFixesManager$2,net/minecraft/server/v1_14_R1/DataConverterRegistry$2,,net/minecraft/datafixers/Schemas$2,net/minecraft/class_3551$2
aah,net/minecraft/util/datafix/DataFixesManager,net/minecraft/server/v1_14_R1/DataConverterRegistry,,net/minecraft/datafixers/Schemas,net/minecraft/class_3551
aai,net/minecraft/util/datafix/fixes/OminousBannerTileEntityRenameFix,net/minecraft/server/v1_14_R1/DataConverterOminousBannerBlockEntityRename,,net/minecraft/datafixers/fixes/OminousBannerBlockEntityRenameFix,net/minecraft/class_4299
aaj,net/minecraft/util/datafix/fixes/OminousBannerRenameFix,net/minecraft/server/v1_14_R1/DataConverterOminousBannerRename,,net/minecraft/datafixers/fixes/OminousBannerItemRenameFix,net/minecraft/class_4294
aak,net/minecraft/util/datafix/fixes/AddNewChoices,net/minecraft/server/v1_14_R1/DataConverterAddChoices,,net/minecraft/datafixers/fixes/FixChoiceTypes,net/minecraft/class_3553
aal,net/minecraft/util/datafix/fixes/AdvancementsFix,net/minecraft/server/v1_14_R1/DataConverterAdvancement,,net/minecraft/datafixers/fixes/AdvancementsFix,net/minecraft/class_3555
aam,net/minecraft/util/datafix/fixes/AddBedTileEntity,net/minecraft/server/v1_14_R1/DataConverterBedBlock,,net/minecraft/datafixers/fixes/BedBlockEntityFix,net/minecraft/class_3557
aan,net/minecraft/util/datafix/fixes/BedItemColor,net/minecraft/server/v1_14_R1/DataConverterBedItem,,net/minecraft/datafixers/fixes/BedItemColorFix,net/minecraft/class_3559
aao,net/minecraft/util/datafix/fixes/BiomeRenames,net/minecraft/server/v1_14_R1/DataConverterBiome,,net/minecraft/datafixers/fixes/BiomesFix,net/minecraft/class_3561
aap,net/minecraft/util/datafix/fixes/BlockEntityBannerColor,net/minecraft/server/v1_14_R1/DataConverterBannerColour,,net/minecraft/datafixers/fixes/BlockEntityBannerColorFix,net/minecraft/class_3564
aaq,net/minecraft/util/datafix/fixes/PistonPushedBlock,net/minecraft/server/v1_14_R1/DataConverterPiston,,net/minecraft/datafixers/fixes/BlockEntityBlockStateFix,net/minecraft/class_3566
aar,net/minecraft/util/datafix/fixes/CustomNameStringToComponentFixTileEntity,net/minecraft/server/v1_14_R1/DataConverterCustomNameTile,,net/minecraft/datafixers/fixes/BlockEntityCustomNameToComponentFix,net/minecraft/class_3567
aas,net/minecraft/util/datafix/fixes/TileEntityId,net/minecraft/server/v1_14_R1/DataConverterTileEntity,,net/minecraft/datafixers/fixes/BlockEntityIdFix,net/minecraft/class_3571
aat,net/minecraft/util/datafix/fixes/JukeboxRecordItem,net/minecraft/server/v1_14_R1/DataConverterJukeBox,,net/minecraft/datafixers/fixes/BlockEntityJukeboxFix,net/minecraft/class_3573
aau,net/minecraft/util/datafix/fixes/BlockEntityKeepPacked,net/minecraft/server/v1_14_R1/DataConverterBlockEntityKeepPacked,,net/minecraft/datafixers/fixes/BlockEntityKeepPacked,net/minecraft/class_3574
aav,net/minecraft/util/datafix/fixes/ShulkerBoxTileColor,net/minecraft/server/v1_14_R1/DataConverterShulkerBoxBlock,,net/minecraft/datafixers/fixes/BlockEntityShulkerBoxColorFix,net/minecraft/class_3575
aaw$1,net/minecraft/util/datafix/fixes/SignStrictJSON$1,net/minecraft/server/v1_14_R1/DataConverterSignText$1,,net/minecraft/datafixers/fixes/BlockEntitySignTextStrictJsonFix$1,net/minecraft/class_3577$1
aaw,net/minecraft/util/datafix/fixes/SignStrictJSON,net/minecraft/server/v1_14_R1/DataConverterSignText,,net/minecraft/datafixers/fixes/BlockEntitySignTextStrictJsonFix,net/minecraft/class_3577
aax,net/minecraft/util/datafix/fixes/BlockNameFlattening,net/minecraft/server/v1_14_R1/DataConverterBlockName,,net/minecraft/datafixers/fixes/BlockNameFlatteningFix,net/minecraft/class_3578
aay$1,net/minecraft/util/datafix/fixes/BlockRename$1,net/minecraft/server/v1_14_R1/DataConverterBlockRename$1,,net/minecraft/datafixers/fixes/BlockNameFix$1,net/minecraft/class_3579$1
aay,net/minecraft/util/datafix/fixes/BlockRename,net/minecraft/server/v1_14_R1/DataConverterBlockRename,,net/minecraft/datafixers/fixes/BlockNameFix,net/minecraft/class_3579
aaz,net/minecraft/util/datafix/fixes/BlockStateFlatteningMap,net/minecraft/server/v1_14_R1/DataConverterFlattenData,,net/minecraft/datafixers/fixes/BlockStateFlattening,net/minecraft/class_3580
ab,net/minecraft/advancements/IRequirementsStrategy,net/minecraft/server/v1_14_R1/AdvancementRequirements,,net/minecraft/advancement/CriteriaMerger,net/minecraft/class_193
aba,net/minecraft/util/datafix/fixes/BlockStateFlattenStructures,net/minecraft/server/v1_14_R1/DataConverterFlattenState,,net/minecraft/datafixers/fixes/BlockStateStructureTemplateFix,net/minecraft/class_3581
abb,net/minecraft/util/datafix/fixes/CatTypeFix,net/minecraft/server/v1_14_R1/DataConverterCatType,,net/minecraft/datafixers/fixes/CatTypeFix,net/minecraft/class_3903
abc,net/minecraft/util/datafix/fixes/ChunkLightRemoveFix,net/minecraft/server/v1_14_R1/DataConverterChunkLightRemove,,net/minecraft/datafixers/fixes/ChunkLightRemoveFix,net/minecraft/class_3755
abd$a,net/minecraft/util/datafix/fixes/ChunkPaletteFormat$NibbleArray,net/minecraft/server/v1_14_R1/ChunkConverterPalette$a,,net/minecraft/datafixers/fixes/ChunkPalettedStorageFix$ChunkNibbleArray,net/minecraft/class_3582$class_3583
abd$b$a,net/minecraft/util/datafix/fixes/ChunkPaletteFormat$Direction$Axis,net/minecraft/server/v1_14_R1/ChunkConverterPalette$Direction$Axis,,net/minecraft/datafixers/fixes/ChunkPalettedStorageFix$Facing$Axis,net/minecraft/class_3582$class_3584$class_3585
abd$b$b,net/minecraft/util/datafix/fixes/ChunkPaletteFormat$Direction$Offset,net/minecraft/server/v1_14_R1/ChunkConverterPalette$Direction$AxisDirection,,net/minecraft/datafixers/fixes/ChunkPalettedStorageFix$Facing$Direction,net/minecraft/class_3582$class_3584$class_3586
abd$b,net/minecraft/util/datafix/fixes/ChunkPaletteFormat$Direction,net/minecraft/server/v1_14_R1/ChunkConverterPalette$Direction,,net/minecraft/datafixers/fixes/ChunkPalettedStorageFix$Facing,net/minecraft/class_3582$class_3584
abd$c,net/minecraft/util/datafix/fixes/ChunkPaletteFormat$Section,net/minecraft/server/v1_14_R1/ChunkConverterPalette$c,,net/minecraft/datafixers/fixes/ChunkPalettedStorageFix$Section,net/minecraft/class_3582$class_3587
