owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
evt$a,a,f_107609_,,sprite,spriteProvider,field_23188,field,private final SpriteSet
eui$a,a,f_105564_,,sprites,spriteProvider,field_17782,field,private final SpriteSet
evb$a,a,f_106825_,,sprite,spriteProvider,field_17812,field,private final SpriteSet
ewk$c,a,f_108168_,,sprite,spriteProvider,field_17882,field,private final SpriteSet
ewa$a,a,f_107694_,,sprites,spriteProvider,field_17869,field,private final SpriteSet
evc,a,f_172132_,,RANDOM,RANDOM,field_28457,field,static final RandomSource
evc,b,f_172133_,,sprites,spriteProvider,field_28458,field,private final SpriteSet
ewk$d,a,f_108189_,,sprite,spriteProvider,field_17883,field,private final SpriteSet
ewl,a,f_108280_,,pos,blockPos,field_3891,field,private final BlockPos
ewl,b,f_108277_,,uo,sampleU,field_17884,field,private final float
ewl,F,f_108278_,,vo,sampleV,field_17885,field,private final float
euq$a,a,f_105939_,,sprite,spriteProvider,field_17790,field,private final SpriteSet
eut,a,f_172050_,,fromColor,startColor,field_28244,field,private final Vector3f
eut,b,f_172051_,,toColor,endColor,field_28245,field,private final Vector3f
eus$m,a,f_106182_,,sprite,spriteProvider,field_20516,field,protected final SpriteSet
ews$a,a,f_108490_,,sprite,spriteProvider,field_17891,field,private final SpriteSet
ewi$b,a,f_107989_,,sprites,spriteProvider,field_17878,field,private final SpriteSet
eus$o,a,f_106224_,,sprite,spriteProvider,field_18294,field,protected final SpriteSet
euq$b,a,f_105960_,,sprite,spriteProvider,field_17791,field,private final SpriteSet
euh$a,a,f_105523_,,sprites,spriteProvider,field_22235,field,private final SpriteSet
eve$a,a,f_106923_,,sprites,spriteProvider,field_17816,field,private final SpriteSet
evx$a,a,f_234006_,,sprite,spriteProvider,field_38336,field,private final SpriteSet
ewb$a,a,f_172302_,,sprites,spriteProvider,field_28004,field,private final SpriteSet
eva$a,a,f_106655_,,sprite,spriteProvider,field_17810,field,private final SpriteSet
eus$l,a,f_106161_,,sprite,spriteProvider,field_20515,field,protected final SpriteSet
evr,a,f_107481_,,sprites,spriteProvider,field_17862,field,private final SpriteSet
eus$i,b,f_106114_,,landParticle,nextParticle,field_18292,field,protected final ParticleOptions
eun$a,a,f_105791_,,sprite,spriteProvider,field_17785,field,private final SpriteSet
ewt$a,a,f_108521_,,sprites,spriteProvider,field_23936,field,private final SpriteSet
evd$b,a,f_106882_,,sprite,spriteProvider,field_17814,field,private final SpriteSet
ewe$b,a,f_107803_,,sprite,spriteProvider,field_17872,field,private final SpriteSet
evg,a,f_172257_,,LIFE_TIME,field_32656,field_32656,field,private static final int
evg,b,f_107020_,,renderBuffers,bufferStorage,field_20944,field,private final RenderBuffers
evg,D,f_107021_,,itemEntity,itemEntity,field_3823,field,private final Entity
evg,E,f_107017_,,target,interactingEntity,field_3821,field,private final Entity
evg,F,f_107018_,,life,ticksExisted,field_3826,field,private int
evg,G,f_107019_,,entityRenderDispatcher,dispatcher,field_3824,field,private final EntityRenderDispatcher
eus$b,b,f_106083_,,fallingParticle,nextParticle,field_18293,field,private final ParticleOptions
evc$e,a,f_172235_,,SPEED_FACTOR,field_29577,field_29577,field,private final double
