混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
aa,net/minecraft/advancements/CriterionProgress,net/minecraft/server/v1_15_R1/CriterionProgress,net/minecraft/advancements/CriterionProgress,net/minecraft/advancement/criterion/CriterionProgress,net/minecraft/class_178
aaa,net/minecraft/network/rcon/RConConsoleSource,net/minecraft/server/v1_15_R1/RemoteControlCommandListener,net/minecraft/server/rcon/RconConsoleSource,net/minecraft/server/dedicated/ServerCommandOutput,net/minecraft/class_3350
aac,net/minecraft/network/rcon/RConThread,net/minecraft/server/v1_15_R1/RemoteConnectionThread,net/minecraft/server/rcon/thread/GenericThread,net/minecraft/server/rcon/RconBase,net/minecraft/class_3359
aad$a,net/minecraft/network/rcon/QueryThread$Auth,net/minecraft/server/v1_15_R1/RemoteStatusListener$RemoteStatusChallenge,net/minecraft/server/rcon/thread/QueryThreadGs4$RequestChallenge,net/minecraft/server/rcon/QueryResponseHandler$Query,net/minecraft/class_3364$class_3365
aad,net/minecraft/network/rcon/QueryThread,net/minecraft/server/v1_15_R1/RemoteStatusListener,net/minecraft/server/rcon/thread/QueryThreadGs4,net/minecraft/server/rcon/QueryResponseHandler,net/minecraft/class_3364
aae,net/minecraft/network/rcon/ClientThread,net/minecraft/server/v1_15_R1/RemoteControlSession,net/minecraft/server/rcon/thread/RconClient,net/minecraft/server/rcon/RconClient,net/minecraft/class_3389
aaf,net/minecraft/network/rcon/MainThread,net/minecraft/server/v1_15_R1/RemoteControlListener,net/minecraft/server/rcon/thread/RconThread,net/minecraft/server/rcon/RconServer,net/minecraft/class_3408
aah,net/minecraft/util/SoundEvent,net/minecraft/server/v1_15_R1/SoundEffect,net/minecraft/sounds/SoundEvent,net/minecraft/sound/SoundEvent,net/minecraft/class_3414
aai,net/minecraft/util/SoundEvents,net/minecraft/server/v1_15_R1/SoundEffects,net/minecraft/sounds/SoundEvents,net/minecraft/sound/SoundEvents,net/minecraft/class_3417
aaj,net/minecraft/util/SoundCategory,net/minecraft/server/v1_15_R1/SoundCategory,net/minecraft/sounds/SoundSource,net/minecraft/sound/SoundCategory,net/minecraft/class_3419
aal,net/minecraft/item/crafting/RecipeBook,net/minecraft/server/v1_15_R1/RecipeBook,net/minecraft/stats/RecipeBook,net/minecraft/recipe/book/RecipeBook,net/minecraft/class_3439
aam,net/minecraft/item/crafting/ServerRecipeBook,net/minecraft/server/v1_15_R1/RecipeBookServer,net/minecraft/stats/ServerRecipeBook,net/minecraft/server/network/ServerRecipeBook,net/minecraft/class_3441
aan,net/minecraft/stats/ServerStatisticsManager,net/minecraft/server/v1_15_R1/ServerStatisticManager,net/minecraft/stats/ServerStatsCounter,net/minecraft/stat/ServerStatHandler,net/minecraft/class_3442
aao,net/minecraft/stats/Stat,net/minecraft/server/v1_15_R1/Statistic,net/minecraft/stats/Stat,net/minecraft/stat/Stat,net/minecraft/class_3445
aap,net/minecraft/stats/IStatFormatter,net/minecraft/server/v1_15_R1/Counter,net/minecraft/stats/StatFormatter,net/minecraft/stat/StatFormatter,net/minecraft/class_3446
aaq,net/minecraft/stats/StatType,net/minecraft/server/v1_15_R1/StatisticWrapper,net/minecraft/stats/StatType,net/minecraft/stat/StatType,net/minecraft/class_3448
aar,net/minecraft/stats/Stats,net/minecraft/server/v1_15_R1/StatisticList,net/minecraft/stats/Stats,net/minecraft/stat/Stats,net/minecraft/class_3468
aas,net/minecraft/stats/StatisticsManager,net/minecraft/server/v1_15_R1/StatisticManager,net/minecraft/stats/StatsCounter,net/minecraft/stat/StatHandler,net/minecraft/class_3469
aau$a,net/minecraft/tags/BlockTags$Wrapper,net/minecraft/server/v1_15_R1/TagsBlock$a,net/minecraft/tags/BlockTags$Wrapper,net/minecraft/tag/BlockTags$CachingTag,net/minecraft/class_3481$class_3482
aau,net/minecraft/tags/BlockTags,net/minecraft/server/v1_15_R1/TagsBlock,net/minecraft/tags/BlockTags,net/minecraft/tag/BlockTags,net/minecraft/class_3481
aav$a,net/minecraft/tags/EntityTypeTags$Wrapper,net/minecraft/server/v1_15_R1/TagsEntity$a,net/minecraft/tags/EntityTypeTags$Wrapper,net/minecraft/tag/EntityTypeTags$CachingTag,net/minecraft/class_3483$class_3484
aav,net/minecraft/tags/EntityTypeTags,net/minecraft/server/v1_15_R1/TagsEntity,net/minecraft/tags/EntityTypeTags,net/minecraft/tag/EntityTypeTags,net/minecraft/class_3483
aaw$a,net/minecraft/tags/FluidTags$Wrapper,net/minecraft/server/v1_15_R1/TagsFluid$a,net/minecraft/tags/FluidTags$Wrapper,net/minecraft/tag/FluidTags$CachingTag,net/minecraft/class_3486$class_3487
aaw,net/minecraft/tags/FluidTags,net/minecraft/server/v1_15_R1/TagsFluid,net/minecraft/tags/FluidTags,net/minecraft/tag/FluidTags,net/minecraft/class_3486
aax$a,net/minecraft/tags/ItemTags$Wrapper,net/minecraft/server/v1_15_R1/TagsItem$a,net/minecraft/tags/ItemTags$Wrapper,net/minecraft/tag/ItemTags$CachingTag,net/minecraft/class_3489$class_3490
aax,net/minecraft/tags/ItemTags,net/minecraft/server/v1_15_R1/TagsItem,net/minecraft/tags/ItemTags,net/minecraft/tag/ItemTags,net/minecraft/class_3489
aay,net/minecraft/tags/NetworkTagCollection,net/minecraft/server/v1_15_R1/TagsServer,net/minecraft/tags/SynchronizableTagCollection,net/minecraft/tag/RegistryTagContainer,net/minecraft/class_3493
aaz$a,net/minecraft/tags/Tag$Builder,net/minecraft/server/v1_15_R1/Tag$a,net/minecraft/tags/Tag$Builder,net/minecraft/tag/Tag$Builder,net/minecraft/class_3494$class_3495
aaz$b,net/minecraft/tags/Tag$ITagEntry,net/minecraft/server/v1_15_R1/Tag$b,net/minecraft/tags/Tag$Entry,net/minecraft/tag/Tag$Entry,net/minecraft/class_3494$class_3496
aaz$c,net/minecraft/tags/Tag$TagEntry,net/minecraft/server/v1_15_R1/Tag$c,net/minecraft/tags/Tag$TagEntry,net/minecraft/tag/Tag$TagEntry,net/minecraft/class_3494$class_3497
aaz$d,net/minecraft/tags/Tag$ListEntry,net/minecraft/server/v1_15_R1/Tag$d,net/minecraft/tags/Tag$ValuesEntry,net/minecraft/tag/Tag$CollectionEntry,net/minecraft/class_3494$class_3498
aaz,net/minecraft/tags/Tag,net/minecraft/server/v1_15_R1/Tag,net/minecraft/tags/Tag,net/minecraft/tag/Tag,net/minecraft/class_3494
