owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
a,a,f_142767_,,PI,PI,field_29658,field,public static final float
a,b,f_142768_,,RAD_TO_DEG,DEGREES_PER_RADIAN,field_29659,field,public static final float
a,c,f_142769_,,DEG_TO_RAD,RADIANS_PER_DEGREE,field_29660,field,public static final float
a,d,f_142770_,,EPSILON,EPSILON,field_29661,field,public static final float
aaa,a,f_138862_,,ERROR_TEAM_ALREADY_EXISTS,ADD_DUPLICATE_EXCEPTION,field_13749,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaa,b,f_138863_,,ERROR_TEAM_NAME_TOO_LONG,ADD_LONG_NAME_EXCEPTION,field_13748,field,private static final com.mojang.brigadier.exceptions.DynamicCommandExceptionType
aaa,c,f_138864_,,ERROR_TEAM_ALREADY_EMPTY,EMPTY_UNCHANGED_EXCEPTION,field_13751,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaa,d,f_138865_,,ERROR_TEAM_ALREADY_NAME,OPTION_NAME_UNCHANGED_EXCEPTION,field_13755,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaa,e,f_138866_,,ERROR_TEAM_ALREADY_COLOR,OPTION_COLOR_UNCHANGED_EXCEPTION,field_13746,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaa,f,f_138867_,,ERROR_TEAM_ALREADY_FRIENDLYFIRE_ENABLED,OPTION_FRIENDLY_FIRE_ALREADY_ENABLED_EXCEPTION,field_13753,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaa,g,f_138868_,,ERROR_TEAM_ALREADY_FRIENDLYFIRE_DISABLED,OPTION_FRIENDLY_FIRE_ALREADY_DISABLED_EXCEPTION,field_13754,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaa,h,f_138869_,,ERROR_TEAM_ALREADY_FRIENDLYINVISIBLES_ENABLED,OPTION_SEE_FRIENDLY_INVISIBLES_ALREADY_ENABLED_EXCEPTION,field_13747,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaa,i,f_138870_,,ERROR_TEAM_ALREADY_FRIENDLYINVISIBLES_DISABLED,OPTION_SEE_FRIENDLY_INVISIBLES_ALREADY_DISABLED_EXCEPTION,field_13756,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaa,j,f_138871_,,ERROR_TEAM_NAMETAG_VISIBLITY_UNCHANGED,OPTION_NAMETAG_VISIBILITY_UNCHANGED_EXCEPTION,field_13752,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaa,k,f_138872_,,ERROR_TEAM_DEATH_MESSAGE_VISIBLITY_UNCHANGED,OPTION_DEATH_MESSAGE_VISIBILITY_UNCHANGED_EXCEPTION,field_13757,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaa,l,f_138873_,,ERROR_TEAM_COLLISION_UNCHANGED,OPTION_COLLISION_RULE_UNCHANGED_EXCEPTION,field_13750,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aab,a,f_138996_,,SUGGEST_STYLE,STYLE,field_24380,field,private static final Style
aab,b,f_138997_,,ERROR_NOT_ON_TEAM,NO_TEAM_EXCEPTION,field_17440,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aac$a,a,f_139052_,,position,targetPos,field_13760,field,private final Vec3
aac$a,b,f_139053_,,entity,target,field_13758,field,private final Entity
aac$a,c,f_139054_,,anchor,targetAnchor,field_13759,field,private final EntityAnchorArgument$Anchor
aac,a,f_139006_,,INVALID_POSITION,INVALID_POSITION_EXCEPTION,field_22255,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aag,a,f_139135_,,ERROR_NOT_PRIMED,FAILED_UNPRIMED_EXCEPTION,field_13763,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aag,b,f_139136_,,ERROR_INVALID_OBJECTIVE,FAILED_INVALID_EXCEPTION,field_13764,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aah,a,f_142787_,,DEFAULT_TIME,DEFAULT_DURATION,field_33398,field,private static final int
aai,a,f_139191_,,ERROR_ALREADY_ENABLED,ALREADY_ON_EXCEPTION,field_13767,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aai,b,f_139192_,,ERROR_ALREADY_DISABLED,ALREADY_OFF_EXCEPTION,field_13770,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aai,c,f_139193_,,ERROR_ALREADY_WHITELISTED,ADD_FAILED_EXCEPTION,field_13768,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aai,d,f_139194_,,ERROR_NOT_WHITELISTED,REMOVE_FAILED_EXCEPTION,field_13769,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaj,a,f_139237_,,ERROR_SAME_CENTER,CENTER_FAILED_EXCEPTION,field_13775,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaj,b,f_139238_,,ERROR_SAME_SIZE,SET_FAILED_NO_CHANGE_EXCEPTION,field_13780,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaj,c,f_139239_,,ERROR_TOO_SMALL,SET_FAILED_SMALL_EXCEPTION,field_13776,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
aaj,d,f_139240_,,ERROR_TOO_BIG,SET_FAILED_BIG_EXCEPTION,field_13779,field,private static final com.mojang.brigadier.exceptions.SimpleCommandExceptionType
