owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
q$a,a,f_128178_,,key,name,field_1098,field,private final String
q$a,b,f_128179_,,value,detail,field_1099,field,private final String
q,a,f_128137_,,title,title,field_1096,field,private final String
q,b,f_128138_,,entries,elements,field_1094,field,private final List<CrashReportCategory$Entry>
q,c,f_128139_,,stackTrace,stackTrace,field_1097,field,private StackTraceElement[]
ae,a,f_143506_,,BYTES_PER_MEBIBYTE,MEBI,field_33852,field,public static final long
ae,b,f_143507_,,ONE_GIGA,GIGA,field_33853,field,private static final long
ae,c,f_143508_,,LOGGER,LOGGER,field_33854,field,private static final org.slf4j.Logger
ae,d,f_143509_,,OPERATING_SYSTEM,OPERATING_SYSTEM,field_33855,field,private static final String
ae,e,f_143510_,,JAVA_VERSION,JAVA_VERSION,field_33856,field,private static final String
ae,f,f_143511_,,JAVA_VM_VERSION,JVM_VERSION,field_33857,field,private static final String
ae,g,f_143512_,,entries,sections,field_33858,field,"private final Map<String, String>"
ag$a,a,LINUX,,LINUX,LINUX,field_1135,enum,
ag$a,b,SOLARIS,,SOLARIS,SOLARIS,field_1134,enum,
ag$a,c,WINDOWS,,WINDOWS,WINDOWS,field_1133,enum,
ag$a,d,OSX,,OSX,OSX,field_1137,enum,
ag$a,e,UNKNOWN,,UNKNOWN,UNKNOWN,field_1132,enum,
ag$a,f,f_183994_,,telemetryName,name,field_34894,field,private final String
m$b,a,f_124355_,,min,min,field_25939,field,public final int
m$b,b,f_124356_,,max,max,field_25940,field,public final int
ud,b,f_128101_,,LOGGER,LOGGER,field_11490,field,private static final org.slf4j.Logger
ud,c,f_128102_,,GSON,GSON,field_25307,field,private static final com.google.gson.Gson
ud,d,f_128103_,,UNSUPPORTED_FORMAT_PATTERN,TOKEN_PATTERN,field_11489,field,private static final Pattern
ud,a,f_177832_,,DEFAULT,DEFAULT_LANGUAGE,field_33187,field,public static final String
ud,e,f_128104_,,instance,instance,field_11486,field,private static volatile Language
uc,c,f_348355_,,removed,removed,comp_3076,field,private final List<String>
uc,d,f_346567_,,renamed,renamed,comp_3077,field,"private final Map<String, String>"
uc,e,f_348795_,,LOGGER,LOGGER,field_53739,field,private static final org.slf4j.Logger
uc,a,f_347001_,,EMPTY,NONE,field_53737,field,public static final DeprecatedTranslationsInfo
uc,b,f_348110_,,CODEC,CODEC,field_53738,field,public static final com.mojang.serialization.Codec<DeprecatedTranslationsInfo>
azk,a,f_13013_,,stats,statMap,field_15431,field,protected final it.unimi.dsi.fastutil.objects.Object2IntMap<Stat<?>>
azj,a,f_12949_,,BLOCK_MINED,MINED,field_15427,field,public static final StatType<Block>
azj,b,f_12981_,,ITEM_CRAFTED,CRAFTED,field_15370,field,public static final StatType<Item>
azj,c,f_12982_,,ITEM_USED,USED,field_15372,field,public static final StatType<Item>
