混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
u,net/minecraft/src/C_5047_,net/minecraft/ThreadNamedUncaughtExceptionHandler,net/minecraft/DefaultUncaughtExceptionHandlerWithName,net/minecraft/util/logging/UncaughtExceptionHandler,net/minecraft/class_143
oc,net/minecraft/src/C_4881_,net/minecraft/gametest/framework/GameTestHarnessAssertion,net/minecraft/gametest/framework/GameTestAssertException,net/minecraft/test/GameTestException,net/minecraft/class_4512
ow,net/minecraft/src/C_4900_,net/minecraft/gametest/framework/GameTestHarnessStructures,net/minecraft/gametest/framework/StructureUtils,net/minecraft/test/StructureTestUtil,net/minecraft/class_4525
nz,net/minecraft/src/C_141817_,net/minecraft/gametest/framework/BeforeBatch,net/minecraft/gametest/framework/BeforeBatch,net/minecraft/test/BeforeBatch,net/minecraft/class_6301
ov,net/minecraft/src/C_141828_,net/minecraft/gametest/framework/ReportGameListener,net/minecraft/gametest/framework/ReportGameListener,net/minecraft/test/StructureTestListener,net/minecraft/class_5624
oo$1,net/minecraft/src/C_141824_$C_141825_,,net/minecraft/gametest/framework/GameTestServer$1,net/minecraft/test/TestServer$1,net/minecraft/class_6306$1
ol,net/minecraft/src/C_4891_,net/minecraft/gametest/framework/GameTestHarnessRegistry,net/minecraft/gametest/framework/GameTestRegistry,net/minecraft/test/TestFunctions,net/minecraft/class_4519
ob,net/minecraft/src/C_141819_,net/minecraft/gametest/framework/GameTest,net/minecraft/gametest/framework/GameTest,net/minecraft/test/GameTest,net/minecraft/class_6302
oi,net/minecraft/src/C_4888_,net/minecraft/gametest/framework/GameTestHarnessHelper,net/minecraft/gametest/framework/GameTestHelper,net/minecraft/test/TestContext,net/minecraft/class_4516
oe,net/minecraft/src/C_4884_,net/minecraft/gametest/framework/GameTestHarnessBatch,net/minecraft/gametest/framework/GameTestBatch,net/minecraft/test/GameTestBatch,net/minecraft/class_4514
or,net/minecraft/src/C_141826_,net/minecraft/gametest/framework/GlobalTestReporter,net/minecraft/gametest/framework/GlobalTestReporter,net/minecraft/test/TestFailureLogger,net/minecraft/class_5623
of,net/minecraft/src/C_4885_,net/minecraft/gametest/framework/GameTestHarnessBatchRunner,net/minecraft/gametest/framework/GameTestBatchRunner,net/minecraft/test/TestRunner,net/minecraft/class_4515
ot,net/minecraft/src/C_4897_,net/minecraft/gametest/framework/GameTestHarnessLogger,net/minecraft/gametest/framework/LogTestReporter,net/minecraft/test/FailureLoggingTestCompletionListener,net/minecraft/class_4523
