混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/math/vector/Matrix3f,net/minecraft/server/v1_16_R1/Matrix3f,com/mojang/math/Matrix3f,net/minecraft/util/math/Matrix3f,net/minecraft/class_4581
aa,net/minecraft/advancements/CriteriaTriggers,net/minecraft/server/v1_16_R1/CriterionTriggers,net/minecraft/advancements/CriteriaTriggers,net/minecraft/advancement/criterion/Criteria,net/minecraft/class_174
aab,net/minecraft/resources/ResourcePack,net/minecraft/server/v1_16_R1/ResourcePackAbstract,net/minecraft/server/packs/AbstractPackResources,net/minecraft/resource/AbstractFileResourcePack,net/minecraft/class_3255
aac,net/minecraft/resources/FilePack,net/minecraft/server/v1_16_R1/ResourcePackFile,net/minecraft/server/packs/FilePackResources,net/minecraft/resource/ZipResourcePack,net/minecraft/class_3258
aad,net/minecraft/resources/FolderPack,net/minecraft/server/v1_16_R1/ResourcePackFolder,net/minecraft/server/packs/FolderPackResources,net/minecraft/resource/DirectoryResourcePack,net/minecraft/class_3259
aae,net/minecraft/resources/IResourcePack,net/minecraft/server/v1_16_R1/IResourcePack,net/minecraft/server/packs/PackResources,net/minecraft/resource/ResourcePack,net/minecraft/class_3262
aaf,net/minecraft/resources/ResourcePackType,net/minecraft/server/v1_16_R1/EnumResourcePackType,net/minecraft/server/packs/PackType,net/minecraft/resource/ResourceType,net/minecraft/class_3264
aag,net/minecraft/resources/ResourcePackFileNotFoundException,net/minecraft/server/v1_16_R1/ResourceNotFoundException,net/minecraft/server/packs/ResourcePackFileNotFoundException,net/minecraft/resource/ResourceNotFoundException,net/minecraft/class_3266
aah,net/minecraft/resources/VanillaPack,net/minecraft/server/v1_16_R1/ResourcePackVanilla,net/minecraft/server/packs/VanillaPackResources,net/minecraft/resource/DefaultResourcePack,net/minecraft/class_3268
aai,net/minecraft/resources/data/IMetadataSectionSerializer,net/minecraft/server/v1_16_R1/ResourcePackMetaParser,net/minecraft/server/packs/metadata/MetadataSectionSerializer,net/minecraft/resource/metadata/ResourceMetadataReader,net/minecraft/class_3270
aaj,net/minecraft/resources/data/PackMetadataSection,net/minecraft/server/v1_16_R1/ResourcePackInfo,net/minecraft/server/packs/metadata/pack/PackMetadataSection,net/minecraft/resource/metadata/PackResourceMetadata,net/minecraft/class_3272
aak,net/minecraft/resources/data/PackMetadataSectionSerializer,net/minecraft/server/v1_16_R1/ResourcePackInfoDeserializer,net/minecraft/server/packs/metadata/pack/PackMetadataSectionSerializer,net/minecraft/resource/metadata/PackResourceMetadataReader,net/minecraft/class_3274
aao,net/minecraft/resources/FolderPackFinder,net/minecraft/server/v1_16_R1/ResourcePackSourceFolder,net/minecraft/server/packs/repository/FolderRepositorySource,net/minecraft/resource/FileResourcePackProvider,net/minecraft/class_3279
aap$a,net/minecraft/resources/ResourcePackInfo$IFactory,net/minecraft/server/v1_16_R1/ResourcePackLoader$a,net/minecraft/server/packs/repository/Pack$PackConstructor,net/minecraft/resource/ResourcePackProfile$Factory,net/minecraft/class_3288$class_5351
aap$b,net/minecraft/resources/ResourcePackInfo$Priority,net/minecraft/server/v1_16_R1/ResourcePackLoader$Position,net/minecraft/server/packs/repository/Pack$Position,net/minecraft/resource/ResourcePackProfile$InsertionPosition,net/minecraft/class_3288$class_3289
aap,net/minecraft/resources/ResourcePackInfo,net/minecraft/server/v1_16_R1/ResourcePackLoader,net/minecraft/server/packs/repository/Pack,net/minecraft/resource/ResourcePackProfile,net/minecraft/class_3288
aaq,net/minecraft/resources/PackCompatibility,net/minecraft/server/v1_16_R1/EnumResourcePackVersion,net/minecraft/server/packs/repository/PackCompatibility,net/minecraft/resource/ResourcePackCompatibility,net/minecraft/class_3281
aar,net/minecraft/resources/ResourcePackList,net/minecraft/server/v1_16_R1/ResourcePackRepository,net/minecraft/server/packs/repository/PackRepository,net/minecraft/resource/ResourcePackManager,net/minecraft/class_3283
aas,net/minecraft/resources/IPackNameDecorator,net/minecraft/server/v1_16_R1/PackSource,net/minecraft/server/packs/repository/PackSource,net/minecraft/resource/ResourcePackSource,net/minecraft/class_5352
aat,net/minecraft/resources/IPackFinder,net/minecraft/server/v1_16_R1/ResourcePackSource,net/minecraft/server/packs/repository/RepositorySource,net/minecraft/resource/ResourcePackProvider,net/minecraft/class_3285
aau,net/minecraft/resources/ServerPackFinder,net/minecraft/server/v1_16_R1/ResourcePackSourceVanilla,net/minecraft/server/packs/repository/ServerPacksSource,net/minecraft/resource/VanillaDataPackProvider,net/minecraft/class_3286
aaw$a,net/minecraft/resources/FallbackResourceManager$LeakComplainerInputStream,net/minecraft/server/v1_16_R1/ResourceManagerFallback$a,net/minecraft/server/packs/resources/FallbackResourceManager$LeakedResourceWarningInputStream,net/minecraft/resource/NamespaceResourceManager$DebugInputStream,net/minecraft/class_3294$class_3295
