owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CI)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CZ)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Ljava/lang/String;CZI)V,private
a,c(String arg0),func_175745_c(String arg0),,,,,method,c(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(),func_175746_b(),,,,,method,b(),()I,int
a,c(),func_96301_b(),isFormat(),,,,method,c(),()Z,boolean
a,d(),func_96302_c(),,,,,method,d(),()Z,boolean
a,e(),func_96297_d(),,,,,method,e(),()Ljava/lang/String;,String
a,a(String arg0),func_110646_a(String arg0),,,,,method,a(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(String arg0),func_96300_b(String arg0),,,,,method,b(String arg0),(Ljava/lang/String;)La;,EnumChatFormat
a,a(int arg0),func_175744_a(int arg0),,,,,method,a(int arg0),(I)La;,EnumChatFormat
a,"a(boolean arg0, boolean arg1)","func_96296_a(boolean arg0, boolean arg1)",,,,,method,"a(boolean arg0, boolean arg1)",(ZZ)Ljava/util/Collection;,Collection<String>
aa$a,<init>,,,,,,constructor,(arg0),(Lnp;)V,public
aa$a,a(),func_192359_a(),,,,,method,a(),()Z,boolean
aa$a,a(p$a<aa$b> arg0),func_192360_a(ICriterionTrigger$Listener<CuredZombieVillagerTrigger$Instance> arg0),,,,,method,a(p$a<aa$b> arg0),(Lp$a;)V,void
aa$a,b(p$a<aa$b> arg0),func_192358_b(ICriterionTrigger$Listener<CuredZombieVillagerTrigger$Instance> arg0),,,,,method,b(p$a<aa$b> arg0),(Lp$a;)V,void
aa$a,"a(oq arg0, adt arg1, ady arg2)","func_192361_a(EntityPlayerMP arg0, EntityZombie arg1, EntityVillager arg2)",,,,,method,"a(oq arg0, adt arg1, ady arg2)",(Loq;Ladt;Lady;)V,void
aa$b,<init>,,,,,,constructor,"(arg0, arg1)",(Laj;Laj;)V,public
aa$b,"a(oq arg0, adt arg1, ady arg2)","func_192254_a(EntityPlayerMP arg0, EntityZombie arg1, EntityVillager arg2)",,,,,method,"a(oq arg0, adt arg1, ady arg2)",(Loq;Ladt;Lady;)Z,boolean
aa,<init>,,,,,,constructor,(),()V,public
aa,a(),func_192163_a(),,,,,method,a(),()Lnf;,MinecraftKey
aa,"a(np arg0, p$a<aa$b> arg1)","func_192165_a(PlayerAdvancements arg0, ICriterionTrigger$Listener<CuredZombieVillagerTrigger$Instance> arg1)",,,,,method,"a(np arg0, p$a<aa$b> arg1)",(Lnp;Lp$a;)V,void
aa,"b(np arg0, p$a<aa$b> arg1)","func_192164_b(PlayerAdvancements arg0, ICriterionTrigger$Listener<CuredZombieVillagerTrigger$Instance> arg1)",,,,,method,"b(np arg0, p$a<aa$b> arg1)",(Lnp;Lp$a;)V,void
aa,a(np arg0),func_192167_a(PlayerAdvancements arg0),,,,,method,a(np arg0),(Lnp;)V,void
aa,"b(com.google.gson.JsonObject arg0, com.google.gson.JsonDeserializationContext arg1)","func_192166_a(com.google.gson.JsonObject arg0, com.google.gson.JsonDeserializationContext arg1)",,,,,method,"b(com.google.gson.JsonObject arg0, com.google.gson.JsonDeserializationContext arg1)",(Lcom/google/gson/JsonObject;Lcom/google/gson/JsonDeserializationContext;)Laa$b;,CriterionTriggerCuredZombieVillager$b
aa,"a(oq arg0, adt arg1, ady arg2)","func_192183_a(EntityPlayerMP arg0, EntityZombie arg1, EntityVillager arg2)",,,,,method,"a(oq arg0, adt arg1, ady arg2)",(Loq;Ladt;Lady;)V,void
aaa,<init>,,,,,,constructor,(arg0),(Lamu;)V,public
aaa,c(ry arg0),func_189791_c(DataFixer arg0),,,,,method,c(ry arg0),(Lry;)V,void
aaa,"a(aed arg0, ub arg1)","func_184645_a(EntityPlayer arg0, EnumHand arg1)",,,,,method,"a(aed arg0, ub arg1)",(Laed;Lub;)Z,boolean
aaa,c(vd arg0),func_90011_a(EntityAgeable arg0),createChild(EntityAgeable arg0),,,,method,c(vd arg0),(Lvd;)Laaa;,EntityMushroomCow
aaa,J(),func_184647_J(),,,,,method,J(),()Lnf;,MinecraftKey
aab,<init>,,,,,,constructor,(arg0),(Lamu;)V,public
aab,r(),func_184651_r(),,,,,method,r(),()V,void
aab,i(),func_70088_a(),,,,,method,i(),()V,void
aab,M(),func_70619_bc(),,,,,method,M(),()V,void
aab,K(),func_70692_ba(),isTypeNotPersistent(),,,,method,K(),()Z,boolean
aab,bM(),func_110147_ax(),initAttributes(),,,,method,bM(),()V,void
aab,"e(float arg0, float arg1)","func_180430_e(float arg0, float arg1)",,,,,method,"e(float arg0, float arg1)",(FF)V,void
aab,a(ry arg0),func_189787_b(DataFixer arg0),,,,,method,a(ry arg0),(Lry;)V,void
aab,b(fy arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(fy arg0),(Lfy;)V,void
aab,a(fy arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(fy arg0),(Lfy;)V,void
aab,F(),func_184639_G(),,,,,method,F(),()Lqe;,SoundEffect
aab,d(ur arg0),func_184601_bQ(DamageSource arg0),,,,,method,d(ur arg0),(Lur;)Lqe;,SoundEffect
aab,cf(),func_184615_bR(),,,,,method,cf(),()Lqe;,SoundEffect
aab,cq(),func_70599_aP(),,,,,method,cq(),()F,float
aab,B(vg arg0),func_70652_k(Entity arg0),,,,,method,B(vg arg0),(Lvg;)Z,boolean
aab,"a(ur arg0, float arg1)","func_70097_a(DamageSource arg0, float arg1)","damageEntity(DamageSource arg0, float arg1)",,,,method,"a(ur arg0, float arg1)",(Lur;F)Z,boolean
aab,J(),func_184647_J(),,,,,method,J(),()Lnf;,MinecraftKey
aab,"a(aed arg0, ub arg1)","func_184645_a(EntityPlayer arg0, EnumHand arg1)",,,,,method,"a(aed arg0, ub arg1)",(Laed;Lub;)Z,boolean
aab,b(vd arg0),func_90011_a(EntityAgeable arg0),createChild(EntityAgeable arg0),,,,method,b(vd arg0),(Lvd;)Laab;,EntityOcelot
aab,e(aip arg0),func_70877_b(ItemStack arg0),,,,,method,e(aip arg0),(Laip;)Z,boolean
aab,a(zv arg0),func_70878_b(EntityAnimal arg0),mate(EntityAnimal arg0),,,,method,a(zv arg0),(Lzv;)Z,boolean
aab,dt(),func_70913_u(),getCatType(),,,,method,dt(),()I,int
aab,g(int arg0),func_70912_b(int arg0),setCatType(int arg0),,,,method,g(int arg0),(I)V,void
aab,P(),func_70601_bi(),,,,,method,P(),()Z,boolean
