混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/text/TextFormatting,net/minecraft/server/v1_12_R1/EnumChatFormat,,,
aa$a,net/minecraft/advancements/critereon/CuredZombieVillagerTrigger$Listeners,net/minecraft/server/v1_12_R1/CriterionTriggerCuredZombieVillager$a,,,
aa$b,net/minecraft/advancements/critereon/CuredZombieVillagerTrigger$Instance,net/minecraft/server/v1_12_R1/CriterionTriggerCuredZombieVillager$b,,,
aa,net/minecraft/advancements/critereon/CuredZombieVillagerTrigger,net/minecraft/server/v1_12_R1/CriterionTriggerCuredZombieVillager,,,
aaa,net/minecraft/entity/passive/EntityMooshroom,net/minecraft/server/v1_12_R1/EntityMushroomCow,,,
aab,net/minecraft/entity/passive/EntityOcelot,net/minecraft/server/v1_12_R1/EntityOcelot,,,
aac$1,net/minecraft/entity/passive/EntityParrot$1,net/minecraft/server/v1_12_R1/EntityParrot$1,,,
aac,net/minecraft/entity/passive/EntityParrot,net/minecraft/server/v1_12_R1/EntityParrot,,,
aad,net/minecraft/entity/passive/EntityPig,net/minecraft/server/v1_12_R1/EntityPig,,,
aae$a,net/minecraft/entity/monster/EntityPolarBear$AIAttackPlayer,net/minecraft/server/v1_12_R1/EntityPolarBear$a,,,
aae$b,net/minecraft/entity/monster/EntityPolarBear$GroupData,net/minecraft/server/v1_12_R1/EntityPolarBear$b,,,
aae$c,net/minecraft/entity/monster/EntityPolarBear$AIHurtByTarget,net/minecraft/server/v1_12_R1/EntityPolarBear$c,,,
aae$d,net/minecraft/entity/monster/EntityPolarBear$AIMeleeAttack,net/minecraft/server/v1_12_R1/EntityPolarBear$d,,,
aae$e,net/minecraft/entity/monster/EntityPolarBear$AIPanic,net/minecraft/server/v1_12_R1/EntityPolarBear$e,,,
aae,net/minecraft/entity/monster/EntityPolarBear,net/minecraft/server/v1_12_R1/EntityPolarBear,,,
aaf$a,net/minecraft/entity/passive/EntityRabbit$AIEvilAttack,net/minecraft/server/v1_12_R1/EntityRabbit$PathfinderGoalKillerRabbitMeleeAttack,,,
aaf$b,net/minecraft/entity/passive/EntityRabbit$AIAvoidEntity,net/minecraft/server/v1_12_R1/EntityRabbit$PathfinderGoalRabbitAvoidTarget,,,
aaf$c,net/minecraft/entity/passive/EntityRabbit$RabbitTypeData,net/minecraft/server/v1_12_R1/EntityRabbit$GroupDataRabbit,,,
aaf$d,net/minecraft/entity/passive/EntityRabbit$RabbitJumpHelper,net/minecraft/server/v1_12_R1/EntityRabbit$ControllerJumpRabbit,,,
aaf$e,net/minecraft/entity/passive/EntityRabbit$RabbitMoveHelper,net/minecraft/server/v1_12_R1/EntityRabbit$ControllerMoveRabbit,,,
aaf$f,net/minecraft/entity/passive/EntityRabbit$AIPanic,net/minecraft/server/v1_12_R1/EntityRabbit$PathfinderGoalRabbitPanic,,,
aaf$g,net/minecraft/entity/passive/EntityRabbit$AIRaidFarm,net/minecraft/server/v1_12_R1/EntityRabbit$PathfinderGoalEatCarrots,,,
aaf,net/minecraft/entity/passive/EntityRabbit,net/minecraft/server/v1_12_R1/EntityRabbit,,,
aag$1,net/minecraft/entity/passive/EntitySheep$1,net/minecraft/server/v1_12_R1/EntitySheep$1,,,
aag,net/minecraft/entity/passive/EntitySheep,net/minecraft/server/v1_12_R1/EntitySheep,,,
aah,net/minecraft/entity/passive/EntityShoulderRiding,net/minecraft/server/v1_12_R1/EntityPerchable,,,
aai,net/minecraft/entity/monster/EntitySnowman,net/minecraft/server/v1_12_R1/EntitySnowman,,,
aaj$a,net/minecraft/entity/passive/EntitySquid$AIMoveRandom,net/minecraft/server/v1_12_R1/EntitySquid$PathfinderGoalSquid,,,
aaj,net/minecraft/entity/passive/EntitySquid,net/minecraft/server/v1_12_R1/EntitySquid,,,
aak$1,net/minecraft/entity/monster/EntityIronGolem$1,net/minecraft/server/v1_12_R1/EntityIronGolem$1,,,
aak,net/minecraft/entity/monster/EntityIronGolem,net/minecraft/server/v1_12_R1/EntityIronGolem,,,
aal,net/minecraft/entity/passive/EntityWaterMob,net/minecraft/server/v1_12_R1/EntityWaterAnimal,,,
aam$1,net/minecraft/entity/passive/EntityWolf$1,net/minecraft/server/v1_12_R1/EntityWolf$1,,,
aam$a,net/minecraft/entity/passive/EntityWolf$AIAvoidEntity,net/minecraft/server/v1_12_R1/EntityWolf$a,,,
aam,net/minecraft/entity/passive/EntityWolf,net/minecraft/server/v1_12_R1/EntityWolf,,,
aan,net/minecraft/entity/passive/AbstractChestHorse,net/minecraft/server/v1_12_R1/EntityHorseChestedAbstract,,,
